blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.625,0.0,1.3,105,0,12,0,9.7,5,7,-3,146,0,6,20051215,2564.0,1,Bruce Bowen,8,0,0,.375,0,.750,1,2,3.3,9.7,.750,SAS,3,0,.000,1,2.8,1,.667,0.0,16.4
1.7,.538,9.5,1.5,106,2,21,.800,21.9,7,4,+10,132,1,3,20051215,2300.0,1,Michael Finley,13,4,0,.308,1,.654,1,3,9.1,6.2,.691,SAS,4,5,.385,1,3.1,2,.750,6.2,9.2
0.0,.333,26.7,1.5,103,6,13,.429,27.6,5,9,+1,86,2,7,20051215,2261.0,1,Tim Duncan,15,3,0,.000,0,.333,2,0,-2.7,14.2,.360,SAS,0,7,.467,1,6.4,5,0,10.0,21.7
0.0,.455,32.8,3.2,104,7,11,1.000,19.2,5,3,-10,101,2,3,20051215,2167.0,2,Tony Parker,11,1,0,.000,0,.455,0,0,0.1,4.9,.481,SAS,0,1,.091,1,0.0,2,0,14.9,9.7
4.0,.400,10.1,0.0,110,1,4,0,19.0,2,0,+9,72,1,0,20051215,979.0,0,Rasho Nesterović,5,0,0,.000,1,.400,0,0,-6.1,0.0,.400,SAS,0,0,.000,1,0.0,1,0,16.7,0.0
0.0,.571,19.3,0.0,106,3,12,.600,19.7,4,6,-7,128,1,5,20051215,1608.0,0,Brent Barry,7,3,0,.429,0,.643,1,1,2.0,13.3,.652,SAS,3,5,.714,0,4.5,5,.333,9.8,21.8
0.0,.167,21.4,0.0,105,2,2,0,21.9,1,3,+10,55,0,3,20051215,852.0,0,Nick Van Exel,6,0,0,.167,0,.167,0,0,-14.8,12.5,.167,SAS,1,0,.000,0,0.0,2,.000,0.0,24.7
0.0,.400,12.1,0.0,111,1,7,.500,21.6,2,2,+3,129,0,1,20051215,843.0,0,Robert Horry,5,1,0,.400,0,.600,1,2,8.5,8.4,.595,SAS,2,2,.400,0,8.5,0,1.000,0.0,8.3
0.0,.667,0.0,0.0,111,0,8,0,26.3,4,3,-3,114,1,1,20051215,826.0,0,Nazr Mohammed,6,0,0,.000,0,.667,2,0,-0.3,12.9,.667,SAS,0,0,.000,0,17.4,1,0,14.3,8.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Beno Udrih,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Fabricio Oberto,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Sean Marks,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0.0,.500,12.3,0.0,111,3,23,1.000,23.5,8,6,+1,113,3,6,20051215,2743.0,0,Wally Szczerbiak,16,7,0,.125,0,.500,0,0,-0.9,7.8,.603,MIN,2,7,.438,1,0.0,5,.000,13.6,15.7
0.0,.385,25.3,1.4,111,6,11,.500,19.1,5,6,+2,96,2,2,20051215,2430.0,1,Marko Jarić,13,1,0,.000,0,.385,4,0,-0.5,8.8,.396,MIN,0,2,.154,1,11.6,1,0,12.6,5.9
7.7,.526,33.2,0.0,96,6,24,1.000,27.9,10,21,+9,123,2,16,20051215,2377.0,0,Kevin Garnett,19,4,0,.000,4,.526,5,0,16.9,31.4,.578,MIN,0,4,.211,1,14.8,3,0,8.8,48.5
0.0,.500,10.8,1.8,111,2,12,.800,15.6,4,1,+3,135,0,0,20051215,1912.0,1,Trenton Hassell,8,4,0,.000,0,.500,1,0,2.3,1.9,.588,MIN,0,5,.625,1,3.7,3,0,0.0,0.0
0.0,.375,0.0,4.2,102,0,7,.500,17.7,3,6,-17,85,1,4,20051215,1633.0,2,Michael Olowokandi,8,1,0,.000,0,.375,2,0,-4.5,13.1,.394,MIN,0,2,.250,1,8.6,3,0,10.1,17.6
0.0,.364,21.4,0.0,115,3,11,1.000,24.6,4,1,+7,100,1,1,20051215,1525.0,0,Troy Hudson,11,2,0,.273,0,.409,0,1,-2.4,2.3,.463,MIN,3,2,.182,0,0.0,1,.333,7.8,4.7
0.0,.000,0.0,0.0,111,0,0,0,8.1,0,2,-9,0,1,2,20051215,719.0,0,Eddie Griffin,1,0,0,1.000,0,.000,0,0,-13.4,9.9,.000,MIN,1,0,.000,0,0.0,1,.000,50.0,20.0
0.0,.000,0.0,0.0,112,0,0,0,10.9,0,1,-12,0,0,1,20051215,536.0,0,Rashad McCants,2,0,0,.000,0,.000,0,0,-17.8,6.6,.000,MIN,0,0,.000,0,0.0,1,0,0.0,13.4
8.7,.000,0.0,0.0,106,0,0,0,5.5,0,0,+6,0,0,0,20051215,526.0,0,Anthony Carter,1,0,0,.000,1,.000,0,0,-7.3,0.0,.000,MIN,0,0,.000,0,0.0,1,0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Nikoloz Tskitishvili,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Mark Madsen,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20051215,0.0,0,Ronald Dupree,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0
