blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.364,0.0,0.0,115,0,12,1.000,26.0,4,7,-18,88,2,6,20060215,1638.0,0,Zach Randolph,11,4,0,.000,0,.364,1,0,-8.6,13.8,.470,POR,0,4,.364,1,3.8,3,0,13.6,24.5
0.0,.500,9.3,2.3,114,1,12,0,20.4,5,3,-14,124,0,3,20060215,1415.0,1,Juan Dixon,10,0,0,.400,0,.600,0,2,4.8,6.9,.600,POR,4,0,.000,1,0.0,2,.500,0.0,14.2
0.0,.250,37.5,0.0,123,5,3,0,11.2,1,1,-9,95,1,1,20060215,1290.0,0,Steve Blake,4,0,0,.250,0,.375,0,1,-5.6,2.5,.375,POR,1,0,.000,1,0.0,1,1.000,20.0,5.2
6.7,1.000,0.0,0.0,113,0,6,.000,9.4,3,5,+1,156,0,3,20060215,1191.0,0,Ha Seung-Jin,3,0,0,.000,2,1.000,2,0,3.0,13.6,.773,POR,0,2,.667,1,10.5,3,0,0.0,16.9
5.3,.000,11.9,0.0,118,1,0,0,3.8,0,1,-9,48,0,1,20060215,754.0,0,Charles Smith,1,0,0,1.000,1,.000,0,0,-4.2,4.3,.000,POR,1,0,.000,1,0.0,1,.000,0.0,8.9
0.0,.200,18.0,0.0,120,3,5,.750,14.1,1,3,-3,85,1,3,20060215,1588.0,0,Jarrett Jack,5,3,0,.200,0,.200,0,0,-7.5,6.1,.370,POR,1,4,.800,0,0.0,0,.000,12.9,12.7
2.8,.364,0.0,2.3,114,0,11,.600,30.2,4,6,-15,87,2,2,20060215,1453.0,1,Ruben Patterson,11,3,0,.091,1,.364,4,0,-4.5,13.4,.417,POR,1,5,.455,0,17.2,3,.000,13.2,9.2
0.0,.286,0.0,0.0,117,0,10,.667,40.7,4,5,-8,53,5,4,20060215,1442.0,0,Darius Miles,14,2,0,.071,0,.286,1,0,-25.5,11.2,.326,POR,1,3,.214,0,4.3,5,.000,24.6,18.6
0.0,.250,16.9,0.0,125,2,2,0,15.0,1,0,-12,49,2,0,20060215,1157.0,0,Sebastian Telfair,4,0,0,.500,0,.250,0,0,-16.3,0.0,.250,POR,2,0,.000,0,0.0,1,.000,33.3,0.0
0.0,.333,16.9,2.8,109,2,6,1.000,14.4,1,5,-5,125,1,4,20060215,1156.0,1,Viktor Khryapa,3,4,0,.000,0,.333,1,0,-0.6,14.0,.630,POR,0,4,1.333,0,5.4,6,0,17.4,23.2
9.6,.600,0.0,0.0,115,0,7,0,17.3,3,2,+3,143,0,1,20060215,833.0,0,Travis Outlaw,5,0,0,.200,2,.700,1,1,11.0,7.8,.700,POR,1,0,.000,0,7.5,1,1.000,0.0,8.0
8.3,1.000,0.0,0.0,120,0,12,0,29.9,5,0,+9,240,0,0,20060215,483.0,0,Martell Webster,5,0,0,.400,1,1.200,0,2,50.4,0.0,1.200,POR,2,0,.000,0,0.0,0,1.000,0.0,0.0
