player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Andrei Kirilenko,2588.0,.588,.545,.091,.364,2.5,24.2,13.6,10.0,1.3,15.6,13.6,16.2,108,74,10.4,UTA,1,0,20060222,6,11,.545,0,1,.000,3,4,.750,1,10,11,2,1,8,2,2,15,+9
Mehmet Okur,1629.0,.343,.250,.250,.625,0.0,38.4,19.6,6.9,0.0,0.0,16.4,21.3,65,85,-7.4,UTA,1,0,20060222,2,8,.250,0,2,.000,3,5,.600,0,10,10,1,0,0,2,1,7,-11
Milt Palacio,1142.0,.125,.125,.000,.000,0.0,11.0,5.6,19.0,2.8,0.0,27.3,27.4,28,88,-19.4,UTA,1,0,20060222,1,8,.125,0,0,0,0,0,0,0,2,2,2,1,0,3,2,2,-9
Jarron Collins,1055.0,.200,.200,.000,.000,18.6,5.9,12.1,10.4,0.0,0.0,0.0,13.5,79,95,-7.0,UTA,1,0,20060222,1,5,.200,0,0,0,0,0,0,3,1,4,1,0,0,0,2,2,-13
Keith McLeod,1014.0,.543,.000,.000,4.000,6.5,0.0,3.2,9.8,0.0,0.0,42.0,13.4,80,97,-10.8,UTA,1,0,20060222,0,1,.000,0,0,0,3,4,.750,1,0,1,1,0,0,2,3,3,-8
Deron Williams,1866.0,.697,.800,.200,.500,3.5,10.1,6.9,25.4,5.2,0.0,19.7,23.2,109,83,9.1,UTA,0,0,20060222,7,10,.700,2,2,1.000,1,5,.200,1,3,4,3,3,0,3,5,17,+14
Carlos Boozer,1825.0,.595,.500,.000,.400,3.6,24.0,14.0,22.4,1.8,0.0,14.5,21.5,112,86,4.9,UTA,0,0,20060222,5,10,.500,0,0,0,4,4,1.000,1,7,8,3,1,0,2,3,14,+19
Devin Brown,1738.0,.513,.409,.273,.545,3.8,10.8,7.4,7.4,1.9,2.9,0.0,22.3,115,87,5.2,UTA,0,0,20060222,4,11,.364,1,3,.333,5,6,.833,1,3,4,1,1,1,0,3,14,+15
Matt Harpring,1543.0,.405,.333,.000,.222,8.5,8.1,8.3,8.0,2.1,0.0,9.2,20.1,89,90,-3.6,UTA,0,0,20060222,3,9,.333,0,0,0,2,2,1.000,2,2,4,1,1,0,1,3,8,+14
Greg Ostertag,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20060222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Miles,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20060222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kris Humphries,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20060222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Paul,2367.0,.510,.400,.133,.400,0.0,5.5,2.7,48.1,9.6,1.9,14.5,25.8,99,81,15.0,NOK,1,0,20060222,6,15,.400,0,2,.000,6,6,1.000,0,2,2,7,7,1,3,0,18,+2
P.J. Brown,2143.0,.337,.273,.000,.182,8.8,21.4,14.9,6.4,0.0,2.1,14.4,19.1,72,95,-7.7,NOK,1,0,20060222,3,11,.273,0,0,0,2,2,1.000,3,7,10,1,0,1,2,5,8,-3
Kirk Snyder,1609.0,.533,.500,.250,.125,0.0,4.1,2.0,20.1,4.0,2.8,26.2,21.0,81,92,0.6,NOK,1,0,20060222,4,8,.500,0,2,.000,1,1,1.000,0,1,1,2,2,1,3,2,9,-3
