player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Rasual Butler,1807.0,.574,.500,.100,.500,3.8,26.6,14.3,6.6,1.9,2.5,0.0,20.0,126,110,8.7,NOK,1,0,20060408,5,10,.500,0,1,.000,4,5,.800,1,6,7,1,1,1,0,1,14,-23
Chris Paul,1638.0,.750,.750,.333,.000,4.2,19.5,11.3,35.2,0.0,0.0,25.0,14.5,125,118,2.9,NOK,1,0,20060408,4,6,.667,1,2,.500,0,0,0,1,4,5,5,0,0,2,2,9,-9
Linton Johnson,1394.0,.400,.400,.000,.000,4.9,0.0,2.6,0.0,0.0,3.2,16.7,12.8,75,124,-7.4,NOK,1,0,20060408,2,5,.400,0,0,0,0,0,0,1,0,1,0,0,1,1,3,4,-3
Marc Jackson,1377.0,.414,.400,.000,.200,5.0,11.6,8.0,17.7,0.0,0.0,26.9,32.1,69,121,-9.9,NOK,1,0,20060408,4,10,.400,0,0,0,1,2,.500,1,2,3,2,0,0,4,2,9,-16
David West,1241.0,.254,.143,.000,.286,5.5,0.0,3.0,0.0,0.0,3.6,27.6,26.0,44,124,-16.8,NOK,1,0,20060408,1,7,.143,0,0,0,2,2,1.000,1,0,1,0,0,1,3,1,4,-15
P.J. Brown,1725.0,.607,.556,.000,.222,8.0,23.2,15.0,7.1,2.0,0.0,9.2,18.7,120,113,5.6,NOK,0,0,20060408,5,9,.556,0,0,0,2,2,1.000,2,5,7,1,1,0,1,1,12,-9
Desmond Mason,1540.0,.444,.429,.000,.286,4.5,5.2,4.8,7.1,2.2,0.0,0.0,15.2,102,119,0.9,NOK,0,0,20060408,3,7,.429,0,0,0,1,2,.500,1,1,2,1,1,0,0,1,7,-15
Speedy Claxton,1168.0,.750,.750,.000,.000,0.0,0.0,0.0,10.0,0.0,0.0,50.0,20.3,71,125,-14.8,NOK,0,0,20060408,3,4,.750,0,0,0,0,0,0,0,0,0,1,0,0,4,4,6,-18
Aaron Williams,1044.0,.466,.500,.000,.167,6.6,23.0,14.1,11.6,0.0,0.0,23.7,24.0,78,117,-7.1,NOK,0,0,20060408,3,6,.500,0,0,0,0,1,.000,1,3,4,1,0,0,2,3,6,-11
J.R. Smith,784.0,.410,.250,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,92,126,-5.5,NOK,0,0,20060408,1,4,.250,0,0,0,2,2,1.000,0,0,0,0,0,0,0,0,4,+4
Moochie Norris,373.0,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,103,126,-3.2,NOK,0,0,20060408,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+3
Kirk Snyder,309.0,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,14.3,33.3,28.8,0,118,-23.5,NOK,0,0,20060408,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,1,1,1,0,-8
Jerry Stackhouse,1859.0,.571,.500,.286,.286,0.0,14.8,7.9,36.1,1.8,0.0,38.8,19.5,96,91,-0.4,DAL,1,0,20060408,3,7,.429,1,2,.500,2,2,1.000,0,4,4,8,1,0,5,1,9,+21
Jason Terry,1781.0,.792,.792,.417,.000,0.0,7.7,4.1,18.6,3.8,0.0,20.0,23.7,127,89,10.2,DAL,1,0,20060408,8,12,.667,3,5,.600,0,0,0,0,2,2,3,2,0,3,1,19,+18
Dirk Nowitzki,1739.0,.644,.542,.083,.667,9.2,23.7,17.0,28.5,3.9,2.4,6.1,26.8,149,83,18.3,DAL,1,0,20060408,6,12,.500,1,1,1.000,7,8,.875,2,6,8,5,2,1,1,2,20,+14
Josh Howard,1595.0,.531,.559,.118,.118,25.1,12.9,18.5,15.9,0.0,2.7,0.0,31.6,130,93,7.3,DAL,1,0,20060408,9,17,.529,1,2,.500,0,2,.000,5,3,8,2,0,1,0,2,19,+18
DeSagana Diop,1027.0,1.000,1.000,.000,.000,0.0,20.0,10.8,0.0,0.0,8.2,0.0,5.5,200,86,2.8,DAL,1,0,20060408,2,2,1.000,0,0,0,0,0,0,0,3,3,0,0,2,0,4,4,+11
Marquis Daniels,1717.0,.505,.458,.167,.167,0.0,12.0,6.5,16.4,2.0,2.5,7.2,22.8,118,89,1.7,DAL,0,0,20060408,5,12,.417,1,2,.500,2,2,1.000,0,3,3,3,1,1,1,2,13,+13
Erick Dampier,1480.0,.564,.500,.000,.750,16.2,32.4,24.9,0.0,0.0,0.0,15.8,12.0,118,90,-3.4,DAL,0,0,20060408,2,4,.500,0,0,0,2,3,.667,3,7,10,0,0,0,1,2,6,+16
Josh Powell,1292.0,.608,.500,.000,1.000,6.2,10.6,8.6,0.0,0.0,0.0,25.8,16.9,100,96,-6.6,DAL,0,0,20060408,2,4,.500,0,0,0,3,4,.750,1,2,3,0,0,0,2,1,7,+7
Darrell Armstrong,1165.0,.000,.000,.500,.000,6.9,5.9,6.3,19.0,5.8,0.0,0.0,9.7,69,86,-1.3,DAL,0,0,20060408,0,4,.000,0,2,.000,0,0,0,1,1,2,3,2,0,0,0,0,+8
Didier Ilunga-Mbenga,373.0,.667,.667,.000,.000,42.9,18.4,29.7,0.0,0.0,0.0,0.0,22.7,155,93,0.7,DAL,0,0,20060408,2,3,.667,0,0,0,0,0,0,2,1,3,0,0,0,0,2,4,-3
Rawle Marshall,373.0,.000,.000,.000,.000,21.4,18.4,19.8,0.0,0.0,0.0,33.3,22.7,23,94,-24.5,DAL,0,0,20060408,0,2,.000,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,-3
Adrian Griffin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Bass,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOK,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Fizer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOK,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvydas Macijauskas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOK,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Harris,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavel Podkolzin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Van Horn,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,1,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
