blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
4.1,.385,12.3,4.6,83,3,15,.500,19.4,5,11,+30,124,1,7,20060414,2169.0,3,Bobby Simmons,13,1,0,.462,2,.538,4,4,12.8,19.2,.540,MIL,6,2,.154,1,14.4,1,.667,6.7,23.8
0.0,.600,17.6,3.4,92,3,23,1.000,26.9,9,3,+28,132,2,3,20060414,1924.0,2,Michael Redd,15,3,0,.333,0,.667,0,2,11.7,5.9,.705,MIL,5,3,.200,1,0.0,0,.400,10.9,11.5
0.0,.889,12.6,3.7,93,2,18,.500,22.0,8,1,+38,122,3,1,20060414,1764.0,2,Andrew Bogut,9,2,0,.000,0,.889,0,0,6.8,2.1,.836,MIL,0,4,.444,1,0.0,3,0,21.8,4.2
0.0,.600,56.5,1.9,93,10,14,.667,23.1,6,5,+35,121,3,5,20060414,1751.0,1,T.J. Ford,10,2,0,.000,0,.600,0,0,6.8,10.8,.618,MIL,0,3,.300,1,0.0,2,0,20.9,21.1
8.7,.333,5.1,0.0,88,1,4,1.000,9.1,1,7,+21,112,1,5,20060414,1520.0,0,Jamaal Magloire,3,2,0,.000,3,.333,2,0,-0.3,17.5,.515,MIL,0,2,.667,1,10.2,4,0,20.5,24.3
0.0,.714,7.5,4.9,88,1,11,1.000,15.6,5,5,+1,164,0,2,20060414,1348.0,2,Joe Smith,7,1,0,.000,0,.714,3,0,7.7,14.1,.739,MIL,0,1,.143,0,17.3,5,0,0.0,11.0
0.0,.000,13.1,0.0,100,2,0,0,17.5,0,1,-18,21,1,1,20060414,1129.0,0,Mo Williams,6,0,0,.500,0,.000,0,0,-22.5,3.4,.000,MIL,3,0,.000,0,0.0,2,.000,14.3,6.5
0.0,.333,9.1,0.0,100,1,4,0,17.7,2,1,-11,86,0,1,20060414,956.0,0,Charlie Bell,6,0,0,.167,0,.333,0,0,-10.3,4.0,.333,MIL,1,0,.000,0,0.0,1,.000,0.0,7.7
5.1,.600,0.0,0.0,91,0,7,1.000,24.2,3,6,-17,105,2,3,20060414,869.0,0,Dan Gadzuric,5,1,0,.000,1,.600,3,0,-3.4,26.2,.643,MIL,0,1,.200,0,26.9,2,0,26.9,25.5
0.0,.000,0.0,0.0,101,0,0,0,19.3,0,0,-14,0,1,0,20060414,440.0,0,Jiří Welsch,2,0,0,.000,0,.000,0,0,-28.3,0.0,.000,MIL,0,0,.000,0,0.0,1,0,33.3,0.0
0.0,.000,0.0,0.0,95,0,0,0,20.9,0,1,+1,0,1,1,20060414,271.0,0,Toni Kukoč,1,0,0,1.000,0,.000,0,0,-26.6,14.0,.000,MIL,1,0,.000,0,0.0,0,.000,50.0,27.2
