efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.615,21.2,20,11.9,8.5,6,2,2.6,.678,0,0,0,3,1,.308,-3,9.7,David West,1.000,0,10.0,.000,20061103,8,139,4,3,3,16.3,0,2055.0,13,NOK,0.0,1,.615,9.3,4,4,106
.600,7.8,7,0.0,4.0,15,0,0.0,.595,0,0,0,7,0,.400,+1,25.4,Tyson Chandler,.500,0,28.1,.000,20061103,3,159,2,8,1,4.5,0,1952.0,5,NOK,0.0,1,.600,23.0,2,1,103
.500,21.8,16,12.7,1.8,2,2,0.0,.581,0,0,0,2,0,.333,-1,3.5,Chris Paul,1.000,0,0.0,.000,20061103,6,128,4,0,6,33.0,0,1882.0,12,NOK,0.0,1,.500,6.8,4,4,108
.273,26.2,10,23.9,-2.4,7,4,3.2,.392,1,0,0,3,1,.364,0,14.0,Desmond Mason,1.000,0,16.5,.000,20061103,3,86,1,4,2,10.9,0,1660.0,11,NOK,2.0,1,.273,11.6,4,4,100
.350,30.9,8,30.6,-17.4,4,5,0.0,.353,0,1,5,4,0,.300,+1,9.7,Peja Stojaković,.333,0,0.0,.500,20061103,3,58,3,0,1,6.8,.200,1370.0,10,NOK,0.0,1,.300,18.7,3,1,104
.364,22.4,8,15.4,-8.0,5,2,0.0,.364,1,0,4,4,0,.000,+8,11.0,Bobby Jackson,0,0,4.5,.364,20061103,4,77,2,1,0,0.0,.000,1510.0,11,NOK,2.2,0,.364,17.0,0,0,100
.714,16.3,11,0.0,12.4,5,0,4.2,.698,0,2,5,5,1,.286,+11,13.2,Rasual Butler,.500,0,0.0,.714,20061103,4,161,2,0,1,8.2,.400,1256.0,7,NOK,0.0,0,.571,25.5,2,1,99
.375,25.1,10,0.0,1.7,1,0,0.0,.512,0,0,0,1,0,.500,+10,3.3,Jannero Pargo,1.000,0,0.0,.000,20061103,3,135,1,0,1,10.1,0,1008.0,8,NOK,0.0,0,.375,6.3,4,4,109
.333,8.8,2,0.0,0.9,7,0,0.0,.333,0,0,0,5,0,.000,+6,26.1,Cedric Simmons,0,0,15.5,.000,20061103,1,120,2,2,1,9.6,0,887.0,3,NOK,0.0,0,.333,36.1,0,0,98
.500,18.2,8,0.0,9.7,1,0,6.5,.694,0,0,0,0,1,1.000,+12,4.0,Linton Johnson,1.000,0,8.4,.000,20061103,2,170,1,1,0,0.0,0,820.0,4,NOK,0.0,0,.500,0.0,4,4,107
