efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.522,31.0,27,14.1,5.0,4,4,0.0,.555,1,2,8,4,0,.130,-10,5.2,Vince Carter,1.000,0,0.0,.348,20061103,11,100,2,0,4,25.4,.250,2566.0,23,NJN,1.2,1,.478,10.9,3,3,100
.636,19.1,20,12.8,7.9,6,2,2.1,.733,2,0,1,4,1,.545,-10,8.7,Nenad Krstić,1.000,0,5.6,.091,20061103,7,132,2,2,0,0.0,.000,2297.0,11,NJN,2.7,1,.636,12.2,6,6,95
.267,24.7,11,15.2,-8.3,8,3,0.0,.328,0,0,1,8,0,.267,-9,11.9,Richard Jefferson,.750,0,0.0,.067,20061103,4,63,1,0,2,10.3,.000,2243.0,15,NJN,0.0,1,.267,25.1,4,3,99
.429,15.0,9,26.5,0.1,9,3,0.0,.541,1,2,3,8,0,.429,-5,14.2,Jason Kidd,1.000,0,3.0,.429,20061103,2,92,1,1,3,15.0,.667,2117.0,7,NJN,1.5,1,.286,26.5,3,3,96
.000,7.3,2,21.0,-8.4,2,1,0.0,.266,0,0,0,1,0,2.000,-8,3.7,Jason Collins,.500,0,3.5,.000,20061103,0,56,5,1,0,0.0,0,1832.0,2,NJN,0.0,1,.000,3.8,4,2,103
.300,14.4,3,0.0,-5.8,2,0,0.0,.300,0,1,3,2,0,.000,+7,6.9,Boštjan Nachbar,0,0,0.0,.600,20061103,1,72,3,0,1,10.9,.333,977.0,5,NJN,0.0,0,.200,14.4,0,0,101
.286,26.6,4,22.2,-11.3,3,2,0.0,.286,0,0,3,1,0,.000,-1,10.6,Marcus Williams,0,0,13.5,.429,20061103,2,65,3,2,2,25.4,.000,949.0,7,NJN,0.0,0,.286,7.4,0,0,102
.500,24.2,7,14.5,8.3,6,1,0.0,.595,1,1,1,4,0,.400,+6,25.2,Antoine Wright,1.000,0,16.0,.200,20061103,2,113,2,2,0,0.0,1.000,798.0,5,NJN,3.9,0,.400,35.2,2,2,88
.500,9.0,2,0.0,-2.3,0,0,7.7,.500,0,0,0,0,1,.000,0,0.0,Mikki Moore,0,0,0.0,.000,20061103,1,101,2,0,0,0.0,0,621.0,2,NJN,0.0,0,.500,0.0,0,0,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clifford Robinson,0,0,0,0,20061103,0,0,0,0,0,0,0,0.0,0,NJN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mile Ilić,0,0,0,0,20061103,0,0,0,0,0,0,0,0.0,0,NJN,0,0,0,0,0,0,0
