efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.524,27.2,28,11.3,5.0,3,3,0.0,.592,2,2,6,2,0,.286,-6,4.1,Michael Redd,1.000,0,2.6,.286,20061110,10,120,4,1,6,21.9,.333,2450.0,21,MIL,2.4,1,.476,5.6,6,6,121
.400,18.1,12,6.3,-5.5,10,1,0.0,.400,1,0,6,10,0,.000,+11,14.9,Mo Williams,0,0,0.0,.400,20061110,6,92,3,0,4,14.4,.000,2217.0,15,MIL,1.3,1,.400,30.9,0,0,116
.600,15.5,15,7.3,-3.5,5,1,0.0,.593,0,0,0,4,0,.600,+6,7.5,Andrew Bogut,.500,0,2.9,.000,20061110,6,120,6,1,2,7.2,0,2199.0,10,MIL,0.0,1,.600,12.5,6,3,124
.536,25.1,18,16.0,-0.5,7,3,0.0,.571,0,1,1,6,0,.286,+3,12.4,Charlie Villanueva,.750,0,3.4,.071,20061110,7,108,5,1,4,18.5,1.000,1875.0,14,MIL,0.0,1,.500,21.9,4,3,122
.571,19.4,9,28.7,-1.6,6,3,3.4,.605,1,0,0,4,1,.143,0,14.7,Ruben Patterson,1.000,0,9.5,.000,20061110,4,95,2,2,1,6.0,0,1349.0,7,MIL,2.2,1,.571,20.3,1,1,115
.357,13.1,8,10.7,-1.1,4,1,0.0,.481,1,1,3,2,0,.429,-14,7.4,Charlie Bell,1.000,0,7.2,.429,20061110,2,120,5,2,5,19.8,.333,1787.0,7,MIL,1.7,0,.286,7.7,3,3,122
.250,8.8,2,0.0,-9.2,0,0,4.1,.250,0,0,2,0,1,.000,-15,0.0,Steve Blake,0,0,0.0,.500,20061110,1,71,3,0,1,6.1,.000,1132.0,4,MIL,0.0,0,.250,0.0,0,0,125
.600,29.7,15,0.0,12.5,8,0,4.5,.615,1,0,0,2,1,.500,0,25.8,Dan Gadzuric,.600,0,37.4,.000,20061110,6,144,2,6,1,10.3,0,1027.0,10,MIL,2.9,0,.600,13.4,5,3,114
.500,27.4,4,0.0,-1.7,2,0,0.0,.500,0,0,0,1,0,.000,-10,18.1,Brian Skinner,0,0,17.5,.000,20061110,2,115,0,1,0,0.0,0,365.0,4,MIL,0.0,0,.500,18.8,0,0,123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Noel,0,0,0,0,20061110,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damir Markota,0,0,0,0,20061110,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ersan İlyasova,0,0,0,0,20061110,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
