efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.538,20.6,17,23.7,-1.7,5,5,0.0,.529,0,0,2,3,0,.538,+1,6.8,Andre Miller,.429,0,6.2,.154,20061122,7,106,2,2,10,36.9,.000,2396.0,13,DEN,0.0,1,.538,7.4,7,3,113
.667,27.0,33,18.2,11.7,9,5,0.0,.737,3,0,1,4,0,.556,+6,12.4,Carmelo Anthony,.900,0,15.5,.056,20061122,12,135,3,5,4,18.3,.000,2376.0,18,DEN,3.5,1,.667,9.9,10,9,105
.444,13.9,14,7.9,0.0,16,1,0.0,.601,0,0,0,14,0,.667,+12,24.5,Marcus Camby,1.000,0,6.9,.000,20061122,4,136,4,2,0,0.0,0,2133.0,9,DEN,0.0,1,.444,38.6,6,6,104
.455,17.9,13,19.0,-3.6,4,3,0.0,.509,0,2,7,4,0,.364,+6,6.3,J.R. Smith,.750,0,0.0,.636,20061122,4,100,0,0,2,7.9,.286,2067.0,11,DEN,0.0,1,.364,11.4,4,3,113
.429,16.7,11,9.8,0.4,1,1,3.1,.598,1,0,0,1,1,.714,+2,2.3,Eduardo Nájera,1.000,0,0.0,.000,20061122,3,128,3,0,0,0.0,0,1433.0,7,DEN,1.9,1,.429,4.1,5,5,107
.667,17.8,9,30.4,-1.4,0,3,0.0,.654,1,2,4,0,0,.333,+2,0.0,Yakhouba Diawara,.500,0,0.0,.667,20061122,3,95,3,0,1,6.4,.500,1304.0,6,DEN,2.1,0,.500,0.0,2,1,110
.571,21.7,9,20.2,5.4,14,2,0.0,.571,1,0,0,7,0,.286,-5,42.9,Reggie Evans,.500,0,48.4,.000,20061122,4,121,4,7,2,17.9,0,1067.0,7,DEN,2.6,0,.571,38.6,2,1,98
.438,25.0,7,20.0,-2.4,3,2,4.7,.438,0,1,5,2,1,.000,-2,10.5,DerMarr Johnson,0,0,7.9,.625,20061122,3,93,2,1,2,19.3,.200,937.0,8,DEN,0.0,0,.375,12.5,0,0,108
.000,20.6,0,50.0,-13.7,2,2,19.4,.000,0,0,0,2,2,.000,-3,14.4,Joe Smith,0,0,0.0,.000,20061122,0,0,0,0,0,0.0,0,456.0,2,DEN,0.0,0,.000,25.8,0,0,95
.500,20.3,2,0.0,-7.4,0,0,0.0,.500,0,0,1,0,0,.000,-4,0.0,Linas Kleiza,0,0,0.0,.500,20061122,1,118,1,0,0,0.0,.000,231.0,2,DEN,0.0,0,.500,0.0,0,0,114
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamal Sampson,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earl Boykins,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
.286,17.0,11,11.5,-4.3,1,2,0.0,.359,3,0,1,0,0,.214,-2,1.3,Monta Ellis,1.000,0,2.4,.071,20061122,4,93,4,1,9,28.6,.000,2435.0,14,GSW,3.4,1,.286,0.0,3,3,114
.605,24.7,24,8.8,8.3,8,2,0.0,.578,4,3,7,6,0,.211,-9,11.9,Jason Richardson,.250,0,5.3,.368,20061122,10,113,5,2,6,27.2,.429,2198.0,19,GSW,5.0,1,.526,20.2,4,1,103
.438,29.2,21,20.0,-3.8,1,5,0.0,.526,3,2,7,1,0,.563,-8,1.6,Baron Davis,.778,0,0.0,.438,20061122,6,91,4,0,4,16.8,.286,2041.0,16,GSW,4.1,1,.375,3.6,9,7,111
.773,14.8,17,8.0,6.5,7,1,2.3,.743,1,3,6,5,1,.091,-5,11.4,Troy Murphy,.000,0,5.9,.545,20061122,7,136,3,2,3,13.5,.500,2001.0,11,GSW,1.4,1,.636,18.5,1,0,111
.375,13.1,7,10.1,0.5,8,1,17.8,.394,0,0,0,4,7,.250,-5,14.5,Andris Biedriņš,.500,0,13.1,.000,20061122,3,102,5,4,3,12.9,0,1800.0,8,GSW,0.0,1,.375,16.4,2,1,109
.536,30.9,21,0.0,4.7,1,0,3.5,.615,0,1,5,1,1,.500,+7,2.5,Mickaël Piétrus,.857,0,0.0,.357,20061122,7,129,3,0,1,8.2,.200,1320.0,14,GSW,0.0,0,.500,5.6,7,6,118
.643,17.4,9,21.2,-2.9,3,2,0.0,.605,1,1,3,2,0,.143,+5,7.6,Mike Dunleavy,.000,0,4.5,.429,20061122,4,97,3,1,2,13.4,.333,1294.0,7,GSW,2.1,0,.571,11.4,1,0,113
.500,17.3,2,25.8,-7.4,5,1,8.6,.347,0,0,0,3,1,1.000,-4,30.6,Adonal Foyle,.000,0,22.0,.000,20061122,1,72,0,2,0,0.0,0,534.0,2,GSW,0.0,0,.500,41.5,2,0,104
.000,5.1,0,0.0,-3.6,0,0,0.0,.000,0,0,0,0,0,.000,+7,0.0,Keith McLeod,0,0,0.0,.000,20061122,0,109,0,0,3,43.8,0,470.0,1,GSW,0.0,0,.000,0.0,0,0,122
.000,22.6,0,0.0,-33.9,0,0,0.0,.000,0,0,0,0,0,.000,-1,0.0,Anthony Roberson,0,0,0.0,.000,20061122,0,0,1,0,0,0.0,0,211.0,2,GSW,0.0,0,.000,0.0,0,0,121
0,0.0,0,0,-30.3,0,0,0.0,0,0,0,0,0,0,0,0,0.0,Matt Barnes,0,0,0.0,0,20061122,0,0,2,0,0,0.0,0,98.0,0,GSW,0.0,0,0,0.0,0,0,119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patrick O'Bryant,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,GSW,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nenê Hilário,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julius Hodge,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenyon Martin,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
