efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.375,20.9,18,14.8,6.6,16,3,0.0,.521,3,1,5,13,0,1.000,-5,20.4,Andre Iguodala,.750,0,8.1,.417,20061122,4,118,3,3,10,36.6,.200,2656.0,12,PHI,3.6,1,.333,31.3,12,9,99
.522,32.8,24,8.0,1.9,2,2,0.0,.522,1,4,5,1,0,.000,-4,3.2,Willie Green,0,0,3.4,.217,20061122,10,103,3,1,4,27.3,.800,2088.0,23,PHI,1.5,1,.435,3.1,0,0,112
.375,14.6,7,18.4,-1.1,11,2,9.7,.394,2,0,0,9,4,.250,+4,18.2,Shavlik Randolph,.500,0,7.0,.000,20061122,3,78,4,2,1,4.7,0,2048.0,8,PHI,3.1,1,.375,28.1,2,1,95
.667,8.0,6,17.4,0.9,1,1,0.0,.630,1,0,0,1,0,1.333,-4,1.7,Kevin Ollie,.500,0,0.0,.000,20061122,2,142,5,0,9,42.5,0,1965.0,3,PHI,1.6,1,.667,3.3,4,2,112
.500,9.1,2,33.3,-16.5,2,1,0.0,.500,0,0,0,1,0,.000,-1,7.5,Samuel Dalembert,0,0,7.9,.000,20061122,1,76,6,1,0,0.0,0,909.0,2,PHI,0.0,1,.500,7.0,0,0,113
.667,24.4,19,21.5,-2.7,2,4,0.0,.649,0,4,5,2,0,.500,-11,3.2,Kyle Korver,.500,0,0.0,.417,20061122,6,97,4,0,2,10.6,.800,2099.0,12,PHI,0.0,0,.500,6.1,6,3,115
.643,19.9,9,0.0,1.9,1,0,5.1,.643,0,1,1,1,1,.000,-4,3.5,Rodney Carney,0,0,0.0,.143,20061122,4,124,3,0,0,0.0,1.000,965.0,7,PHI,0.0,0,.571,6.6,0,0,111
1.000,17.6,7,22.5,0.3,4,1,7.2,1.017,0,0,0,2,1,.333,+8,19.6,Alan Henderson,1.000,0,20.8,.000,20061122,3,149,6,2,0,0.0,0,691.0,3,PHI,0.0,0,1.000,18.5,1,1,104
.000,28.6,0,33.3,-34.7,1,2,0.0,.000,0,0,1,0,0,.000,-1,5.9,Lou Williams,0,0,12.5,.250,20061122,0,12,1,1,0,0.0,.000,575.0,4,PHI,0.0,0,.000,0.0,0,0,117
.000,30.8,0,0.0,-31.3,2,0,0.0,.000,0,0,0,2,0,.000,0,25.4,Steven Smith,0,0,0.0,.000,20061122,0,0,0,0,0,0.0,0,267.0,3,PHI,0.0,0,.000,47.9,0,0,102
1.000,21.8,2,0.0,27.0,2,0,0.0,1.000,0,0,0,1,0,.000,-2,53.8,Ivan McFarlin,0,0,57.1,.000,20061122,1,207,0,1,0,0.0,0,126.0,1,PHI,0.0,0,1.000,50.8,0,0,101
0,0.0,0,0,-7.1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,Bobby Jones,0,0,0.0,0,20061122,0,0,0,0,0,0.0,0,11.0,0,PHI,0.0,0,0,0.0,0,0,117
.385,35.0,32,5.8,-0.3,5,2,0.0,.491,2,2,5,4,0,.577,+6,6.2,Michael Redd,.800,0,2.3,.192,20061122,9,103,2,1,2,9.3,.400,2750.0,26,MIL,2.3,1,.346,10.5,15,12,103
.636,19.8,18,17.1,1.9,7,3,0.0,.620,1,0,0,3,0,.727,+6,9.6,Ruben Patterson,.500,0,10.4,.000,20061122,7,115,3,4,5,24.5,0,2464.0,11,MIL,1.3,1,.636,8.8,8,4,106
.625,19.0,14,8.0,6.2,9,1,2.6,.608,0,0,0,6,1,1.000,+3,16.6,Andrew Bogut,.500,0,10.5,.000,20061122,5,127,2,3,4,26.0,0,1834.0,8,MIL,0.0,1,.625,23.6,8,4,102
.167,24.9,4,22.5,-18.5,2,2,0.0,.291,0,0,1,1,0,.333,-9,6.8,Ersan İlyasova,1.000,0,6.4,.167,20061122,1,61,3,1,1,10.0,.000,993.0,6,MIL,0.0,1,.167,7.3,2,2,109
.500,15.3,2,50.0,-12.0,2,2,0.0,.500,0,0,1,2,0,.000,-6,9.3,Steve Blake,0,0,0.0,.500,20061122,1,72,4,0,3,42.3,.000,729.0,2,MIL,0.0,1,.500,19.8,0,0,104
.563,14.4,13,8.9,-3.7,5,1,0.0,.637,0,1,3,5,0,.625,+9,7.8,Charlie Bell,.800,0,0.0,.375,20061122,4,122,5,0,2,10.0,.333,2167.0,8,MIL,0.0,0,.500,16.6,5,4,106
.750,9.9,11,0.0,13.3,2,0,4.9,.799,1,1,3,2,2,.333,+12,3.5,David Noel,1.000,0,0.0,.500,20061122,4,175,4,0,7,39.9,.333,1937.0,6,MIL,1.6,0,.667,7.4,2,2,102
.333,11.0,4,20.5,-3.7,7,1,7.6,.515,0,0,0,4,2,.667,0,19.2,Dan Gadzuric,1.000,0,15.5,.000,20061122,1,110,3,3,0,0.0,0,1237.0,3,MIL,0.0,0,.333,23.3,2,2,98
.000,28.9,0,66.7,-32.0,2,2,0.0,.000,0,0,0,2,0,.000,-1,23.4,Brian Skinner,0,0,0.0,.000,20061122,0,0,0,0,0,0.0,0,289.0,1,MIL,0.0,0,.000,49.8,0,0,96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris McCray,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damir Markota,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lynn Greer,0,0,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steven Hunter,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,PHI,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen Iverson,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,PHI,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Webber,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,PHI,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bobby Simmons,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Charlie Villanueva,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mo Williams,0,1,0,0,20061122,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
