efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.571,23.8,16,21.7,4.0,9,4,0.0,.554,2,0,0,6,0,.071,-23,15.0,Elton Brand,.000,0,8.8,.000,20061126,8,98,2,3,3,23.3,0,1881.0,14,LAC,3.3,1,.571,23.0,1,0,105
.393,22.5,13,11.8,-3.9,8,2,0.0,.437,0,1,2,5,0,.143,-8,13.8,Cuttino Mobley,1.000,0,9.1,.143,20061126,5,95,1,3,0,0.0,.500,1821.0,14,LAC,0.0,1,.357,19.8,2,2,113
.500,11.4,4,20.0,-5.9,3,1,4.2,.500,0,0,0,1,1,.000,-21,8.8,Aaron Williams,0,0,10.4,.000,20061126,2,95,3,2,0,0.0,0,1067.0,4,LAC,0.0,1,.500,6.7,0,0,114
.250,18.2,3,17.0,-17.1,0,1,0.0,.307,0,0,0,0,0,.500,-6,0.0,Quinton Ross,.500,0,0.0,.000,20061126,1,60,3,0,0,0.0,0,786.0,4,LAC,0.0,1,.250,0.0,2,1,119
.250,21.3,2,20.0,-18.9,1,1,0.0,.250,0,0,0,1,0,.000,-13,5.5,Sam Cassell,0,0,0.0,.000,20061126,1,47,1,0,0,0.0,0,570.0,4,LAC,0.0,1,.250,12.6,0,0,115
.353,28.6,22,18.9,2.5,12,5,2.0,.514,2,0,2,6,1,.588,-1,16.7,Corey Maggette,1.000,0,14.8,.118,20061126,6,102,4,6,1,5.3,.000,2246.0,17,LAC,2.7,0,.353,19.2,10,10,106
.500,13.7,9,18.2,1.7,7,2,2.3,.500,3,1,2,4,1,.000,+1,11.2,James Singleton,0,0,8.5,.222,20061126,4,98,4,3,1,5.7,.500,1951.0,9,LAC,4.7,0,.444,14.8,0,0,103
.250,14.1,4,20.0,-5.6,5,2,0.0,.250,1,0,1,3,0,.000,-8,9.1,Shaun Livingston,0,0,6.4,.125,20061126,2,76,4,2,6,34.9,.000,1729.0,8,LAC,1.8,0,.250,12.5,0,0,111
.333,20.2,11,7.4,4.4,1,1,0.0,.439,3,2,3,0,0,.889,+2,1.9,Tim Thomas,.625,0,3.4,.333,20061126,2,103,0,1,1,6.2,.667,1624.0,9,LAC,5.7,0,.222,0.0,8,5,107
.200,21.2,4,0.0,1.1,0,0,0.0,.316,1,0,2,0,0,.600,+2,0.0,Daniel Ewing,.667,0,0.0,.400,20061126,1,93,0,0,2,28.3,.000,726.0,5,LAC,4.2,0,.200,0.0,3,2,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yaroslav Korolev,0,0,0,0,20061126,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Davis,0,0,0,0,20061126,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
.480,36.9,33,9.3,8.8,5,3,0.0,.561,4,0,2,2,0,.400,+17,6.8,Carmelo Anthony,.900,0,9.3,.080,20061126,12,120,5,3,6,28.6,.000,2315.0,25,DEN,5.3,1,.480,4.8,10,9,93
.778,15.3,14,30.8,5.6,3,4,0.0,.778,2,0,0,1,0,.000,+7,4.2,Andre Miller,0,0,6.4,.000,20061126,7,123,1,2,10,40.1,0,2242.0,9,DEN,2.7,1,.778,2.5,0,0,100
.533,25.9,23,9.5,5.5,3,2,1.8,.607,2,2,8,0,1,.600,+20,4.4,J.R. Smith,.778,0,10.1,.533,20061126,7,125,3,3,2,8.5,.250,2140.0,15,DEN,2.9,1,.467,0.0,9,7,100
.400,10.4,5,14.5,2.8,9,1,13.1,.425,0,0,0,8,6,.400,+19,16.2,Marcus Camby,.500,0,4.1,.000,20061126,2,90,1,1,1,4.4,0,1738.0,5,DEN,0.0,1,.400,25.5,2,1,86
1.000,3.7,3,0.0,6.7,2,0,0.0,1.042,2,0,0,2,0,1.000,+15,6.1,Eduardo Nájera,1.000,0,0.0,.000,20061126,1,216,2,0,1,7.3,0,1033.0,1,DEN,5.9,1,1.000,10.7,1,1,88
.667,12.6,4,62.5,-8.4,14,5,0.0,.667,0,0,0,11,0,.000,+1,26.2,Reggie Evans,0,0,12.9,.000,20061126,2,62,4,3,1,4.6,0,1670.0,3,DEN,0.0,0,.667,36.5,0,0,85
.583,31.0,15,7.4,3.3,5,1,6.6,.603,0,0,0,4,2,.083,-4,13.7,Joe Smith,1.000,0,6.3,.000,20061126,7,115,1,1,0,0.0,0,1143.0,12,DEN,0.0,0,.583,19.4,1,1,92
.250,9.5,2,0.0,-10.0,4,0,0.0,.250,0,0,2,4,0,.000,-1,11.2,Yakhouba Diawara,0,0,0.0,.500,20061126,1,62,2,0,0,0.0,.000,1115.0,4,DEN,0.0,0,.250,19.9,0,0,95
.250,21.7,2,50.0,-7.2,1,4,0.0,.250,1,0,2,0,0,.000,-1,3.2,Earl Boykins,0,0,7.4,.500,20061126,1,64,0,1,6,46.6,.000,975.0,4,DEN,3.1,0,.250,0.0,0,0,101
1.000,91.0,2,0.0,85.7,0,0,0.0,1.000,0,0,0,0,0,.000,+2,0.0,Linas Kleiza,0,0,0.0,.000,20061126,1,200,0,0,0,0.0,0,29.0,1,DEN,0.0,0,1.000,0.0,0,0,107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamal Sampson,0,0,0,0,20061126,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DerMarr Johnson,0,0,0,0,20061126,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Kaman,0,1,0,0,20061126,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Željko Rebrača,0,1,0,0,20061126,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nenê Hilário,0,1,0,0,20061126,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julius Hodge,0,1,0,0,20061126,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenyon Martin,0,1,0,0,20061126,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
