efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.559,22.8,20,18.3,-2.1,4,4,1.9,.559,1,3,5,1,1,.118,+7,5.9,Al Harrington,.500,0,8.1,.294,20061222,8,102,3,3,1,4.0,.600,2372.0,17,IND,1.3,1,.471,3.3,2,1,105
.632,27.2,27,12.6,5.8,3,3,2.1,.650,1,4,6,2,1,.211,+9,4.9,Stephen Jackson,.750,0,3.0,.316,20061222,10,122,3,1,1,5.0,.667,2154.0,19,IND,1.5,1,.526,7.2,4,3,103
.444,29.4,16,21.7,-1.9,11,5,4.7,.444,1,0,0,5,2,.000,+15,20.0,Jermaine O'Neal,0,0,19.9,.000,20061222,8,92,2,6,4,21.3,0,1928.0,18,IND,1.6,1,.444,20.2,0,0,97
.389,20.3,10,20.5,-1.4,1,3,0.0,.430,2,1,3,1,0,.667,+5,2.0,Jamaal Tinsley,.500,0,0.0,.333,20061222,3,102,3,0,9,41.4,.333,1782.0,9,IND,3.5,1,.333,4.4,6,3,101
.500,6.4,3,0.0,-2.8,16,0,3.1,.399,0,0,0,12,1,2.000,+7,39.0,Jeff Foster,.250,0,17.8,.000,20061222,1,113,4,4,0,0.0,0,1441.0,2,IND,0.0,1,.500,64.8,4,1,89
.450,14.4,9,8.4,-5.9,6,1,4.4,.414,0,1,2,4,2,.200,+7,10.3,Danny Granger,.000,0,6.3,.200,20061222,4,91,3,2,0,0.0,.500,2042.0,10,IND,0.0,0,.400,15.2,2,0,102
.400,21.2,7,24.0,4.6,1,2,0.0,.554,1,0,2,0,0,.600,+4,3.6,Šarūnas Jasikevičius,1.000,0,6.6,.400,20061222,2,121,2,1,6,52.3,.000,970.0,5,IND,3.2,0,.400,0.0,3,3,103
.200,16.0,2,0.0,17.2,2,0,0.0,.200,4,0,3,0,0,.000,+3,9.1,Darrell Armstrong,0,0,16.6,.600,20061222,1,101,0,2,3,30.9,.000,772.0,5,IND,16.3,0,.200,0.0,0,0,75
1.000,15.5,6,22.5,4.9,0,1,0.0,.872,1,0,0,0,0,.333,-8,0.0,Maceo Baston,.000,0,0.0,.000,20061222,3,119,2,0,1,14.6,0,708.0,3,IND,4.4,0,1.000,0.0,1,0,100
0,0.0,0,0,-5.6,1,0,0.0,0,0,0,0,1,0,0,+1,15.1,Shawne Williams,0,0,0.0,0,20061222,0,0,0,0,0,0.0,0,232.0,0,IND,0.0,0,0,33.6,0,0,100
