efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.409,15.2,13,0.0,-0.2,2,0,0.0,.509,0,1,5,2,0,.364,-9,2.9,Cuttino Mobley,1.000,0,0.0,.455,20061226,4,116,2,0,4,16.1,.200,2448.0,11,LAC,0.0,1,.364,5.7,4,4,120
.600,27.5,21,22.5,-3.1,7,5,3.9,.610,0,0,0,4,2,.333,-12,10.7,Elton Brand,.600,0,9.4,.000,20061226,9,95,4,3,0,0.0,0,2348.0,15,LAC,0.0,1,.600,12.0,5,3,115
.417,20.2,10,7.4,-3.6,4,1,0.0,.402,1,0,1,3,0,.083,-17,7.4,Shaun Livingston,.000,0,3.8,.083,20061226,5,89,4,1,4,22.4,.000,1936.0,12,LAC,1.7,1,.417,10.9,1,0,115
.667,21.5,13,29.8,7.2,7,4,5.0,.689,2,0,0,6,2,.111,-2,13.8,Chris Kaman,1.000,0,4.1,.000,20061226,6,99,3,1,3,19.3,0,1822.0,9,LAC,3.5,1,.667,23.1,1,1,103
.350,20.7,9,15.5,-6.7,7,2,0.0,.414,0,1,4,7,0,.200,-8,13.9,Tim Thomas,1.000,0,0.0,.400,20061226,3,80,6,0,3,16.4,.250,1808.0,10,LAC,0.0,1,.300,27.2,2,2,113
.455,25.7,19,11.8,1.8,2,2,0.0,.635,1,0,0,2,0,.818,+3,3.7,Corey Maggette,1.000,0,0.0,.000,20061226,5,119,5,0,2,11.3,0,1921.0,11,LAC,1.7,0,.455,7.3,9,9,116
.000,11.2,3,26.6,-0.1,3,1,0.0,.543,1,0,0,3,0,4.000,+9,11.1,Daniel Ewing,.750,0,0.0,.000,20061226,0,100,2,0,2,17.4,0,974.0,1,LAC,3.3,0,.000,21.6,4,3,108
.000,4.3,0,0.0,-6.4,3,0,0.0,.000,0,0,0,2,0,.000,-12,15.8,Aaron Williams,0,0,10.8,.000,20061226,0,64,1,1,0,0.0,0,685.0,1,LAC,0.0,0,.000,20.5,0,0,115
1.000,15.5,4,0.0,6.6,1,0,0.0,.820,0,0,0,0,0,.500,-2,7.9,Quinton Ross,.000,0,16.1,.000,20061226,2,159,1,1,0,0.0,0,458.0,2,LAC,0.0,0,1.000,0.0,1,0,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Singleton,0,0,0,0,20061226,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yaroslav Korolev,0,0,0,0,20061226,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Davis,0,0,0,0,20061226,0,0,0,0,0,0,0,0.0,0,LAC,0,0,0,0,0,0,0
.579,25.9,26,8.8,4.9,10,2,0.0,.626,2,0,0,6,0,.211,+15,14.6,Carlos Boozer,1.000,0,11.4,.000,20061226,11,125,1,4,1,5.1,0,2462.0,19,UTA,2.6,1,.579,18.0,4,4,102
.472,30.9,21,12.0,-0.8,3,3,0.0,.478,1,1,3,2,0,.500,+15,4.8,Deron Williams,.444,0,3.1,.167,20061226,8,100,1,1,7,34.6,.333,2258.0,18,UTA,1.4,1,.444,6.5,9,4,106
.643,21.9,24,0.0,12.3,11,0,2.1,.685,0,2,7,8,1,.571,+15,17.7,Mehmet Okur,.750,0,9.4,.500,20061226,8,154,3,3,4,20.1,.286,2236.0,14,UTA,0.0,1,.571,26.4,8,6,104
.250,16.8,9,16.4,-7.0,4,2,2.3,.441,0,0,0,4,1,.625,+13,7.1,Derek Fisher,1.000,0,0.0,.000,20061226,2,92,3,0,3,12.8,0,2029.0,8,UTA,0.0,1,.250,14.6,5,5,106
.333,14.7,4,20.5,3.6,1,1,10.0,.515,0,0,1,1,2,.667,+1,3.9,Andrei Kirilenko,1.000,0,0.0,.333,20061226,1,108,3,0,3,28.2,.000,930.0,3,UTA,0.0,1,.333,7.9,2,2,100
.800,12.0,8,16.7,-1.8,0,1,0.0,.800,1,2,3,0,0,.000,+19,0.0,Gordan Giriček,0,0,0.0,.600,20061226,3,122,5,0,0,0.0,.667,1394.0,5,UTA,2.3,0,.600,0.0,0,0,105
.000,4.8,2,0.0,1.9,5,0,0.0,.532,1,0,0,3,0,2.000,-3,16.4,Ronnie Brewer,1.000,0,12.8,.000,20061226,0,155,0,2,0,0.0,0,1095.0,1,UTA,2.9,0,.000,20.2,2,2,101
.667,16.6,6,20.5,0.4,2,1,5.7,.773,0,0,0,2,1,.667,-8,8.8,Paul Millsap,1.000,0,0.0,.000,20061226,2,128,4,0,1,12.1,0,821.0,3,UTA,0.0,0,.667,18.0,2,2,102
