efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.404,30.2,22,15.9,-6.5,8,5,0.0,.416,1,5,11,4,0,.038,+18,10.0,Jamal Crawford,1.000,0,10.5,.423,20070105,8,103,3,4,7,21.2,.455,2880.0,26,NYK,1.2,1,.308,9.5,1,1,115
.676,23.5,28,5.0,7.2,2,1,0.0,.729,0,5,7,2,0,.294,+17,3.0,Stephon Marbury,1.000,0,0.0,.412,20070105,9,164,3,0,4,16.1,.714,2374.0,17,NYK,0.0,1,.529,5.8,5,5,119
1.000,26.0,27,17.4,15.3,6,3,2.3,.945,0,0,0,3,1,1.333,+24,11.8,Eddy Curry,.750,0,12.4,.000,20070105,9,157,1,3,2,11.7,0,1836.0,9,NYK,0.0,1,1.000,11.2,12,9,115
.750,9.5,7,17.0,-3.0,5,1,0.0,.717,0,0,0,4,0,.500,+26,10.5,Jared Jeffries,.500,0,4.4,.000,20070105,3,130,4,1,1,4.7,0,1707.0,4,NYK,0.0,1,.750,16.1,2,1,114
.500,17.5,9,0.0,0.7,5,0,3.1,.533,0,0,0,4,1,.125,+14,13.5,Channing Frye,1.000,0,5.7,.000,20070105,4,137,1,1,1,6.7,0,1333.0,8,NYK,0.0,1,.500,20.6,1,1,110
.625,14.7,10,11.1,0.5,10,1,0.0,.625,0,0,0,4,0,.000,+2,21.2,David Lee,0,0,26.8,.000,20070105,5,145,3,6,2,10.4,0,1696.0,8,NYK,0.0,0,.625,16.2,0,0,114
.500,6.8,2,33.3,7.3,4,1,6.8,.500,1,0,0,3,2,.000,0,11.7,Renaldo Balkman,0,0,6.2,.000,20070105,1,118,2,1,3,18.2,0,1229.0,2,NYK,2.8,0,.500,16.7,0,0,104
.333,16.5,2,40.0,-8.3,1,2,5.0,.333,1,0,1,1,1,.000,-4,4.3,Malik Rose,0,0,0.0,.333,20070105,1,43,0,0,0,0.0,.000,837.0,3,NYK,4.2,0,.333,8.2,0,0,106
.333,26.4,4,0.0,-1.3,2,0,0.0,.515,0,0,0,1,0,.667,-5,17.7,Mardy Collins,1.000,0,18.6,.000,20070105,1,142,0,1,0,0.0,0,407.0,3,NYK,0.0,0,.333,16.8,2,2,114
0,0.0,0,0,-29.3,0,0,0.0,0,0,0,0,0,0,0,-2,0.0,Jerome James,0,0,0.0,0,20070105,0,0,2,0,0,0.0,0,101.0,0,NYK,0.0,0,0,0.0,0,0,118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nate Robinson,0,0,0,0,20070105,0,0,0,0,0,0,0,0.0,0,NYK,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kelvin Cato,0,0,0,0,20070105,0,0,0,0,0,0,0,0.0,0,NYK,0,0,0,0,0,0,0
.300,16.5,11,0.0,-2.8,2,0,0.0,.435,3,0,3,1,0,.600,-12,3.3,Ray Allen,.833,0,3.1,.300,20070105,3,115,1,1,2,8.2,.000,2182.0,10,SEA,4.8,1,.300,3.5,6,5,130
.313,23.5,12,0.0,-7.3,4,0,0.0,.355,0,2,5,3,0,.125,-30,7.0,Damien Wilkins,1.000,0,3.3,.313,20070105,4,101,1,1,4,18.5,.400,2050.0,16,SEA,0.0,1,.250,11.1,2,2,137
.375,20.0,8,18.4,-10.7,0,2,3.0,.450,0,0,1,0,1,.250,-18,0.0,Luke Ridnour,1.000,0,0.0,.125,20070105,3,94,4,0,4,24.4,.000,1553.0,8,SEA,0.0,1,.375,0.0,2,2,141
.625,21.0,13,0.0,-3.3,6,0,0.0,.587,0,0,0,3,0,.875,-24,14.3,Chris Wilcox,.429,0,13.7,.000,20070105,5,130,3,3,0,0.0,0,1507.0,8,SEA,0.0,1,.625,15.1,7,3,135
1.000,12.6,6,25.8,-5.2,4,1,0.0,1.042,0,0,0,2,0,1.000,-2,16.4,Danny Fortson,1.000,0,15.6,.000,20070105,2,152,4,2,0,0.0,0,879.0,2,SEA,0.0,1,1.000,17.2,2,2,134
.308,23.0,12,6.3,5.0,1,1,4.8,.407,1,0,5,0,2,.308,-8,1.8,Earl Watson,1.000,0,3.5,.385,20070105,4,115,1,1,11,53.9,.000,1952.0,13,SEA,1.8,0,.308,0.0,4,4,136
.800,11.0,8,0.0,-1.4,6,0,3.6,.800,0,0,0,6,1,.000,-8,16.7,Nick Collison,0,0,0.0,.000,20070105,4,161,4,0,0,0.0,0,1296.0,5,SEA,0.0,0,.800,35.1,0,0,125
.625,20.6,10,11.1,-2.0,5,1,0.0,.625,0,0,0,1,0,.000,+9,14.4,Mickaël Gelabale,0,0,22.0,.000,20070105,5,126,3,4,1,9.4,0,1247.0,8,SEA,0.0,0,.625,6.1,0,0,139
.500,16.9,5,0.0,-10.8,2,0,0.0,.512,0,0,0,2,0,.500,-7,8.7,Johan Petro,.500,0,0.0,.000,20070105,2,113,3,0,0,0.0,0,824.0,4,SEA,0.0,0,.500,18.4,2,1,134
.500,62.7,8,20.0,-10.2,5,2,0.0,.500,0,0,0,2,0,.000,+5,39.6,Andre Brown,0,0,45.2,.000,20070105,4,90,0,3,0,0.0,0,455.0,8,SEA,0.0,0,.500,33.3,0,0,128
.000,6.3,0,0.0,11.6,2,0,0.0,.000,2,0,0,1,0,.000,+5,15.8,Mike Wilks,0,0,15.1,.000,20070105,0,90,0,1,1,17.6,0,455.0,1,SEA,15.3,0,.000,16.7,0,0,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mouhamed Sene,0,0,0,0,20070105,0,0,0,0,0,0,0,0.0,0,SEA,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Francis,0,1,0,0,20070105,0,0,0,0,0,0,0,0.0,0,NYK,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quentin Richardson,0,1,0,0,20070105,0,0,0,0,0,0,0,0.0,0,NYK,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rashard Lewis,0,1,0,0,20070105,0,0,0,0,0,0,0,0.0,0,SEA,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Swift,0,1,0,0,20070105,0,0,0,0,0,0,0,0.0,0,SEA,0,0,0,0,0,0,0
