blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.417,7.4,0.0,119,2,12,1.000,17.0,5,4,-3,87,4,2,20070115,2724.0,0,Ryan Gomes,12,2,0,.000,0,.417,2,0,-8.7,5.5,.466,BOS,0,2,.167,1,5.9,2,0,23.7,5.2
7.0,.571,0.0,0.0,107,0,18,.667,23.0,8,17,0,103,5,9,20070115,2425.0,0,Al Jefferson,14,2,0,.000,4,.571,8,0,-3.3,26.2,.587,BOS,0,3,.214,1,26.4,5,0,24.6,26.1
0.0,.400,21.6,1.7,116,4,13,1.000,18.5,4,1,-5,120,2,1,20070115,1911.0,1,Sebastian Telfair,10,2,0,.500,0,.550,0,3,1.0,2.0,.597,BOS,5,2,.200,1,0.0,2,.600,15.5,3.7
0.0,.444,0.0,3.5,109,0,22,.750,35.2,8,4,+2,99,4,3,20070115,1848.0,2,Gerald Green,18,3,0,.333,0,.528,1,3,-3.4,8.1,.557,BOS,6,4,.222,1,4.3,5,.500,16.8,11.4
0.0,0,23.1,0.0,113,2,0,0,7.5,0,2,-6,44,2,2,20070115,734.0,0,Kendrick Perkins,0,0,0,0,0,0,0,0,-6.4,10.2,0,BOS,0,0,0,1,0.0,2,0,100.0,19.1
2.0,.273,35.4,4.5,102,8,9,.750,16.1,3,7,-2,113,0,7,20070115,2170.0,3,Rajon Rondo,11,3,0,.091,1,.273,0,0,3.7,12.1,.353,BOS,1,4,.364,0,0.0,3,.000,0.0,22.7
0.0,.667,0.0,1.9,115,0,22,.875,25.1,6,2,-1,142,3,1,20070115,1691.0,1,Allan Ray,9,7,0,.556,0,.833,1,3,9.0,4.4,.879,BOS,5,8,.889,0,4.7,2,.600,19.3,4.2
0.0,.000,0.0,0.0,121,0,0,0,5.1,0,0,-1,0,0,0,20070115,534.0,0,Leon Powe,1,0,0,.000,0,.000,0,0,-10.6,0.0,.000,BOS,0,0,.000,0,0.0,0,0,0.0,0.0
11.7,0,0.0,0.0,106,0,0,0,0.0,0,1,-4,0,0,1,20070115,363.0,0,Michael Olowokandi,0,0,0,0,1,0,0,0,-2.7,10.3,0,BOS,0,0,0,0,0.0,2,0,0,19.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Delonte West,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Wally Szczerbiak,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Brian Scalabrine,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,0,0,0,0,0,0,0
0.0,.500,32.6,1.2,115,9,18,0,18.6,8,2,-3,122,2,2,20070115,2627.0,1,Joe Johnson,16,0,0,.250,0,.563,0,2,-0.5,2.8,.563,ATL,4,0,.000,1,0.0,2,.500,11.1,6.1
2.2,.250,14.4,1.4,114,4,8,.500,17.6,3,3,+3,84,1,1,20070115,2274.0,1,Marvin Williams,12,2,0,.000,1,.250,2,0,-8.8,4.9,.291,ATL,0,4,.333,1,6.2,2,0,6.8,3.5
15.9,.583,13.3,7.4,90,3,18,.667,28.2,7,4,+15,83,8,3,20070115,2180.0,5,Josh Smith,12,4,0,.167,7,.583,1,0,5.7,6.9,.615,ATL,2,6,.500,1,3.2,1,.000,35.3,11.0
0.0,.500,0.0,0.0,110,0,5,.500,11.5,2,6,+2,126,0,4,20070115,1157.0,0,Lorenzen Wright,4,1,0,.000,0,.500,2,0,-5.2,19.4,.512,ATL,0,2,.500,1,12.1,1,0,0.0,27.7
0.0,1.000,0.0,0.0,115,0,6,0,14.5,3,1,+5,200,0,1,20070115,561.0,0,Royal Ivey,3,0,0,.000,0,1.000,0,0,4.4,6.7,1.000,ATL,0,0,.000,1,0.0,1,0,0.0,14.3
2.1,.667,9.3,2.8,105,2,23,.667,21.4,10,14,-1,140,2,6,20070115,2324.0,2,Josh Childress,15,2,0,.133,1,.700,8,1,8.6,22.5,.705,ATL,2,3,.200,0,24.2,3,.500,10.9,20.7
0.0,.500,13.9,2.8,104,2,2,0,11.9,1,5,-6,61,3,4,20070115,1137.0,1,Shelden Williams,2,0,0,.000,0,.500,1,0,-8.6,16.4,.500,ATL,0,0,.000,0,6.2,3,0,60.0,28.1
0.0,.333,14.7,3.0,108,2,12,1.000,18.6,1,3,+11,191,0,2,20070115,1080.0,1,Zaza Pachulia,3,10,0,.000,0,.333,1,0,9.7,10.4,.811,ATL,0,10,3.333,0,6.5,4,0,0.0,14.8
0.0,.333,9.7,0.0,117,1,8,0,30.8,4,1,-6,84,0,1,20070115,1060.0,0,Salim Stoudamire,12,0,0,.250,0,.333,0,0,-16.5,3.5,.333,ATL,3,0,.000,0,0.0,1,.000,0.0,7.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Dijon Thompson,0,0,0,0,0,0,0,0,0,0,0,ATL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Stanislav Medvedenko,0,0,0,0,0,0,0,0,0,0,0,ATL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070115,0.0,0,Solomon Jones,0,0,0,0,0,0,0,0,0,0,0,ATL,0,0,0,0,0,0,0,0,0
