efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.389,20.9,19,4.7,9.6,14,1,7.1,.470,2,0,1,13,5,.278,+15,17.6,Kevin Garnett,1.000,0,2.6,.056,20070115,7,119,2,1,6,21.7,.000,2983.0,18,MIN,2.4,1,.389,31.5,5,5,89
.536,21.6,21,19.0,1.1,4,4,0.0,.615,2,3,4,3,0,.500,+5,5.2,Ricky Davis,.857,0,2.7,.286,20070115,6,116,5,1,4,14.6,.750,2874.0,14,MIN,2.4,1,.429,7.5,7,6,102
.875,10.8,15,19.2,9.6,11,2,0.0,.889,1,0,0,3,0,.125,+11,14.5,Trenton Hassell,1.000,0,21.8,.000,20070115,7,158,1,8,5,19.1,0,2847.0,8,MIN,1.2,1,.875,7.6,1,1,105
.346,20.6,10,12.6,-10.0,6,2,0.0,.360,0,1,1,4,0,.154,-10,9.9,Mark Blount,.500,0,6.8,.077,20070115,4,82,3,2,1,4.4,1.000,2277.0,13,MIN,0.0,1,.308,12.7,2,1,105
.444,25.8,8,30.8,-8.4,4,4,0.0,.444,1,0,0,2,0,.000,+5,10.1,Mike James,0,0,10.4,.000,20070115,4,73,0,2,1,7.5,0,1485.0,9,MIN,2.4,1,.444,9.7,0,0,102
.500,25.9,11,26.7,-5.8,4,4,0.0,.500,1,1,2,3,0,.000,+1,8.8,Randy Foye,0,0,4.5,.182,20070115,5,84,2,1,2,13.5,.500,1705.0,11,MIN,2.1,0,.455,12.7,0,0,101
.600,17.1,8,0.0,3.2,5,0,0.0,.633,1,0,0,4,0,.600,+1,17.2,Craig Smith,.667,0,7.1,.000,20070115,3,143,3,1,0,0.0,0,1090.0,5,MIN,3.2,0,.600,26.5,3,2,94
.200,23.1,2,0.0,-13.0,0,0,0.0,.200,1,0,0,0,0,.000,-8,0.0,Bracey Wright,0,0,0.0,.000,20070115,1,54,1,0,0,0.0,0,639.0,5,MIN,5.5,0,.200,0.0,0,0,98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justin Reed,0,0,0,0,20070115,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Madsen,0,0,0,0,20070115,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
