efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.536,24.2,22,10.2,-0.7,2,2,0.0,.628,0,1,1,2,0,.571,-18,4.3,Joe Johnson,.875,0,0.0,.071,20070120,7,130,3,0,5,22.3,1.000,2572.0,14,ATL,0.0,1,.500,10.2,8,7,134
.563,22.5,20,0.0,1.9,5,0,0.0,.592,1,0,0,2,0,.125,-1,11.6,Marvin Williams,1.000,0,12.0,.000,20070120,9,137,1,3,1,5.4,0,2391.0,16,ATL,1.5,1,.563,11.0,2,2,131
.625,17.2,12,18.4,0.5,1,2,5.1,.676,1,0,0,0,2,.250,-14,2.8,Royal Ivey,1.000,0,4.8,.000,20070120,5,118,3,1,1,5.5,0,2013.0,8,ATL,1.8,1,.625,0.0,2,2,127
.250,27.5,2,45.0,-20.1,4,4,5.0,.205,0,0,0,3,1,.500,-14,21.5,Josh Smith,.000,0,9.3,.000,20070120,1,40,2,1,2,18.5,0,1029.0,4,ATL,0.0,1,.250,38.2,2,0,127
.750,18.9,6,20.0,-1.3,2,1,6.1,.750,0,0,0,0,1,.000,-7,13.1,Lorenzen Wright,0,0,22.7,.000,20070120,3,131,5,2,1,15.0,0,844.0,4,ATL,0.0,1,.750,0.0,0,0,128
.667,18.0,18,14.7,4.8,5,2,2.1,.773,1,0,0,2,1,.667,-19,11.5,Josh Childress,1.000,0,11.9,.000,20070120,6,145,2,3,2,9.2,0,2416.0,9,ATL,1.5,0,.667,10.8,6,6,129
.125,26.7,2,27.3,-24.4,3,3,0.0,.125,0,0,0,3,0,.000,-10,12.6,Zaza Pachulia,0,0,0.0,.000,20070120,1,37,4,0,3,21.3,0,1316.0,8,ATL,0.0,0,.125,29.8,0,0,132
.000,9.9,0,66.7,-12.8,5,2,0.0,.000,1,0,0,5,0,.000,0,28.6,Shelden Williams,0,0,0.0,.000,20070120,0,0,2,0,0,0.0,0,969.0,1,ATL,3.7,0,.000,67.5,0,0,122
1.000,9.7,3,0.0,3.2,0,0,0.0,1.042,0,0,0,0,0,1.000,-5,0.0,Dijon Thompson,1.000,0,0.0,.000,20070120,1,218,0,0,0,0.0,0,475.0,1,ATL,0.0,0,1.000,0.0,1,1,136
0,0.0,0,0,-10.6,0,0,0.0,0,0,0,0,0,0,0,-7,0.0,Esteban Batista,0,0,0.0,0,20070120,0,0,1,0,0,0.0,0,375.0,0,ATL,0.0,0,0,0.0,0,0,135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanislav Medvedenko,0,0,0,0,20070120,0,0,0,0,0,0,0,0.0,0,ATL,0,0,0,0,0,0,0
