efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.413,45.3,42,8.2,-4.4,12,4,0.0,.468,2,1,2,8,0,.275,-1,15.0,Zach Randolph,.818,0,9.3,.050,20070127,16,99,4,4,2,7.9,.500,2812.0,40,POR,2.2,1,.400,21.5,11,9,116
.318,14.4,13,0.0,-3.4,3,0,0.0,.462,2,1,2,3,0,.636,+5,4.1,Jarrett Jack,.857,0,0.0,.182,20070127,3,120,3,0,5,14.6,.500,2547.0,11,POR,2.4,1,.273,8.9,7,6,118
.577,18.2,16,22.9,-1.1,4,4,0.0,.595,3,1,2,3,0,.077,+4,5.6,Brandon Roy,1.000,0,2.6,.154,20070127,7,105,5,1,6,20.3,.500,2499.0,13,POR,3.7,1,.538,9.1,1,1,115
.900,13.1,21,0.0,13.1,7,0,0.0,.861,3,2,2,5,0,.500,0,10.1,Ime Udoka,.600,0,5.4,.200,20070127,8,180,2,2,4,14.5,1.000,2426.0,10,POR,3.8,1,.800,15.6,5,3,114
.400,7.5,4,16.7,-7.4,11,1,2.6,.400,0,0,0,7,1,.000,+13,18.6,Joel Przybilla,0,0,12.6,.000,20070127,2,101,5,4,0,0.0,0,2082.0,5,POR,0.0,1,.400,25.4,0,0,118
.833,16.2,10,25.0,-5.6,4,2,0.0,.833,0,0,0,2,0,.000,-6,10.9,Jamaal Magloire,0,0,10.2,.000,20070127,5,120,5,2,0,0.0,0,1286.0,6,POR,0.0,0,.833,11.8,0,0,122
.714,23.4,12,10.2,1.3,2,1,0.0,.685,0,2,5,1,0,.571,-1,6.5,Martell Webster,.500,0,6.0,.714,20070127,4,124,1,1,0,0.0,.400,1089.0,7,POR,0.0,0,.571,6.9,4,2,124
.600,13.3,7,0.0,14.4,1,0,0.0,.643,3,0,1,1,0,.200,0,3.3,Sergio Rodríguez,1.000,0,0.0,.200,20070127,3,162,4,0,7,55.6,.000,1064.0,5,POR,8.7,0,.600,7.1,1,1,104
.417,24.5,5,25.0,-8.6,1,2,0.0,.417,1,1,1,1,0,.000,-3,4.1,Juan Dixon,0,0,0.0,.167,20070127,2,76,2,0,2,19.1,1.000,850.0,6,POR,3.6,0,.333,8.9,0,0,115
0,9.5,3,0.0,1.7,2,0,0.0,.852,0,0,0,2,0,0,-2,14.5,LaMarcus Aldridge,.750,0,0.0,0,20070127,0,191,3,0,1,14.1,0,485.0,0,POR,0.0,0,0,31.2,4,3,117
.500,20.0,2,0.0,-0.7,2,0,0.0,.500,0,0,0,0,0,.000,+6,26.9,Raef LaFrentz,0,0,50.3,.000,20070127,1,139,0,2,0,0.0,0,261.0,2,POR,0.0,0,.500,0.0,0,0,126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Dickau,0,0,0,0,20070127,0,0,0,0,0,0,0,0.0,0,POR,0,0,0,0,0,0,0
.545,21.8,28,0.0,2.0,8,0,0.0,.568,0,6,12,6,0,.273,+3,9.0,Mike Miller,.667,0,4.9,.545,20070127,9,131,0,2,3,9.1,.500,3112.0,22,MEM,0.0,1,.409,12.7,6,4,123
.550,28.7,24,28.8,-6.9,14,9,7.7,.541,0,0,0,10,6,.250,-1,16.4,Pau Gasol,.400,0,10.1,.000,20070127,11,85,5,4,2,6.8,0,2995.0,20,MEM,0.0,1,.550,21.9,5,2,114
.857,11.7,13,0.0,7.5,8,0,0.0,.874,2,2,4,8,0,.143,+1,16.1,Eddie Jones,1.000,0,0.0,.571,20070127,5,180,6,0,1,5.4,.500,1751.0,7,MEM,3.5,1,.714,30.0,1,1,110
.333,19.3,6,29.1,-12.3,5,3,0.0,.410,1,0,0,4,0,.500,0,11.9,Lawrence Roberts,.667,0,5.1,.000,20070127,2,67,3,1,0,0.0,0,1475.0,6,MEM,2.1,1,.333,17.8,3,2,117
.375,17.4,3,40.3,3.5,2,3,0.0,.338,2,1,2,1,0,.250,+7,6.0,Damon Stoudamire,.000,0,6.4,.500,20070127,1,101,3,1,10,66.9,.500,1180.0,4,MEM,5.2,1,.250,5.6,1,0,114
.636,19.8,23,6.1,1.7,1,1,0.0,.747,0,2,5,1,0,.909,-13,1.5,Chucky Atkins,.900,0,0.0,.455,20070127,6,157,6,0,5,20.1,.400,2290.0,11,MEM,0.0,0,.545,2.9,10,9,125
.636,29.9,20,16.7,-2.6,6,3,4.7,.668,0,0,1,4,2,.818,-11,12.7,Hakim Warrick,.667,0,9.1,.091,20070127,7,116,6,2,0,0.0,.000,1655.0,11,MEM,0.0,0,.636,15.9,9,6,118
.600,12.4,9,0.0,-0.9,2,0,0.0,.666,0,0,0,1,0,.800,-8,4.7,Dahntay Jones,.750,0,5.0,.000,20070127,3,151,2,1,1,5.8,0,1507.0,5,MEM,0.0,0,.600,4.4,4,3,125
1.000,8.8,4,0.0,7.5,3,0,6.2,1.000,0,0,0,1,1,.000,+6,16.9,Alexander Johnson,0,0,24.2,.000,20070127,2,206,1,2,0,0.0,0,625.0,2,MEM,0.0,0,1.000,10.5,0,0,118
1.000,9.3,2,50.0,-6.8,1,1,0.0,1.000,0,0,0,1,0,.000,-2,5.9,Rudy Gay,0,0,0.0,.000,20070127,1,80,1,0,0,0.0,0,591.0,1,MEM,0.0,0,1.000,11.1,0,0,123
0,0.0,0,0,-3.5,0,0,0.0,0,0,0,0,0,0,0,0,0.0,Jake Tsakalidis,0,0,0.0,0,20070127,0,0,0,0,0,0.0,0,210.0,0,MEM,0.0,0,0,0.0,0,0,127
0,0.0,0,0,202.2,0,0,0.0,0,0,0,0,0,0,0,+3,0.0,Tarence Kinsey,0,0,0.0,0,20070127,0,223,0,0,1,100.0,0,10.0,0,MEM,0.0,0,0,0.0,0,0,127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darius Miles,0,1,0,0,20070127,0,0,0,0,0,0,0,0.0,0,POR,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Travis Outlaw,0,1,0,0,20070127,0,0,0,0,0,0,0,0.0,0,POR,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brian Cardinal,0,1,0,0,20070127,0,0,0,0,0,0,0,0.0,0,MEM,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Lowry,0,1,0,0,20070127,0,0,0,0,0,0,0,0.0,0,MEM,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stromile Swift,0,1,0,0,20070127,0,0,0,0,0,0,0,0.0,0,MEM,0,0,0,0,0,0,0
