efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.500,30.2,26,29.1,-1.8,5,9,1.4,.592,2,2,4,4,1,.500,-13,6.6,Allen Iverson,.889,0,2.7,.222,20070224,8,87,2,1,4,18.2,.500,2621.0,18,DEN,2.1,1,.444,10.2,9,8,112
.609,34.6,34,20.9,3.5,6,7,0.0,.641,3,0,0,6,0,.348,-8,8.4,Carmelo Anthony,.750,0,0.0,.000,20070224,14,98,4,0,3,20.9,0,2477.0,23,DEN,3.3,1,.609,16.2,8,6,109
.333,13.0,10,18.1,13.6,17,2,3.3,.551,4,0,0,13,2,1.167,-9,27.0,Marcus Camby,.857,0,13.2,.000,20070224,2,121,1,4,7,30.4,0,2183.0,6,DEN,5.1,1,.333,39.9,7,6,98
.500,16.4,8,11.1,-5.3,3,1,0.0,.500,1,0,0,2,0,.000,-20,7.4,Nenê Hilário,0,0,5.1,.000,20070224,4,93,6,1,1,8.3,0,1403.0,8,DEN,2.0,1,.500,9.5,0,0,113
.200,12.6,3,0.0,-12.0,0,0,0.0,.237,0,0,3,0,0,.600,-11,0.0,Yakhouba Diawara,.333,0,0.0,.600,20070224,1,51,3,0,0,0.0,.000,1284.0,5,DEN,0.0,1,.200,0.0,3,1,119
.429,14.7,6,22.2,-2.8,3,2,2.3,.429,2,0,0,3,1,.000,-10,6.6,Eduardo Nájera,0,0,0.0,.000,20070224,3,67,3,0,1,6.7,0,1566.0,7,DEN,3.5,0,.429,12.8,0,0,107
.000,4.9,1,0.0,-6.6,2,0,0.0,.174,0,0,0,2,0,1.000,-11,4.6,Steve Blake,.500,0,0.0,.000,20070224,0,85,2,0,4,23.1,0,1513.0,2,DEN,0.0,0,.000,8.9,2,1,117
.250,19.2,7,20.5,-7.7,2,2,0.0,.451,1,1,3,2,0,.667,-15,5.3,Linas Kleiza,1.000,0,0.0,.500,20070224,1,75,3,0,0,0.0,.333,1298.0,6,DEN,2.1,0,.167,10.3,4,4,113
0,0.0,0,0,-3.7,0,0,0.0,0,0,0,0,0,0,0,-3,0.0,DerMarr Johnson,0,0,0.0,0,20070224,0,0,0,0,0,0.0,0,55.0,0,DEN,0.0,0,0,0.0,0,0,119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J.R. Smith,0,0,0,0,20070224,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamal Sampson,0,0,0,0,20070224,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reggie Evans,0,0,0,0,20070224,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
.568,28.3,27,14.6,-0.5,3,4,1.9,.579,2,1,2,2,1,.136,+5,4.4,Josh Howard,.667,0,2.8,.091,20070224,12,100,4,1,0,0.0,.500,2370.0,22,DAL,2.3,1,.545,6.1,3,2,93
.477,36.2,31,13.2,11.9,11,4,2.1,.587,0,1,2,9,1,.455,+3,18.5,Dirk Nowitzki,1.000,0,6.5,.091,20070224,10,119,2,2,8,36.0,.500,2064.0,22,DAL,0.0,1,.455,31.4,10,10,94
1.000,6.0,3,61.5,2.1,7,3,6.6,.798,2,0,0,6,3,2.000,+11,12.1,Erick Dampier,.500,0,3.3,.000,20070224,1,70,2,1,1,3.3,0,2001.0,1,DAL,2.8,1,1.000,21.6,2,1,86
.625,17.0,10,20.0,-2.8,1,2,0.0,.625,2,0,0,0,0,.000,0,2.4,Jason Terry,0,0,4.6,.000,20070224,5,100,5,1,0,0.0,0,1446.0,8,DAL,3.8,1,.625,0.0,0,0,92
.400,11.0,5,0.0,2.7,1,0,0.0,.425,3,0,1,0,0,.400,+16,2.6,Greg Buckner,.500,0,5.1,.200,20070224,2,100,2,1,0,0.0,.000,1314.0,5,DAL,6.3,1,.400,0.0,2,1,87
.400,18.1,9,15.0,-4.9,7,2,0.0,.398,1,0,0,5,0,.300,+15,13.4,Devin Harris,.333,0,7.4,.000,20070224,4,90,5,2,4,16.5,0,1808.0,10,DAL,1.5,0,.400,19.9,3,1,94
.591,24.3,16,13.6,10.5,3,2,3.0,.627,1,1,3,3,1,.364,+12,7.0,Jerry Stackhouse,.750,0,0.0,.273,20070224,6,123,1,0,6,34.7,.333,1492.0,11,DAL,1.8,0,.545,14.5,4,3,92
.500,12.7,5,0.0,1.4,7,0,4.7,.512,0,0,0,4,1,.500,+13,25.8,DeSagana Diop,.500,0,21.3,.000,20070224,2,130,2,3,0,0.0,0,943.0,4,DAL,0.0,0,.500,30.5,2,1,92
.700,17.6,9,0.0,17.6,5,0,0.0,.765,1,1,1,5,0,.400,+17,21.1,Austin Croshere,1.000,0,0.0,.200,20070224,3,166,2,0,2,20.3,1.000,822.0,5,DAL,3.4,0,.600,43.8,2,2,87
0,0.0,0,0,24.0,0,0,0.0,0,0,0,0,0,0,0,+4,0.0,J.J. Barea,0,0,0.0,0,20070224,0,209,0,0,0,91.4,0,70.0,0,DAL,0.0,0,0,0.0,0,0,100
0,0.0,0,0,-2.0,0,0,0.0,0,0,0,0,0,0,0,+4,0.0,Maurice Ager,0,0,0.0,0,20070224,0,0,0,0,1,0.0,0,70.0,0,DAL,0.0,0,0,0.0,0,0,100
