blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.630,30.7,0.0,113,5,39,.500,38.6,17,3,-2,124,2,3,20070301,2398.0,0,LeBron James,27,4,0,.148,0,.648,0,1,13.3,4.4,.639,CLE,4,8,.296,1,0.0,2,.250,6.2,8.8
0.0,.364,12.5,3.2,105,3,11,1.000,19.6,4,3,+11,91,2,3,20070301,2020.0,2,Sasha Pavlović,11,2,0,.455,0,.409,0,1,-2.3,5.2,.463,CLE,5,2,.182,1,0.0,5,.200,14.4,10.4
0.0,.600,17.9,0.0,114,4,7,0,12.5,3,1,+2,97,3,1,20070301,1829.0,0,Daniel Gibson,5,0,0,.600,0,.700,0,1,-2.3,1.9,.700,CLE,3,0,.000,1,0.0,2,.333,37.5,3.8
0.0,.333,4.5,1.9,106,1,4,0,11.5,2,6,-3,73,1,5,20070301,1735.0,1,Drew Gooden,6,0,0,.000,0,.333,1,0,-3.9,12.1,.333,CLE,0,0,.000,1,4.0,1,0,14.3,20.2
0.0,.000,6.4,2.8,106,1,0,.000,14.8,0,3,0,21,2,2,20070301,1128.0,1,Zydrunas Ilgauskas,3,0,0,.000,0,.000,1,0,-15.3,9.3,.000,CLE,0,2,.667,1,6.2,3,0,34.0,12.5
2.5,.667,0.0,3.8,95,0,8,0,11.8,4,12,0,128,1,8,20070301,1686.0,2,Anderson Varejão,6,0,0,.000,1,.667,4,0,5.4,25.0,.667,CLE,0,0,.000,0,16.7,3,0,14.3,33.3
0.0,.000,17.0,5.1,101,3,0,0,9.0,0,2,-11,40,1,2,20070301,1271.0,2,Eric Snow,3,0,0,.000,0,.000,0,0,-3.9,5.5,.000,CLE,0,0,.000,0,0.0,1,0,25.0,11.1
7.2,.538,10.7,2.7,97,1,14,0,31.4,7,6,-1,117,0,4,20070301,1178.0,1,Donyell Marshall,13,0,0,.231,2,.538,2,0,13.3,17.9,.538,CLE,3,0,.000,0,11.9,1,.000,0.0,23.9
0.0,.250,11.1,0.0,113,1,4,.500,23.3,1,1,-6,78,1,1,20070301,719.0,0,David Wesley,4,1,0,.500,0,.375,0,1,-7.3,4.9,.410,CLE,2,2,.500,0,0.0,1,.500,17.0,9.8
0.0,.500,0.0,0.0,116,0,5,0,26.1,2,1,-5,131,0,0,20070301,436.0,0,Shannon Brown,4,0,0,.250,0,.625,1,1,10.2,8.1,.625,CLE,1,0,.000,0,16.1,0,1.000,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Dwayne Jones,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Larry Hughes,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0.0,.533,21.3,0.0,107,5,20,1.000,22.3,8,5,-2,116,3,4,20070301,2387.0,0,Jason Terry,15,2,0,.267,0,.600,1,2,2.9,7.4,.630,DAL,4,2,.133,1,2.9,1,.500,15.9,11.8
0.0,.474,31.9,0.0,104,7,24,1.000,28.3,9,11,+3,121,2,9,20070301,2347.0,0,Dirk Nowitzki,19,6,0,.053,0,.474,2,0,8.5,16.5,.555,DAL,1,6,.316,1,6.0,3,.000,8.5,26.9
1.9,.467,12.7,1.4,100,3,17,.500,22.8,7,10,-1,100,3,8,20070301,2325.0,1,Josh Howard,15,1,0,.200,1,.533,2,2,3.5,15.1,.535,DAL,3,2,.133,1,6.0,2,.667,15.9,24.2
3.0,.750,0.0,0.0,101,0,10,.667,16.1,3,9,-6,126,2,5,20070301,1513.0,0,Erick Dampier,4,4,0,.000,1,.750,4,0,0.6,20.9,.753,DAL,0,6,1.500,1,18.6,4,0,23.1,23.2
5.4,.000,0.0,3.9,96,0,0,0,6.8,0,0,+12,0,0,0,20070301,833.0,1,Greg Buckner,2,0,0,.500,1,.000,0,0,-5.4,0.0,.000,DAL,1,0,.000,1,0.0,3,.000,0.0,0.0
0.0,.455,10.0,1.7,105,2,10,0,19.3,5,2,-2,85,2,2,20070301,1898.0,1,Jerry Stackhouse,11,0,0,.182,0,.455,0,0,-4.7,3.7,.455,DAL,2,0,.000,0,0.0,1,.000,15.4,7.4
13.2,.750,13.4,0.0,97,2,8,1.000,10.1,3,4,+12,182,0,1,20070301,1362.0,0,DeSagana Diop,4,2,0,.000,4,.750,3,0,15.0,10.3,.820,DAL,0,2,.500,0,15.5,2,0,0.0,5.2
0.0,.333,14.1,2.6,104,2,4,.000,17.0,2,0,-4,69,1,0,20070301,1230.0,1,Devin Harris,6,0,0,.000,0,.333,0,0,-7.0,0.0,.311,DAL,0,1,.167,0,0.0,1,0,13.4,0.0
0.0,.250,17.7,0.0,101,1,2,0,27.9,1,3,+3,53,1,3,20070301,505.0,0,Austin Croshere,4,0,0,.250,0,.250,0,0,-10.6,20.9,.250,DAL,1,0,.000,0,0.0,0,.000,20.0,41.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Pops Mensah-Bonsu,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,J.J. Barea,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Maurice Ager,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Damon Jones,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Ira Newble,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Scot Pollard,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Devean George,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070301,0.0,0,Didier Ilunga-Mbenga,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
