efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.333,21.6,13,10.4,-3.2,8,2,1.8,.378,3,0,1,5,1,.333,-4,10.6,Gerald Wallace,.600,0,7.9,.067,20070321,5,79,3,3,1,3.9,.000,2500.0,15,CHA,3.8,1,.333,13.4,5,3,88
.462,20.3,15,6.3,-2.5,2,1,0.0,.508,0,2,4,1,0,.308,0,3.0,Matt Carroll,.750,0,3.0,.308,20070321,5,100,1,1,1,4.6,.500,2188.0,13,CHA,0.0,1,.385,3.1,4,3,102
.679,23.8,19,17.6,9.9,2,3,0.0,.679,3,3,7,1,0,.000,+2,3.3,Raymond Felton,0,0,3.3,.500,20070321,8,114,3,1,5,30.5,.429,2006.0,14,CHA,4.7,1,.571,3.3,0,0,92
.143,17.7,2,12.5,-10.9,1,1,0.0,.143,1,0,4,1,0,.000,-7,2.6,Adam Morrison,0,0,0.0,.571,20070321,1,40,1,0,2,13.8,.000,1272.0,7,CHA,2.5,1,.143,5.3,0,0,96
.000,14.6,0,0.0,-17.8,2,0,0.0,.000,0,0,0,1,0,.000,0,17.2,Primož Brezec,0,0,17.0,.000,20070321,0,36,1,1,0,0.0,0,386.0,2,CHA,0.0,1,.000,17.4,0,0,95
.500,13.0,8,0.0,8.2,4,0,3.0,.592,1,1,3,4,1,.800,+7,9.1,Walter Herrmann,.750,0,0.0,.600,20070321,2,134,2,0,3,19.1,.333,1458.0,5,CHA,2.2,0,.400,18.4,4,3,89
.800,18.5,10,33.8,5.2,7,3,0.0,.850,0,0,0,7,0,.400,+23,17.2,Brevin Knight,1.000,0,0.0,.000,20070321,4,129,3,0,8,64.7,0,1347.0,5,CHA,0.0,0,.800,34.8,2,2,88
.786,26.0,14,26.5,1.1,2,3,0.0,.841,0,1,2,2,0,.429,+26,5.4,Alan Anderson,1.000,0,0.0,.286,20070321,5,109,2,0,0,0.0,.500,1227.0,7,CHA,0.0,0,.714,10.9,3,3,98
.500,22.5,7,23.7,-1.9,6,2,0.0,.543,1,0,0,4,0,.167,-9,18.8,Jake Voskuhl,1.000,0,12.4,.000,20070321,3,94,3,2,1,10.2,0,1057.0,6,CHA,3.0,0,.500,25.3,1,1,85
.250,15.3,2,0.0,-10.1,2,0,0.0,.250,0,0,0,2,0,.000,+8,9.0,Jeff McInnis,0,0,0.0,.000,20070321,1,64,1,0,1,12.6,0,736.0,4,CHA,0.0,0,.250,18.2,0,0,95
