efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.389,26.4,17,20.6,-3.4,18,5,7.6,.440,0,0,0,15,4,.167,+2,22.4,Kevin Garnett,1.000,0,8.1,.000,20070321,7,79,1,3,1,3.9,0,2605.0,18,MIN,0.0,1,.389,34.5,3,3,90
.429,25.2,14,16.0,0.4,5,3,0.0,.444,1,2,5,4,0,.286,+8,7.7,Ricky Davis,.500,0,3.3,.357,20070321,5,92,2,1,7,32.8,.400,2105.0,14,MIN,1.5,1,.357,11.4,4,2,100
.571,14.9,9,10.7,0.1,6,1,2.8,.541,0,0,0,5,1,.429,+1,10.9,Mark Blount,.333,0,4.0,.000,20070321,4,103,1,1,1,5.5,0,1774.0,7,MIN,0.0,1,.571,16.9,3,1,100
.400,12.0,4,28.6,-6.5,5,2,0.0,.400,0,0,0,3,0,.000,-10,9.8,Trenton Hassell,0,0,8.5,.000,20070321,2,76,1,2,1,5.4,0,1644.0,5,MIN,0.0,1,.400,10.9,0,0,104
.688,20.9,12,10.1,6.9,1,1,0.0,.676,2,1,3,1,0,.250,-6,2.4,Mike James,.500,0,0.0,.375,20070321,5,124,4,0,2,17.1,.333,1336.0,8,MIN,4.8,1,.625,4.5,2,1,95
.750,28.6,24,6.4,19.0,3,1,0.0,.820,1,0,2,3,0,.500,+12,6.3,Randy Foye,1.000,0,0.0,.167,20070321,9,160,3,0,4,38.8,.000,1544.0,12,MIN,2.1,0,.750,11.7,6,6,99
.400,14.7,8,0.0,-0.9,7,0,0.0,.556,0,0,0,6,0,1.000,+9,16.4,Craig Smith,.800,0,5.1,.000,20070321,2,126,2,1,0,0.0,0,1381.0,5,MIN,0.0,0,.400,26.1,5,4,99
.250,12.7,4,17.0,-4.9,2,1,0.0,.410,1,0,1,1,0,.500,+15,4.9,Marko Jarić,1.000,0,5.4,.250,20070321,1,88,3,1,1,6.5,.000,1312.0,4,MIN,2.4,0,.250,4.6,2,2,100
.333,15.7,3,0.0,-10.6,0,0,0.0,.387,0,0,1,0,0,.667,-1,0.0,Rashad McCants,.500,0,0.0,.333,20070321,1,84,2,0,0,0.0,.000,699.0,3,MIN,0.0,0,.333,0.0,2,1,107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justin Reed,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mark Madsen,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Troy Hudson,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
.708,17.4,19,18.9,7.4,7,3,5.2,.738,2,1,1,5,3,.167,-7,8.7,Shareef Abdur-Rahim,1.000,0,4.6,.083,20070321,8,122,4,2,3,13.8,1.000,2600.0,12,SAC,2.4,1,.667,13.5,2,2,100
.458,16.4,11,20.0,0.4,7,3,0.0,.458,3,1,2,6,0,.000,-5,8.7,Metta World Peace,0,0,2.3,.167,20070321,5,87,1,1,5,20.2,.500,2598.0,12,SAC,3.7,1,.417,16.2,0,0,101
.500,26.9,23,4.5,5.6,4,1,0.0,.542,1,3,11,4,0,.263,-1,5.5,Mike Bibby,.800,0,0.0,.579,20070321,8,116,4,0,7,36.9,.273,2353.0,19,SAC,1.4,1,.421,11.9,5,4,106
.538,21.4,17,11.9,-2.4,10,2,0.0,.576,0,0,0,5,0,.308,0,14.5,Corliss Williamson,.750,0,13.5,.000,20070321,7,111,3,5,0,0.0,0,2227.0,13,SAC,0.0,1,.538,15.8,4,3,108
.200,21.3,9,0.0,-9.8,3,0,0.0,.344,0,0,3,2,0,.700,-12,5.6,Kevin Martin,.714,0,3.4,.300,20070321,2,84,3,1,1,5.5,.000,1749.0,10,SAC,0.0,1,.200,8.0,7,5,110
.300,14.0,5,14.5,-3.9,3,1,0.0,.425,1,1,1,3,0,.400,+4,6.9,John Salmons,1.000,0,0.0,.200,20070321,1,87,2,0,2,13.3,1.000,1399.0,5,SAC,2.3,0,.200,15.1,2,2,104
.167,23.0,3,0.0,-14.8,3,0,0.0,.233,0,0,4,3,0,.167,-4,12.2,Francisco García,1.000,0,0.0,.667,20070321,1,52,1,0,0,0.0,.000,798.0,6,SAC,0.0,0,.167,26.4,1,1,106
.333,19.3,2,0.0,-10.0,5,0,0.0,.258,0,0,0,4,0,.667,-2,28.2,Justin Williams,.000,0,10.5,.000,20070321,1,66,1,1,0,0.0,0,573.0,3,SAC,0.0,0,.333,49.0,2,0,101
0,27.4,0,100.0,-48.7,0,1,0.0,0,0,0,0,0,0,0,-3,0.0,Ronnie Price,0,0,0.0,0,20070321,0,0,1,0,0,0.0,0,104.0,0,SAC,0.0,0,0,0.0,0,0,110
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitaly Potapenko,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,SAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brad Miller,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,SAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quincy Douby,0,0,0,0,20070321,0,0,0,0,0,0,0,0.0,0,SAC,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracey Wright,0,1,0,0,20070321,0,0,0,0,0,0,0,0.0,0,MIN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenny Thomas,0,1,0,0,20070321,0,0,0,0,0,0,0,0.0,0,SAC,0,0,0,0,0,0,0
