efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.333,17.6,13,0.0,-2.6,3,0,0.0,.388,1,0,4,2,0,.267,-19,3.9,Earl Boykins,.750,0,2.5,.267,20070326,5,101,0,1,7,28.1,.000,2694.0,15,MIL,1.2,1,.333,5.3,4,3,121
.472,24.6,20,4.8,0.7,5,1,2.0,.506,1,5,11,5,1,.222,-20,7.3,Charlie Bell,.750,0,0.0,.611,20070326,6,102,3,0,1,4.9,.455,2378.0,18,MIL,1.3,1,.333,15.1,4,3,117
.474,34.4,26,17.3,-0.4,5,5,2.0,.545,0,0,1,3,1,.579,-7,7.3,Michael Redd,.727,0,5.7,.053,20070326,9,98,0,2,3,17.4,.000,2364.0,19,MIL,0.0,1,.474,9.1,11,8,121
.500,9.3,4,40.3,-5.6,11,3,4.2,.450,0,0,0,9,2,.250,-5,16.8,Brian Skinner,.000,0,5.9,.000,20070326,2,72,4,2,2,8.6,0,2271.0,4,MIL,0.0,1,.500,28.5,1,0,114
.357,14.1,6,0.0,0.0,7,0,3.0,.381,3,1,3,7,1,.286,-21,15.4,Ersan İlyasova,.500,0,0.0,.429,20070326,2,82,3,0,0,0.0,.333,1581.0,7,MIL,6.0,1,.286,31.9,2,1,101
.636,31.1,16,14.0,9.2,4,2,0.0,.649,3,0,0,1,0,.273,+2,10.7,Ruben Patterson,.667,0,15.5,.000,20070326,7,113,3,3,0,0.0,0,1299.0,11,MIL,7.3,0,.636,5.5,3,2,107
.000,4.6,0,0.0,-17.6,3,0,0.0,.000,0,0,0,3,0,.000,-14,17.1,Jared Reiner,0,0,0.0,.000,20070326,0,0,5,0,0,0.0,0,609.0,1,MIL,0.0,0,.000,35.5,0,0,115
.500,9.4,2,0.0,-0.2,1,0,0.0,.500,0,0,0,0,0,.000,-1,5.8,David Noel,0,0,11.1,.000,20070326,1,130,0,1,1,17.5,0,603.0,2,MIL,0.0,0,.500,0.0,0,0,125
.000,14.1,0,33.3,-19.1,0,1,0.0,.000,0,0,0,0,0,.000,-10,0.0,Lynn Greer,0,0,0.0,.000,20070326,0,17,0,0,1,15.0,0,601.0,2,MIL,0.0,0,.000,0.0,0,0,125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mo Williams,0,0,0,0,20070326,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damir Markota,0,0,0,0,20070326,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Gadzuric,0,0,0,0,20070326,0,0,0,0,0,0,0,0.0,0,MIL,0,0,0,0,0,0,0
.591,12.2,13,0.0,2.9,4,0,0.0,.591,2,3,8,4,0,.000,+26,5.6,Rafer Alston,0,0,0.0,.727,20070326,5,130,1,0,3,9.9,.375,2472.0,11,HOU,2.5,1,.455,10.8,0,0,96
.556,25.3,22,4.9,17.1,4,1,2.2,.569,4,2,6,3,1,.167,+15,6.3,Tracy McGrady,.667,0,3.3,.333,20070326,9,132,2,1,10,44.8,.333,2201.0,18,HOU,5.7,1,.500,9.1,3,2,88
.409,37.8,22,16.6,-7.9,8,5,2.2,.439,0,0,0,7,1,.318,+6,12.7,Yao Ming,.571,0,3.3,.000,20070326,9,82,3,1,3,13.6,0,2181.0,22,HOU,0.0,1,.409,21.5,7,4,96
.667,10.7,10,0.0,2.5,5,0,2.7,.727,0,2,4,4,1,.333,+10,9.9,Shane Battier,1.000,0,4.1,.667,20070326,3,158,5,1,1,4.5,.500,1757.0,6,HOU,0.0,1,.500,15.2,2,2,97
1.000,16.2,6,0.0,13.4,2,0,0.0,1.000,0,0,0,1,0,.000,+6,13.6,Chuck Hayes,0,0,14.1,.000,20070326,3,205,0,1,0,0.0,0,509.0,3,HOU,0.0,1,1.000,13.2,0,0,101
.333,22.4,12,17.9,-2.6,10,3,0.0,.436,1,0,0,7,0,.333,+16,16.9,Juwan Howard,1.000,0,10.5,.000,20070326,4,96,2,3,4,15.9,0,2050.0,12,HOU,1.5,0,.333,22.9,4,4,95
.722,18.6,13,18.2,1.0,2,2,0.0,.722,0,3,5,2,0,.000,+4,4.3,Luther Head,0,0,0.0,.556,20070326,5,116,2,0,2,11.1,.600,1619.0,9,HOU,0.0,0,.556,8.3,0,0,102
