efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.400,29.1,20,13.8,-2.2,0,4,0.0,.400,3,2,3,0,0,.000,-4,0.0,Allen Iverson,0,0,0.0,.120,20070425,9,81,4,0,5,22.2,.667,2670.0,25,DEN,3.6,1,.360,0.0,0,0,110
.429,29.3,26,13.8,3.4,10,4,0.0,.521,1,2,4,4,0,.429,-9,12.4,Carmelo Anthony,.889,0,13.6,.190,20070425,8,104,2,6,1,4.3,.500,2645.0,21,DEN,1.2,1,.381,10.9,9,8,112
.364,15.9,10,7.3,1.0,18,1,5.6,.392,2,0,0,17,3,.364,-6,25.4,Marcus Camby,.500,0,2.6,.000,20070425,4,82,4,1,0,0.0,0,2320.0,11,DEN,2.8,1,.364,52.8,4,2,91
.533,20.7,17,5.9,2.7,7,1,2.0,.535,0,0,0,3,1,.133,-12,10.5,Nenê Hilário,.500,0,11.0,.000,20070425,8,116,4,4,2,11.3,0,2182.0,15,DEN,0.0,1,.533,9.9,2,1,113
.800,9.0,8,28.6,4.4,4,2,0.0,.800,1,2,3,3,0,.000,-10,6.3,Steve Blake,0,0,2.9,.600,20070425,3,133,2,1,7,32.5,.667,2078.0,5,DEN,1.5,1,.600,10.4,0,0,111
.625,11.0,5,0.0,2.5,0,0,0.0,.625,0,1,3,0,0,.000,+3,0.0,Linas Kleiza,0,0,0.0,.750,20070425,2,138,1,0,1,10.6,.333,972.0,4,DEN,0.0,0,.500,0.0,0,0,118
.000,9.7,0,0.0,-9.0,2,0,0.0,.000,0,0,0,0,0,.000,+1,7.9,Eduardo Nájera,0,0,14.5,.000,20070425,0,53,1,2,1,10.3,0,825.0,3,DEN,0.0,0,.000,0.0,0,0,118
.000,18.4,2,0.0,-13.0,3,0,0.0,.205,0,0,3,3,0,.500,-8,13.8,J.R. Smith,1.000,0,0.0,.750,20070425,0,53,1,0,0,0.0,.000,709.0,4,DEN,0.0,0,.000,30.5,2,2,109
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DerMarr Johnson,0,0,0,0,20070425,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reggie Evans,0,0,0,0,20070425,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yakhouba Diawara,0,0,0,0,20070425,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Carter,0,0,0,0,20070425,0,0,0,0,0,0,0,0.0,0,DEN,0,0,0,0,0,0,0
