efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.563,18.5,18,5.6,7.0,7,1,0.0,.533,3,2,5,6,0,.125,-12,9.2,Tayshaun Prince,.000,0,2.3,.313,20070513,8,105,3,1,4,19.9,.400,2609.0,16,DET,3.7,1,.500,17.9,2,0,108
.313,22.9,14,18.4,-6.2,7,4,0.0,.394,2,2,12,5,0,.250,-11,9.4,Rasheed Wallace,1.000,0,4.8,.750,20070513,4,73,4,2,1,4.2,.167,2560.0,16,DET,2.5,1,.250,15.2,4,4,112
.429,28.1,23,9.0,9.5,3,2,0.0,.570,1,2,6,1,0,1.000,-4,4.8,Chauncey Billups,.786,0,5.8,.429,20070513,5,122,6,2,8,44.7,.333,2128.0,14,DET,1.5,1,.357,3.7,14,11,118
.333,22.2,11,12.3,-4.2,6,2,0.0,.387,0,0,0,2,0,.417,-17,10.5,Richard Hamilton,.600,0,12.5,.000,20070513,4,91,6,4,5,29.1,0,1968.0,12,DET,0.0,1,.333,7.9,5,3,120
.000,10.5,0,25.0,-12.8,1,1,4.8,.000,0,0,0,1,1,.000,-16,3.4,Chris Webber,0,0,0.0,.000,20070513,0,13,2,0,1,9.1,0,1022.0,3,DET,0.0,1,.000,7.6,0,0,118
.333,11.7,5,13.4,-2.8,8,1,2.8,.388,2,0,0,6,1,.167,-4,16.0,Antonio McDyess,1.000,0,7.1,.000,20070513,2,85,6,2,1,6.1,0,1716.0,6,DET,3.7,0,.333,27.2,1,1,103
.455,23.9,10,8.0,-5.2,1,1,0.0,.437,0,0,1,1,0,.091,-7,2.4,Ronald Murray,.000,0,0.0,.091,20070513,5,83,2,0,2,19.8,.000,1401.0,11,DET,0.0,0,.455,5.6,1,0,121
.500,15.4,2,0.0,-2.7,0,0,0.0,.500,0,0,0,0,0,.000,+5,0.0,Jason Maxiell,0,0,0.0,.000,20070513,1,97,0,0,0,0.0,0,351.0,2,DET,0.0,0,.500,0.0,0,0,123
.500,16.2,2,0.0,5.8,0,0,0.0,.500,1,0,1,0,0,.000,-5,0.0,Lindsey Hunter,0,0,0.0,.500,20070513,1,97,1,0,0,0.0,.000,332.0,2,DET,9.6,0,.500,0.0,0,0,102
1.000,8.6,2,0.0,12.6,0,0,0.0,1.000,0,0,0,0,0,.000,-4,0.0,Carlos Delfino,0,0,0.0,.000,20070513,1,205,0,0,1,42.2,0,313.0,1,DET,0.0,0,1.000,0.0,0,0,123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nazr Mohammed,0,0,0,0,20070513,0,0,0,0,0,0,0,0.0,0,DET,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dale Davis,0,0,0,0,20070513,0,0,0,0,0,0,0,0.0,0,DET,0,0,0,0,0,0,0
