efg_pct,usg_pct,pts,tov_pct,bpm,trb,tov,blk_pct,ts_pct,stl,threep,threepa,drb,blk,ftr,pm,trb_pct,player_name,ft_pct,inactive,orb_pct,threepar,date,fg,ortg,pf,orb,ast,ast_pct,threep_pct,sp,fga,team_abbr,stl_pct,starter,fg_pct,drb_pct,fta,ft,drtg
.500,24.2,21,5.0,11.0,12,1,10.0,.557,1,0,0,10,5,.786,-4,17.6,Tim Duncan,.636,0,6.1,.000,20070516,7,115,3,2,2,11.4,0,2430.0,14,SAS,1.3,1,.500,28.2,11,7,87
.450,13.4,9,9.1,5.7,7,1,0.0,.450,4,3,6,7,0,.000,+4,10.3,Bruce Bowen,0,0,0.0,.600,20070516,3,87,4,0,2,9.3,.500,2425.0,10,SAS,5.4,1,.300,19.8,0,0,89
.385,21.1,11,17.8,-5.1,2,3,0.0,.396,1,0,0,2,0,.154,+22,3.0,Tony Parker,.500,0,0.0,.000,20070516,5,77,3,0,5,26.5,0,2369.0,13,SAS,1.4,1,.385,5.8,2,1,102
.500,15.6,13,0.0,3.0,3,0,0.0,.553,0,2,6,3,0,.400,+12,4.8,Michael Finley,.750,0,0.0,.600,20070516,4,115,0,0,1,5.4,.333,2233.0,10,SAS,0.0,1,.400,9.2,4,3,104
1.000,14.8,6,25.8,6.1,1,1,0.0,1.042,0,0,0,0,0,1.000,+10,4.6,Fabricio Oberto,1.000,0,9.5,.000,20070516,2,160,3,1,1,17.2,0,776.0,2,SAS,0.0,1,1.000,0.0,2,2,107
.567,31.1,26,20.9,11.7,10,5,2.1,.686,2,3,8,9,1,.600,+2,15.6,Manu Ginóbili,1.000,0,3.2,.533,20070516,7,113,4,1,3,18.8,.375,2281.0,15,SAS,2.8,0,.467,27.1,9,9,90
.000,6.1,0,0.0,-7.0,1,0,0.0,.000,0,0,2,0,0,.000,-4,3.7,Brent Barry,0,0,7.6,1.000,20070516,0,56,1,1,1,10.2,.000,969.0,2,SAS,0.0,0,.000,0.0,0,0,107
.250,30.9,2,0.0,-14.3,0,0,0.0,.250,0,0,0,0,0,.000,-17,0.0,Jacque Vaughn,0,0,0.0,.000,20070516,1,52,0,0,0,0.0,0,383.0,4,SAS,0.0,0,.250,0.0,0,0,107
.000,16.5,0,50.0,-23.2,3,1,0.0,.000,0,0,0,2,0,.000,-11,29.7,Francisco Elson,0,0,20.6,.000,20070516,0,34,3,1,0,0.0,0,359.0,1,SAS,0.0,0,.000,38.2,0,0,95
.000,33.8,0,50.0,-34.9,0,1,0.0,.000,0,0,1,0,0,.000,+1,0.0,Matt Bonner,0,0,0.0,1.000,20070516,0,0,0,0,0,0.0,.000,175.0,1,SAS,0.0,0,.000,0.0,0,0,107
