stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,17.3,2,2538.0,5,7,0,.498,5,0,.714,.438,0,19,16,.438,7,12,0,1,+2,.000,.438,Chris Kaman,35.8,4.5,5,LAC,91,20071205,3.2,29.8,2,14,90,24.5,8.7,4,0,18.1
0.0,16.0,2,2220.0,0,7,.250,.549,0,0,.889,.529,4,23,17,.412,9,3,0,1,+3,.235,.441,Corey Maggette,10.2,2.6,8,LAC,103,20071205,-5.1,0.0,1,4,91,30.3,0.0,4,1,5.9
2.8,11.8,3,2115.0,0,2,.333,.235,2,0,1.000,.143,3,7,14,.143,2,4,2,1,-15,.214,.179,Tim Thomas,14.3,8.2,2,LAC,97,20071205,-9.9,11.2,3,7,57,21.5,0.0,2,1,10.8
0.0,12.9,1,1733.0,0,3,0,.740,7,0,1.000,.800,0,10,5,.600,4,4,0,1,-7,.000,.600,Brevin Knight,17.5,0.0,4,LAC,102,20071205,1.9,52.8,0,4,143,12.1,0.0,1,0,7.6
2.2,0.0,3,1337.0,3,2,0,.694,1,0,1.000,1.000,0,8,4,.500,4,1,1,1,-10,.000,.500,Quinton Ross,5.7,0.0,4,LAC,90,20071205,7.7,9.5,0,1,146,11.6,9.9,0,0,2.4
3.4,0.0,4,1732.0,0,2,.333,.340,3,0,.750,.400,3,8,10,.200,4,3,2,0,+5,.300,.250,Cuttino Mobley,13.1,3.3,3,LAC,96,20071205,-3.0,21.1,1,4,82,18.3,0.0,0,1,7.6
2.6,14.3,1,1145.0,0,2,.500,.417,2,0,0,.000,2,5,6,.333,0,1,1,0,0,.333,.417,Dan Dickau,6.6,0.0,0,LAC,99,20071205,-4.9,22.9,0,1,75,16.5,0.0,1,1,2.9
0.0,14.5,1,887.0,1,2,.000,.510,0,0,1.000,.400,1,6,5,.400,2,3,0,0,-9,.200,.400,Al Thornton,25.6,0.0,2,LAC,96,20071205,-4.4,0.0,0,3,85,20.9,5.0,1,0,11.1
10.2,0.0,0,286.0,0,0,0,.000,0,0,0,.000,0,0,1,.000,0,0,1,0,-5,.000,.000,Ruben Patterson,0.0,0.0,0,LAC,83,20071205,-3.1,0.0,0,0,0,9.4,0.0,0,0,0.0
0.0,0.0,1,218.0,0,0,0,1.136,1,0,1.000,0,0,2,0,0,2,1,0,0,+6,0,0,Paul Davis,34.8,0.0,2,LAC,99,20071205,17.7,48.9,0,1,243,10.9,0.0,0,0,15.0
0.0,100.0,2,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,Aaron Williams,0.0,0.0,0,LAC,104,20071205,-34.0,0.0,0,0,0,14.2,0.0,1,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Powell,0,0,0,LAC,0,20071205,0,0,0,0,0,0,0,0,0,0
1.3,23.5,3,2205.0,0,5,0,.615,6,0,.500,.500,0,12,8,.625,4,3,1,1,-1,.000,.625,Earl Watson,7.8,0.0,2,SEA,94,20071205,-2.6,27.5,0,3,104,15.6,0.0,3,0,4.5
0.0,16.2,4,2094.0,2,4,.500,.515,1,0,.875,.667,2,16,12,.333,8,7,0,1,+3,.167,.375,Kevin Durant,19.3,0.0,7,SEA,90,20071205,-3.5,4.7,0,7,90,23.9,4.2,3,1,10.9
3.2,12.5,3,1817.0,0,7,.500,.607,4,0,0,.000,6,17,14,.500,0,1,2,1,+4,.429,.607,Damien Wilkins,3.2,4.2,0,SEA,91,20071205,7.0,26.5,1,2,109,23.8,0.0,2,3,3.6
1.8,11.3,3,1626.0,0,2,0,.317,3,0,.500,.286,0,5,7,.286,2,6,1,1,-2,.000,.286,Kurt Thomas,21.3,14.0,1,SEA,90,20071205,-1.8,16.9,3,9,87,14.8,0.0,1,0,18.1
7.5,33.3,5,782.0,0,2,0,.500,0,0,0,.000,0,4,4,.500,0,2,2,1,+7,.000,.500,Chris Wilcox,14.7,0.0,0,SEA,79,20071205,-9.0,0.0,0,2,59,20.7,0.0,2,0,8.4
1.4,12.3,5,2157.0,1,7,0,.634,3,0,.800,.417,0,18,12,.583,5,16,1,0,+5,.000,.583,Nick Collison,42.7,3.5,4,SEA,83,20071205,6.3,15.6,1,17,116,20.3,2.1,2,0,25.8
2.0,0.0,3,1489.0,0,6,1.000,.912,1,0,1.000,.375,2,17,8,.750,3,1,1,0,+2,.250,.875,Wally Szczerbiak,3.9,0.0,3,SEA,94,20071205,12.1,8.3,0,1,178,16.9,0.0,0,2,2.2
0.0,51.0,1,873.0,0,1,0,.694,2,0,1.000,1.000,0,4,2,.500,2,3,0,0,+3,.000,.500,Jeff Green,19.8,0.0,2,SEA,94,20071205,-4.9,20.8,0,3,78,18.2,0.0,3,0,11.2
0.0,20.0,2,679.0,2,1,0,.250,0,0,0,.000,0,2,4,.250,0,2,0,0,+6,.000,.250,Johan Petro,17.0,0.0,0,SEA,82,20071205,-10.2,0.0,0,2,40,19.9,13.1,1,0,9.6
0.0,37.5,0,679.0,0,0,.000,.000,3,0,0,.000,1,0,5,.000,0,2,0,0,+8,.200,.000,Mickaël Gelabale,17.0,11.2,0,SEA,95,20071205,-21.9,36.4,1,3,29,31.8,0.0,3,0,14.5
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Delonte West,0,0,0,SEA,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mouhamed Sene,0,0,0,SEA,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Elton Brand,0,0,0,LAC,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Cassell,0,0,0,LAC,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Shaun Livingston,0,0,0,LAC,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Luke Ridnour,0,0,0,SEA,0,20071205,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Swift,0,0,0,SEA,0,20071205,0,0,0,0,0,0,0,0,0,0
