threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.333,1,9,4,.667,19.7,14,20071207,Kyle Lowry,0,.333,24.3,6,113,12,1,20.0,1.0,.333,0,9,0,2970.0,.000,0.0,-5.5,MEM,4,4,.439,5,1,.750,9,92,9,1.3,11.2,-2,19.2
.000,0,7,0,1.000,16.2,26,20071207,Pau Gasol,0,.647,25.3,4,115,17,1,24.2,1.1,.647,0,4,3,2797.0,0,9.2,2.8,MEM,11,6,.693,4,1,.235,10,116,7,0.0,13.2,+4,25.3
.238,2,4,5,1.000,7.1,31,20071207,Rudy Gay,2,.619,15.4,5,115,21,2,4.1,2.3,.571,0,5,1,2748.0,.400,3.1,9.3,MEM,12,1,.668,2,1,.238,4,135,3,2.9,5.4,+4,25.2
.000,2,1,0,0,12.4,8,20071207,Darko Miličić,0,.571,3.1,0,117,7,0,30.0,0.0,.571,0,0,1,2619.0,0,3.3,-4.4,MEM,4,3,.571,3,1,.000,6,84,5,3.0,8.5,+1,10.9
.467,1,3,7,.714,7.9,26,20071207,Mike Miller,3,.700,12.1,5,120,15,0,14.2,0.0,.600,0,7,2,2449.0,.429,7.0,5.5,MEM,9,3,.719,0,1,.467,5,127,3,1.6,7.5,+4,24.6
.000,0,0,0,.333,13.8,7,20071207,Hakim Warrick,0,.600,0.0,1,118,5,0,0.0,0.0,.600,0,3,0,942.0,0,0.0,-7.2,MEM,3,0,.554,3,0,.600,2,109,2,0.0,7.9,-9,19.2
0,0,0,0,1.000,0.0,2,20071207,Juan Carlos Navarro,0,0,0.0,2,116,0,1,53.2,3.9,0,0,2,0,791.0,0,0.0,-4.7,MEM,0,1,1.136,2,0,0,0,108,0,0.0,0.0,-10,6.8
.333,0,0,1,0,33.3,2,20071207,Casey Jacobsen,0,.333,0.0,0,111,3,0,0.0,0.0,.333,0,0,0,584.0,.000,0.0,-8.0,MEM,1,0,.333,0,0,.000,3,70,3,0.0,19.0,-2,14.7
0,0,0,0,0,0,0,20071207,Damon Stoudamire,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20071207,Tarence Kinsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20071207,Brian Cardinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20071207,Andre Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0
.259,0,9,7,.889,11.8,43,20071207,Chris Paul,5,.648,33.1,8,112,27,4,8.8,4.3,.556,0,9,1,2915.0,.714,2.2,17.3,NOH,15,3,.694,2,1,.333,5,143,4,0.0,6.3,0,30.1
.000,0,1,0,.500,38.9,13,20071207,Tyson Chandler,0,.600,3.1,1,115,10,1,8.4,1.2,.600,0,2,7,2649.0,0,17.1,-0.8,NOH,6,1,.597,3,1,.200,19,134,12,0.0,26.5,-4,11.6
.105,1,1,2,.889,17.5,27,20071207,David West,1,.500,3.8,8,115,19,1,11.6,1.3,.474,0,9,4,2462.0,.500,10.5,-0.1,NOH,9,3,.588,5,1,.474,9,120,5,2.1,13.5,-9,27.2
.375,0,0,3,0,0.0,9,20071207,Peja Stojaković,1,.563,0.0,0,116,8,1,0.0,3.1,.500,0,0,0,1014.0,.333,0.0,0.6,NOH,4,0,.563,1,1,.000,0,122,0,0.0,0.0,+3,20.4
.333,0,0,1,0,25.4,0,20071207,Morris Peterson,0,.000,0.0,0,100,3,1,0.0,9.2,.000,0,0,0,338.0,.000,0.0,-16.7,NOH,0,0,.000,0,1,.000,1,0,1,0.0,10.9,+5,22.9
.000,0,5,0,0,4.7,6,20071207,Jannero Pargo,0,.375,21.3,0,114,8,2,20.0,3.4,.375,0,0,0,1827.0,0,0.0,-6.6,NOH,3,2,.375,4,0,.000,1,86,1,0.0,2.0,-9,14.1
.167,0,0,1,0,13.4,6,20071207,Julian Wright,0,.500,0.0,0,115,6,1,0.0,2.4,.500,0,0,0,1282.0,.000,0.0,-5.1,NOH,3,0,.500,2,0,.000,2,111,2,0.0,5.8,-12,12.1
.500,0,4,4,0,15.4,5,20071207,Bobby Jackson,1,.313,28.3,0,109,8,2,11.1,5.6,.250,0,0,2,1116.0,.250,11.6,2.3,NOH,2,1,.313,1,0,.000,4,94,2,0.0,13.3,+12,20.8
