blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.391,21.7,1.2,111,6,31,1.000,26.9,9,8,+4,139,1,6,20071220,2915.0,1,Vince Carter,23,10,0,.217,0,.457,2,3,7.6,9.4,.566,NJN,5,10,.435,1,4.6,5,.600,3.5,14.2
0.0,.556,8.3,0.0,114,2,29,.750,27.8,10,8,+1,120,4,5,20071220,2713.0,0,Richard Jefferson,18,9,0,.056,0,.556,3,0,0.9,10.1,.623,NJN,1,12,.667,1,7.5,3,.000,14.7,12.7
0.0,.286,32.4,1.3,108,10,5,.500,13.6,2,11,-3,78,5,9,20071220,2615.0,1,Jason Kidd,7,1,0,.143,0,.286,2,0,-4.3,14.4,.317,NJN,1,2,.286,1,5.2,0,.000,38.8,23.8
4.4,.455,0.0,0.0,113,0,11,.250,20.4,5,8,+3,96,2,2,20071220,1994.0,0,Josh Boone,11,1,0,.000,2,.455,6,0,-8.4,13.7,.431,NJN,0,4,.364,1,20.4,5,0,13.6,6.9
0.0,.500,0.0,3.9,110,0,6,1.000,18.4,2,4,0,129,1,0,20071220,882.0,1,Sean Williams,4,2,0,.000,0,.500,4,0,-4.9,15.5,.615,NJN,0,2,.500,1,30.7,5,0,17.0,0.0
0.0,.818,11.1,1.6,111,2,18,0,15.5,9,7,+11,156,1,4,20071220,2142.0,1,Malik Allen,11,0,0,.000,0,.818,3,0,8.5,11.2,.818,NJN,0,0,.000,0,9.5,4,0,8.3,12.9
0.0,.143,0.0,3.4,110,0,2,0,19.0,1,1,-1,42,0,1,20071220,1017.0,1,Antoine Wright,7,0,0,.286,0,.143,0,0,-14.2,3.4,.143,NJN,2,0,.000,0,0.0,0,.000,0.0,6.8
0.0,1.000,13.4,0.0,110,1,2,0,4.1,1,2,+2,203,0,2,20071220,671.0,0,Jason Collins,1,0,0,.000,0,1.000,0,0,-1.6,10.2,1.000,NJN,0,0,.000,0,0.0,4,0,0.0,20.6
0.0,.250,14.7,0.0,120,1,3,0,17.8,1,0,+5,109,0,0,20071220,620.0,0,Marcus Williams,4,0,0,.500,0,.375,0,1,-4.1,0.0,.375,NJN,2,0,.000,0,0.0,0,.500,0.0,0.0
0.0,0,38.2,16.5,86,1,0,0,0.0,0,0,0,210,0,0,20071220,208.0,1,Darrell Armstrong,0,0,0,0,0,0,0,0,25.0,0.0,0,NJN,0,0,0,0,0.0,0,0,0,0.0
