drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
13,2588.0,5.5,27.0,1,6,112,.621,22.5,.611,2,.000,3,.167,6,.667,0,0,0,4,23.7,LAC,24,-4,20071221,104,1.3,18,3,51.7,.611,13.4,19,0,11,1,5,27.1,6.3,Chris Kaman
0,1591.0,4.7,13.9,3,1,113,.429,45.9,.429,0,.000,0,.000,0,0,0,0,0,1,12.5,LAC,6,-1,20071221,108,6.3,7,0,0.0,.429,0.0,0,0,3,1,8,0.0,0.0,Brevin Knight
1,1547.0,-9.5,22.8,0,1,126,.383,11.9,.300,3,.000,0,.400,2,.750,0,0,0,3,7.8,LAC,9,-3,20071221,91,0.0,10,4,6.6,.300,7.4,3,0,3,1,2,7.2,0.0,Corey Maggette
0,1506.0,-4.9,23.6,2,2,117,.368,12.2,.300,2,.300,0,.200,4,1.000,0,3,.000,2,15.5,LAC,8,-2,20071221,86,4.4,10,2,0.0,.300,15.3,4,0,3,1,2,9.8,0.0,Tim Thomas
4,1174.0,-5.9,18.8,0,0,122,.438,8.3,.375,0,.250,0,.000,0,0,0,2,.500,2,0.0,LAC,7,+3,20071221,100,0.0,8,0,35.0,.438,0.0,4,1,3,1,1,12.6,0.0,Richie Frahm
1,1813.0,0.3,15.0,1,0,122,.658,0.0,.556,1,.444,0,.222,0,.500,0,4,.500,2,0.0,LAC,13,-14,20071221,133,1.8,9,2,5.7,.667,0.0,1,2,5,0,0,2.0,0.0,Cuttino Mobley
0,1289.0,-11.5,16.9,0,0,127,.254,25.7,.143,2,.429,0,.286,0,1.000,0,3,.000,2,0.0,LAC,4,-12,20071221,84,0.0,7,2,0.0,.143,0.0,0,0,1,0,4,0.0,0.0,Dan Dickau
1,1162.0,-2.8,17.1,1,0,119,.556,0.0,.600,2,.000,0,1.000,0,.400,0,0,0,2,0.0,LAC,8,-16,20071221,113,2.9,5,5,8.9,.600,0.0,1,0,3,0,0,3.2,0.0,Al Thornton
0,1132.0,-0.6,15.7,0,0,119,.311,15.9,.333,0,.167,2,.167,1,.000,0,1,.000,0,0.0,LAC,4,-3,20071221,87,0.0,6,1,0.0,.333,5.1,1,0,2,0,2,3.3,9.6,Quinton Ross
0,493.0,-10.0,28.0,0,0,126,.400,0.0,.400,0,.000,0,.000,3,0,0,0,0,2,0.0,LAC,4,-12,20071221,107,0.0,5,0,0.0,.400,35.1,3,0,2,0,0,22.5,0.0,Paul Davis
2,105.0,34.6,26.3,0,0,101,1.000,0.0,1.000,0,.000,0,.000,0,0,0,0,0,0,0.0,LAC,2,-1,20071221,200,0.0,1,0,100.0,1.000,0.0,2,0,1,0,0,70.3,0.0,Josh Powell
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,20071221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron Williams
