blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
3.3,.429,6.1,0.0,124,2,26,.800,30.1,9,13,-4,98,5,9,20071221,2612.0,0,Chris Bosh,21,8,0,.000,2,.429,4,0,-7.6,19.4,.512,TOR,0,10,.476,1,11.0,3,0,16.4,29.2
0.0,.467,57.0,0.0,128,16,15,0,18.9,7,7,-7,136,1,5,20071221,2196.0,0,José Calderón,15,0,0,.267,0,.500,2,1,2.1,12.4,.500,TOR,4,0,.000,1,6.6,3,.250,6.3,19.3
0.0,.583,15.0,1.4,126,4,18,0,14.7,7,3,-16,154,0,3,20071221,2107.0,1,Anthony Parker,12,0,0,.500,0,.750,0,4,5.9,5.5,.750,TOR,6,0,.000,1,0.0,1,.667,0.0,12.1
5.7,.000,16.6,0.0,122,2,0,0,10.3,0,3,-5,59,1,2,20071221,753.0,0,Rasho Nesterović,2,0,0,.000,1,.000,1,0,-10.8,15.5,.000,TOR,0,0,.000,1,9.6,3,0,33.3,22.5
0.0,1.000,0.0,4.3,118,0,4,0,7.7,2,2,-3,200,0,2,20071221,676.0,1,Jamario Moon,2,0,0,.000,0,1.000,0,0,1.9,11.5,1.000,TOR,0,0,.000,1,0.0,2,0,0.0,25.1
0.0,.600,13.6,5.0,118,3,15,0,17.6,6,2,+13,122,2,2,20071221,1761.0,3,Carlos Delfino,10,0,0,.600,0,.750,0,3,4.3,4.4,.750,TOR,6,0,.000,0,0.0,5,.500,16.7,9.6
0.0,.600,0.0,0.0,129,0,16,0,19.5,6,2,-4,115,2,2,20071221,1596.0,0,Jason Kapono,10,0,0,.700,0,.800,0,4,-0.5,4.9,.800,TOR,7,0,.000,0,0.0,1,.571,16.7,10.6
7.3,.444,6.7,2.5,115,1,10,1.000,26.0,4,3,-9,93,2,2,20071221,1181.0,1,Kris Humphries,9,2,0,.000,2,.444,1,0,-4.2,9.9,.506,TOR,0,2,.222,0,6.1,1,0,16.8,14.3
0.0,.286,8.8,0.0,130,1,4,0,21.7,2,2,-4,87,0,0,20071221,834.0,0,Andrea Bargnani,7,0,0,.286,0,.286,2,0,-14.9,9.3,.286,TOR,2,0,.000,0,17.3,2,.000,0.0,0.0
0.0,.600,37.9,0.0,128,3,7,0,18.9,3,2,-1,156,0,2,20071221,684.0,0,Juan Dixon,5,0,0,.200,0,.700,0,1,6.7,11.4,.700,TOR,1,0,.000,0,0.0,1,1.000,0.0,24.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Darrick Martin,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Joey Graham,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
1.9,.611,11.4,1.3,119,3,27,1.000,27.9,11,2,+2,106,5,2,20071221,2280.0,1,Kevin Durant,18,1,0,.278,1,.722,0,4,-0.3,3.4,.732,SEA,5,1,.056,1,0.0,1,.800,21.3,6.3
2.9,.444,34.0,3.9,113,7,10,0,25.2,4,1,+9,87,5,1,20071221,1505.0,2,Earl Watson,9,0,0,.222,1,.556,0,2,-2.4,2.6,.556,SEA,2,0,.000,1,0.0,0,1.000,35.7,4.8
2.9,.375,23.5,2.0,115,5,9,.750,17.8,3,3,+7,116,0,3,20071221,1490.0,1,Damien Wilkins,8,3,0,.125,1,.375,0,0,-0.3,7.8,.461,SEA,1,4,.500,1,0.0,1,.000,0.0,14.5
9.0,.250,8.9,0.0,110,2,4,1.000,9.2,1,8,+9,115,0,7,20071221,1439.0,0,Kurt Thomas,4,2,0,.000,3,.250,1,0,0.7,21.6,.410,SEA,0,2,.500,1,5.9,0,0,0.0,35.0
0.0,1.000,8.7,0.0,121,1,16,.667,22.3,7,3,+6,162,1,3,20071221,1134.0,0,Chris Wilcox,7,2,0,.000,0,1.000,0,0,2.5,10.3,.962,SEA,0,3,.429,1,0.0,5,0,10.7,19.0
4.3,.625,14.4,1.5,112,4,10,0,10.8,5,10,+3,149,0,7,20071221,2008.0,1,Nick Collison,8,0,0,.000,2,.625,3,0,4.0,19.4,.625,SEA,0,0,.000,0,12.7,2,0,0.0,25.1
0.0,.571,12.1,0.0,124,2,23,1.000,29.4,8,1,+10,134,1,1,20071221,1506.0,0,Wally Szczerbiak,14,3,0,.500,0,.714,0,4,4.8,2.6,.751,SEA,7,3,.214,0,0.0,1,.571,6.1,4.8
3.1,.333,30.2,0.0,120,6,10,1.000,20.8,3,2,-3,119,0,2,20071221,1400.0,0,Luke Ridnour,9,4,0,.222,1,.333,0,0,-2.8,5.6,.465,SEA,2,4,.444,0,0.0,0,.000,0.0,10.3
3.9,.750,13.3,0.0,117,2,10,1.000,16.6,3,4,+1,159,1,3,20071221,1102.0,0,Jeff Green,4,4,0,.000,1,.750,1,0,2.4,14.1,.868,SEA,0,4,1.000,0,7.7,4,0,14.8,19.6
0.0,.667,18.2,0.0,122,1,4,0,17.7,2,1,0,137,0,1,20071221,459.0,0,Mickaël Gelabale,3,0,0,.000,0,.667,0,0,0.4,8.5,.667,SEA,0,0,.000,0,0.0,0,0,0.0,15.7
0.0,0,0.0,0.0,125,0,0,0,0.0,0,0,-4,0,0,0,20071221,76.0,0,Johan Petro,0,0,0,0,0,0,0,0,-20.9,0.0,0,SEA,0,0,0,0,0.0,1,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Mouhamed Sene,0,0,0,0,0,0,0,0,0,0,0,SEA,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Maceo Baston,0,0,1,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,T.J. Ford,0,0,1,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Jorge Garbajosa,0,0,1,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Robert Swift,0,0,1,0,0,0,0,0,0,0,0,SEA,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20071221,0.0,0,Delonte West,0,0,1,0,0,0,0,0,0,0,0,SEA,0,0,0,0,0,0,0,0,0
