stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,20.5,4,2635.0,1,8,.000,.644,5,0,.900,.667,2,25,15,.533,10,12,0,1,-6,.133,.533,Gerald Wallace,26.8,0.0,9,CHA,101,20080104,0.7,19.3,0,12,108,24.3,1.5,5,0,14.7
0.0,11.3,6,2362.0,1,12,.250,.523,4,0,.875,.286,8,33,28,.429,8,5,0,1,-5,.286,.464,Jason Richardson,12.4,9.1,7,CHA,104,20080104,0.5,21.8,3,8,99,39.5,1.7,4,2,11.0
2.4,20.0,4,2335.0,0,4,.000,.333,8,0,0,.000,2,8,12,.333,0,1,2,1,-3,.167,.333,Raymond Felton,2.5,0.0,0,CHA,104,20080104,-7.3,30.8,0,1,74,16.9,0.0,3,0,1.4
1.2,11.1,4,2288.0,0,6,1.000,.813,5,0,0,.000,1,13,8,.750,0,2,1,1,-4,.125,.813,Jeff McInnis,5.1,0.0,0,CHA,105,20080104,2.3,21.4,0,2,144,10.3,0.0,1,1,2.8
1.3,51.5,3,2150.0,4,2,0,.798,2,0,.500,2.000,0,6,2,1.000,4,11,1,1,+2,.000,1.000,Emeka Okafor,30.1,6.7,2,CHA,93,20080104,1.1,7.8,2,13,85,9.5,7.4,4,0,19.6
2.5,12.5,3,1160.0,1,3,.333,.500,0,0,0,.000,3,7,7,.429,0,1,1,0,0,.429,.500,Matt Carroll,5.1,6.2,0,CHA,100,20080104,-2.1,0.0,1,2,87,18.1,3.4,1,1,5.6
3.3,28.6,4,869.0,1,1,0,.200,2,0,0,.000,0,2,5,.200,0,3,1,0,-6,.000,.200,Nazr Mohammed,20.3,8.3,0,CHA,93,20080104,-9.7,19.7,1,4,50,21.2,4.6,2,0,14.9
0.0,0.0,0,490.0,0,1,.000,.500,0,0,0,.000,1,2,2,.500,0,2,0,0,-6,.500,.500,Derek Anderson,24.0,0.0,0,CHA,104,20080104,-4.3,0.0,0,2,96,10.7,0.0,0,0,13.2
0.0,100.0,0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,0,0,Ryan Hollins,100.0,0.0,0,CHA,84,20080104,-20.8,0.0,0,2,0,23.4,0.0,1,0,57.8
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Othella Harrington,0,0,0,CHA,0,20080104,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jared Dudley,0,0,0,CHA,0,20080104,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jermareo Davidson,0,0,0,CHA,0,20080104,0,0,0,0,0,0,0,0,0,0
1.2,11.7,4,2470.0,0,11,.333,.465,6,0,.714,.259,3,28,27,.407,7,2,1,1,+2,.111,.426,Richard Jefferson,5.8,7.1,5,NJN,101,20080104,-3.3,26.7,3,5,92,35.1,0.0,4,1,6.6
3.6,21.6,0,2397.0,1,4,.333,.506,12,0,1.000,.200,3,11,10,.400,2,9,3,1,0,.300,.450,Jason Kidd,27.0,2.5,2,NJN,91,20080104,4.6,42.2,1,10,105,14.7,1.9,3,1,13.5
3.6,13.7,3,2351.0,0,10,.000,.596,4,0,.714,.737,4,30,19,.526,14,6,3,1,+10,.211,.526,Vince Carter,18.4,2.5,10,NJN,94,20080104,3.8,18.3,1,7,107,31.5,0.0,4,0,9.6
