blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.364,19.5,1.4,114,5,20,.667,30.7,8,9,+15,109,0,7,20080204,2360.0,1,Dirk Nowitzki,22,4,0,.091,0,.364,2,0,-0.9,13.6,.406,DAL,2,6,.273,1,6.6,2,.000,0.0,19.4
0.0,.500,13.5,0.0,118,3,28,.833,30.7,10,7,+4,137,1,5,20080204,2263.0,0,Josh Howard,20,5,0,.150,0,.575,2,3,5.5,11.0,.618,DAL,3,6,.300,1,6.9,4,1.000,4.2,14.5
0.0,.750,8.2,0.0,118,2,6,0,6.1,3,6,+3,173,0,4,20080204,1919.0,0,Erick Dampier,4,0,0,.000,0,.750,2,0,-0.1,11.1,.750,DAL,0,0,.000,1,8.1,5,0,0.0,13.6
0.0,.667,0.0,0.0,122,0,4,0,5.3,2,3,+11,159,0,1,20080204,1655.0,0,Eddie Jones,3,0,0,.333,0,.667,2,0,-2.2,6.4,.667,DAL,1,0,.000,1,9.4,1,.000,0.0,4.0
0.0,.000,24.0,2.9,112,4,3,.750,14.5,0,4,+1,99,1,3,20080204,1171.0,1,J.J. Barea,3,3,0,.333,0,.000,1,0,-1.2,12.1,.315,DAL,1,4,1.333,1,6.6,1,.000,17.4,16.8
0.0,.571,17.3,1.9,116,3,20,1.000,29.4,8,5,+7,130,2,3,20080204,1778.0,1,Jason Terry,14,4,0,.000,0,.571,2,0,6.3,10.0,.635,DAL,0,4,.286,0,8.8,0,0,11.3,11.0
0.0,.750,5.5,0.0,117,1,8,0,7.9,3,4,+2,206,0,4,20080204,1483.0,0,Devean George,4,0,0,.750,0,1.000,0,2,4.9,9.6,1.000,DAL,3,0,.000,0,0.0,4,.667,0.0,17.7
4.0,.750,0.0,5.5,102,0,16,.800,31.1,6,6,+1,124,3,4,20080204,1249.0,2,Brandon Bass,8,4,0,.000,1,.750,2,0,10.2,17.1,.784,DAL,0,5,.625,0,12.5,1,0,22.7,21.0
0.0,1.000,0.0,0.0,110,0,2,0,9.3,1,2,-1,200,0,2,20080204,316.0,0,Trenton Hassell,1,0,0,.000,0,1.000,0,0,2.9,22.5,1.000,DAL,0,0,.000,0,0.0,1,0,0.0,41.4
0.0,.000,0.0,0.0,112,0,0,0,14.3,0,1,+2,0,0,1,20080204,206.0,0,Juwan Howard,1,0,0,.000,0,.000,0,0,-22.9,17.3,.000,DAL,0,0,.000,0,0.0,1,0,0.0,31.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,DeSagana Diop,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Maurice Ager,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
1.6,.688,14.1,2.6,125,3,28,.462,26.0,11,7,-4,133,1,2,20080204,2587.0,2,Dwight Howard,16,6,0,.063,1,.688,5,0,8.6,9.6,.645,ORL,1,13,.813,1,12.7,3,.000,4.4,6.0
0.0,.286,47.6,0.0,122,13,13,1.000,20.9,4,12,-2,106,2,12,20080204,2506.0,0,Hedo Türkoğlu,14,4,0,.143,0,.321,0,1,1.5,17.0,.412,ORL,2,4,.286,1,0.0,5,.500,11.3,37.3
3.5,.313,8.3,0.0,129,2,13,.500,22.8,5,4,-5,87,1,2,20080204,2320.0,0,Rashard Lewis,16,1,0,.438,2,.375,2,2,-4.4,6.1,.385,ORL,7,2,.125,1,5.6,1,.286,5.6,6.7
0.0,.750,0.0,0.0,130,0,16,1.000,13.2,6,5,-4,181,0,3,20080204,1981.0,0,Maurice Evans,8,2,0,.250,0,.875,2,2,5.9,9.0,.901,ORL,2,2,.250,1,6.6,3,1.000,0.0,11.8
0.0,.444,17.1,0.0,132,3,12,1.000,18.6,4,1,+1,119,1,1,20080204,1725.0,0,Carlos Arroyo,9,2,0,.333,0,.556,0,2,-0.5,2.1,.607,ORL,3,2,.222,1,0.0,1,.667,9.2,4.5
0.0,.625,0.0,0.0,133,0,14,1.000,25.3,5,0,-10,131,1,0,20080204,1206.0,0,Keyon Dooling,8,3,0,.125,0,.688,0,1,-0.3,0.0,.751,ORL,1,3,.375,0,0.0,4,1.000,9.7,0.0
0.0,.000,8.4,0.0,129,1,0,0,9.4,0,2,-5,22,0,2,20080204,948.0,0,Keith Bogans,3,0,0,.667,0,.000,0,0,-11.8,7.5,.000,ORL,2,0,.000,0,0.0,0,.000,0.0,16.4
4.9,.250,0.0,0.0,124,0,2,0,21.3,1,3,-11,45,2,2,20080204,834.0,0,Brian Cook,4,0,0,.500,1,.250,1,0,-19.4,12.8,.250,ORL,2,0,.000,0,7.8,3,.000,33.3,18.7
0.0,0,0.0,0.0,134,0,0,0,0.0,0,0,-5,0,0,0,20080204,293.0,0,Adonal Foyle,0,0,0,0,0,0,0,0,-5.5,0.0,0,ORL,0,0,0,0,0.0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,J.J. Redick,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Jameer Nelson,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Pat Garrity,0,0,0,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Nick Fazekas,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Devin Harris,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Jerry Stackhouse,0,0,1,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,James Augustine,0,0,1,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Tony Battie,0,0,1,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080204,0.0,0,Marcin Gortat,0,0,1,0,0,0,0,0,0,0,0,ORL,0,0,0,0,0,0,0,0,0
