drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
5,2317.0,-1.3,24.2,0,1,101,.479,17.9,.313,4,.438,0,.250,0,1.000,0,7,.429,2,5.3,BOS,17,+5,20080208,99,0.0,16,4,13.5,.406,0.0,5,3,5,1,4,7.8,0.0,Ray Allen
2,2005.0,4.4,29.2,2,1,97,.483,34.0,.375,6,.063,0,.375,0,1.000,0,1,.000,2,5.1,BOS,18,+2,20080208,106,3.2,16,6,6.2,.375,0.0,2,0,6,1,6,3.6,0.0,Paul Pierce
6,1927.0,-4.0,23.9,0,3,97,.482,17.9,.500,0,.000,1,.083,1,.000,0,0,0,1,19.4,BOS,12,-2,20080208,84,0.0,12,1,19.5,.500,4.4,7,0,6,1,3,13.1,2.2,Rajon Rondo
4,1553.0,-2.5,7.5,1,3,89,.568,0.0,0,1,0,4,0,1,.500,0,0,0,1,77.3,BOS,1,-3,20080208,41,2.1,0,2,16.1,0,5.5,5,0,0,1,0,11.6,11.1,Kendrick Perkins
3,1128.0,-12.2,10.6,1,1,93,.000,0.0,.000,0,.333,0,.000,0,0,0,1,.000,2,25.0,BOS,0,-1,20080208,0,2.9,3,0,16.7,.000,0.0,3,0,0,1,0,9.6,0.0,Brian Scalabrine
4,1647.0,3.5,7.2,0,0,97,.375,16.3,.250,0,1.000,2,.000,0,0,0,4,.250,0,0.0,BOS,3,+1,20080208,101,0.0,4,0,15.2,.375,0.0,4,1,1,0,3,8.7,5.2,James Posey
6,1646.0,1.7,23.6,0,3,95,.800,0.0,.800,0,.000,1,.000,2,0,0,0,0,3,23.1,BOS,16,+3,20080208,112,0.0,10,0,22.8,.800,10.3,8,0,8,0,0,17.5,2.6,Leon Powe
0,953.0,13.9,34.1,0,2,107,.788,64.0,.625,2,.375,0,.250,0,1.000,0,3,.667,2,18.4,BOS,14,+4,20080208,131,0.0,8,2,0.0,.750,0.0,0,2,5,0,4,0.0,0.0,Eddie House
0,807.0,4.6,21.7,2,1,90,.512,13.3,.500,1,.000,0,.500,0,.500,0,0,0,0,17.0,BOS,5,+2,20080208,88,8.0,4,2,0.0,.500,0.0,0,0,2,0,1,0.0,0.0,Tony Allen
1,417.0,-0.6,7.2,0,0,100,1.000,0.0,1.000,0,.000,0,.000,1,0,0,0,0,2,0.0,BOS,2,-1,20080208,206,0.0,1,0,15.0,1.000,20.3,2,0,1,0,0,17.3,0.0,Glen Davis
