stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,14.6,3,1968.0,0,3,.000,.400,2,0,1.000,.571,5,14,14,.214,8,2,0,1,-9,.357,.214,Metta World Peace,8.1,3.6,8,SAC,120,20080226,-10.2,10.6,1,3,81,29.3,0.0,3,0,5.7
0.0,0.0,1,1865.0,0,5,.200,.549,2,0,.750,.364,5,14,11,.455,4,4,0,1,-13,.455,.500,Kevin Martin,17.2,0.0,3,SAC,118,20080226,1.1,12.7,0,4,119,19.2,0.0,0,1,8.0
1.8,0.0,1,1749.0,0,2,0,.286,3,0,0,.000,0,4,7,.286,0,2,1,1,-10,.000,.286,Beno Udrih,9.1,0.0,0,SAC,116,20080226,-5.4,17.2,0,2,78,11.2,0.0,0,0,4.3
5.9,29.1,1,1579.0,0,3,0,.820,2,0,1.000,.500,0,8,4,.750,2,6,3,1,-20,.000,.750,Mikki Moore,30.4,13.3,2,SAC,104,20080226,9.3,13.8,3,9,128,12.2,0.0,2,0,21.3
0.0,18.4,4,1332.0,1,3,.000,.450,2,0,1.000,.250,1,8,8,.375,2,2,0,1,-14,.125,.375,Brad Miller,12.0,5.3,2,SAC,116,20080226,-5.8,16.9,1,3,86,22.9,3.4,2,0,8.4
0.0,26.9,4,1581.0,0,3,.000,.368,1,0,1.000,.200,2,8,10,.300,2,4,0,0,-7,.200,.300,John Salmons,20.2,0.0,2,SAC,117,20080226,-16.6,6.9,0,4,58,26.4,0.0,4,0,9.5
2.0,7.8,4,1544.0,0,7,0,.680,2,0,.500,.400,0,16,10,.700,4,0,1,0,-12,.000,.700,Spencer Hawes,0.0,9.1,2,SAC,117,20080226,6.3,19.7,2,2,130,23.2,0.0,1,0,4.8
6.5,0.0,4,954.0,0,1,.000,.250,0,0,0,.000,2,2,4,.250,0,2,2,0,-4,.500,.250,Francisco García,16.8,7.4,0,SAC,104,20080226,-5.6,0.0,1,3,68,11.8,0.0,0,0,11.8
0.0,20.0,1,750.0,0,2,.500,.625,1,0,0,.000,2,5,4,.500,0,1,0,0,-8,.500,.625,Quincy Douby,10.7,0.0,0,SAC,119,20080226,-1.2,15.8,0,1,101,18.7,0.0,1,1,5.0
0.0,0.0,1,555.0,0,3,0,.717,0,0,.500,.500,0,7,4,.750,2,3,0,0,+2,.000,.750,Shelden Williams,43.2,12.7,1,SAC,114,20080226,9.6,0.0,1,4,143,24.7,0.0,0,0,27.0
0.0,100.0,2,523.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,-10,0,0,Anthony Johnson,30.6,0.0,0,SAC,115,20080226,-25.3,17.2,0,2,13,16.1,0.0,3,0,14.3
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lorenzen Wright,0,0,0,SAC,0,20080226,0,0,0,0,0,0,0,0,0,0
0.0,25.5,3,2232.0,2,6,.000,.512,9,0,.500,.500,1,15,12,.500,6,2,0,1,+25,.083,.500,Dwyane Wade,6.3,0.0,3,MIA,99,20080226,-3.4,37.2,0,2,93,24.3,4.4,5,0,3.4
2.9,11.5,3,2109.0,2,10,1.000,.783,2,0,1.000,.214,1,24,14,.714,3,8,2,1,+24,.071,.750,Shawn Marion,26.6,0.0,3,MIA,87,20080226,11.3,10.8,0,8,134,22.7,4.6,2,1,14.2
1.7,19.3,4,1849.0,2,4,0,.559,2,0,.750,.889,0,14,9,.444,8,7,1,1,+16,.000,.444,Mark Blount,26.6,8.7,6,MIA,89,20080226,-0.4,9.5,2,9,103,23.2,5.3,3,0,18.2
5.1,7.0,4,1828.0,0,6,0,.644,1,0,1.000,.455,0,17,11,.545,5,5,3,1,+14,.000,.545,Udonis Haslem,19.2,8.8,5,MIA,88,20080226,4.7,5.3,2,7,129,21.5,0.0,1,0,14.3
0.0,11.1,0,1660.0,0,4,.667,.625,9,0,0,.000,3,10,8,.500,0,3,0,1,+21,.375,.625,Jason Williams,12.7,4.8,0,MIA,100,20080226,6.8,48.7,1,4,137,15.0,0.0,1,2,9.0
1.7,0.0,2,1793.0,0,4,.500,.511,1,0,.500,.444,2,11,9,.444,4,1,1,0,+8,.222,.500,Ricky Davis,3.9,0.0,2,MIA,99,20080226,-3.2,4.9,0,1,107,16.6,0.0,0,1,2.1
2.5,34.0,1,1225.0,0,1,.333,.644,2,0,1.000,.667,3,5,3,.333,2,2,1,0,0,1.000,.500,Marcus Banks,11.5,0.0,2,MIA,95,20080226,-3.1,12.8,0,2,96,13.3,0.0,2,1,6.1
2.9,0.0,3,1072.0,1,4,0,.628,0,0,.750,.571,0,11,7,.571,4,2,1,0,+5,.000,.571,Earl Barron,13.1,22.4,3,MIA,90,20080226,4.9,0.0,3,5,140,22.6,4.6,0,0,17.4
0.0,0.0,0,316.0,0,0,.000,.000,1,0,0,.000,1,0,2,.000,0,2,0,0,-4,.500,.000,Chris Quinn,44.5,0.0,0,MIA,92,20080226,-15.3,23.4,0,2,32,17.5,0.0,0,0,23.7
0.0,100.0,0,316.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,Alexander Johnson,0.0,0.0,0,MIA,92,20080226,-6.4,0.0,0,0,0,8.8,15.4,1,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorell Wright,0,0,0,MIA,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daequan Cook,0,0,0,MIA,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Shareef Abdur-Rahim,0,0,0,SAC,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyronn Lue,0,0,0,SAC,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenny Thomas,0,0,0,SAC,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Anthony,0,0,0,MIA,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Alonzo Mourning,0,0,0,MIA,0,20080226,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Smush Parker,0,0,0,MIA,0,20080226,0,0,0,0,0,0,0,0,0,0
