blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.417,8.6,0.0,125,2,14,1.000,15.2,5,1,-13,110,0,1,20080227,2336.0,0,Raja Bell,12,2,0,.500,0,.500,0,2,-2.7,1.7,.543,PHO,6,2,.167,1,0.0,1,.333,0.0,3.4
7.0,.579,25.3,1.3,111,4,32,.900,33.1,11,14,-15,127,3,11,20080227,2207.0,1,Amar'e Stoudemire,19,9,0,.053,4,.605,3,1,12.2,25.4,.684,PHO,1,10,.526,1,10.9,4,1.000,11.4,39.9
4.0,.600,5.8,0.0,118,1,15,.750,21.4,6,7,-13,99,3,6,20080227,1907.0,0,Shaquille O'Neal,10,3,0,.000,2,.600,1,0,-2.2,14.7,.638,PHO,0,4,.400,1,4.2,2,0,20.3,25.2
0.0,.167,59.3,0.0,126,13,8,.750,19.8,1,0,-12,99,4,0,20080227,1887.0,0,Steve Nash,6,6,0,.500,0,.167,0,0,-5.1,0.0,.420,PHO,3,8,1.333,1,0.0,0,.000,29.6,0.0
2.4,.400,6.5,0.0,121,1,10,1.000,22.3,4,3,-10,78,2,3,20080227,1597.0,0,Grant Hill,10,2,0,.000,1,.400,0,0,-7.4,7.5,.460,PHO,0,2,.200,1,0.0,0,0,15.5,15.0
0.0,.556,20.9,0.0,125,3,17,.500,22.2,5,2,-13,119,2,2,20080227,1592.0,0,Leandro Barbosa,9,2,0,.667,0,.833,0,5,3.0,5.0,.790,PHO,6,4,.444,0,0.0,6,.833,15.7,10.1
0.0,.400,6.4,0.0,122,1,5,0,11.4,2,7,-2,91,1,6,20080227,1451.0,0,Linton Johnson,5,0,0,.400,0,.500,1,1,-6.3,19.3,.500,PHO,2,0,.000,0,5.5,5,.500,16.7,33.1
0.0,.500,19.8,2.2,120,3,2,0,8.3,1,2,-7,76,2,2,20080227,1328.0,1,Boris Diaw,2,0,0,.000,0,.500,0,0,-4.1,6.0,.500,PHO,0,0,.000,0,0.0,2,0,50.0,12.0
0.0,0,0.0,0.0,126,0,0,0,29.1,0,0,0,0,1,0,20080227,95.0,0,D.J. Strawberry,0,0,0,0,0,0,0,0,-34.3,0.0,0,PHO,0,0,0,0,0.0,0,0,100.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080227,0.0,0,Brian Skinner,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080227,0.0,0,Eric Piatkowski,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080227,0.0,0,Sean Marks,0,0,0,0,0,0,0,0,0,0,0,PHO,0,0,0,0,0,0,0,0,0
2.3,.500,3.6,2.5,104,1,27,.833,30.7,11,4,+20,104,2,3,20080227,2319.0,2,David West,22,5,0,.000,1,.500,1,0,-2.3,6.9,.548,NOH,0,6,.273,1,3.4,4,0,7.5,10.3
0.0,.500,9.5,1.3,108,3,17,1.000,17.0,6,4,+24,123,1,4,20080227,2250.0,1,Peja Stojaković,12,3,0,.500,0,.583,0,2,2.0,7.1,.638,NOH,6,3,.250,1,0.0,1,.333,7.0,14.2
0.0,.429,56.2,4.1,101,15,25,.833,30.7,9,6,+19,124,1,6,20080227,2141.0,3,Chris Paul,21,5,0,.143,0,.476,0,2,12.0,11.2,.529,NOH,3,6,.286,1,0.0,2,.667,4.1,22.4
2.9,.857,8.1,3.2,97,2,12,0,13.1,6,15,+20,144,2,11,20080227,1835.0,2,Tyson Chandler,7,0,0,.000,1,.857,4,0,6.6,32.7,.857,NOH,0,0,.000,1,17.4,5,0,22.2,48.0
0.0,1.000,6.4,0.0,112,1,11,0,10.8,5,2,+9,220,0,2,20080227,1240.0,0,Morris Peterson,5,0,0,.200,0,1.100,0,1,9.2,6.5,1.100,NOH,1,0,.000,1,0.0,0,1.000,0.0,12.9
0.0,.600,9.4,3.2,105,2,22,1.000,25.7,9,1,+7,121,2,1,20080227,1811.0,2,Jannero Pargo,15,1,0,.267,0,.700,0,3,4.2,2.2,.712,NOH,4,1,.067,0,0.0,5,.750,11.5,4.4
0.0,.250,8.8,7.9,94,1,4,1.000,21.2,1,1,-2,79,1,1,20080227,739.0,2,Mike James,4,2,0,.250,0,.250,0,0,-1.3,5.4,.410,NOH,1,2,.500,0,0.0,1,.000,17.0,10.8
0.0,0,8.2,0.0,113,1,0,0,0.0,0,0,-3,217,0,0,20080227,733.0,0,Hilton Armstrong,0,0,0,0,0,0,0,0,-1.9,0.0,0,NOH,0,0,0,0,0.0,1,0,0,0.0
8.6,.500,0.0,0.0,105,0,2,0,8.7,1,0,-1,98,0,0,20080227,611.0,0,Ryan Bowen,2,0,0,.000,1,.500,0,0,-2.1,0.0,.500,NOH,0,0,.000,0,0.0,1,0,0.0,0.0
0.0,.000,0.0,0.0,110,0,0,0,7.6,0,1,-5,0,0,1,20080227,352.0,0,Rasual Butler,1,0,0,.000,0,.000,0,0,-17.1,11.4,.000,NOH,0,0,.000,0,0.0,2,0,0.0,22.7
0.0,.000,0.0,0.0,106,0,0,0,9.7,0,2,-3,0,0,2,20080227,274.0,0,Melvin Ely,1,0,0,.000,0,.000,0,0,-11.0,29.2,.000,NOH,0,0,.000,0,0.0,0,0,0.0,58.4
0.0,0,0.0,0.0,113,0,0,0,28.1,0,0,0,0,1,0,20080227,95.0,0,Julian Wright,0,0,0,0,0,0,0,0,-35.7,0.0,0,NOH,0,0,0,0,0.0,0,0,100.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080227,0.0,0,Alando Tucker,0,0,1,0,0,0,0,0,0,0,0,PHO,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080227,0.0,0,Bonzi Wells,0,0,1,0,0,0,0,0,0,0,0,NOH,0,0,0,0,0,0,0,0,0
