drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,2391.0,6.2,34.4,3,4,97,.552,22.9,.520,4,.080,1,.280,0,.571,0,2,.500,3,12.5,MIA,31,+17,20080229,105,3.9,25,7,10.6,.540,0.0,3,1,13,1,5,4.1,1.7,Dwyane Wade
6,2279.0,4.7,19.1,4,2,93,.467,19.1,.467,0,.067,0,.000,7,0,0,1,.000,3,11.8,MIA,14,+3,20080229,111,5.4,15,0,22.3,.467,16.4,13,0,7,1,5,18.7,0.0,Shawn Marion
5,1403.0,3.4,11.0,0,0,97,.667,6.1,.667,0,.000,2,.000,2,0,0,0,0,3,0.0,MIA,8,-9,20080229,149,0.0,6,0,30.2,.667,7.6,7,0,4,1,1,16.3,6.0,Mark Blount
3,1387.0,-2.2,18.0,0,1,105,.400,36.4,.143,4,.714,0,.571,0,1.000,0,5,.200,0,10.2,MIA,7,-2,20080229,107,0.0,7,4,18.3,.214,0.0,3,1,1,1,7,7.1,0.0,Jason Williams
1,1302.0,-4.4,13.3,1,0,102,.592,0.0,.600,2,.000,0,.800,0,.500,0,0,0,4,0.0,MIA,8,-6,20080229,124,2.4,5,4,6.5,.600,0.0,1,0,3,1,0,2.5,0.0,Alexander Johnson
1,1583.0,-6.0,19.4,0,0,105,.417,5.5,.417,0,.000,1,.000,5,0,0,0,0,5,0.0,MIA,10,+17,20080229,111,0.0,12,0,5.4,.417,16.8,6,0,5,0,1,12.4,2.6,Earl Barron
3,1452.0,-0.6,28.8,1,0,101,.460,6.2,.333,3,.200,0,.200,0,1.000,0,3,.667,2,0.0,MIA,15,+10,20080229,107,2.1,15,3,17.5,.400,0.0,3,2,5,0,1,6.8,0.0,Ricky Davis
3,1339.0,-9.8,14.2,0,1,105,.466,5.7,.333,1,.333,0,.167,0,1.000,0,2,.500,2,13.4,MIA,6,+16,20080229,92,0.0,6,1,19.0,.417,0.0,3,1,2,0,1,7.3,0.0,Marcus Banks
1,1265.0,-3.0,10.1,0,1,102,.500,6.1,.500,0,.000,2,.000,3,0,0,0,0,2,20.0,MIA,4,+4,20080229,108,0.0,4,0,6.7,.500,12.6,4,0,2,0,1,10.3,6.6,Dorell Wright
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Quinn
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alonzo Mourning
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udonis Haslem
5,2369.0,8.5,27.0,2,2,107,.701,11.8,.647,8,.000,1,.588,1,.800,0,0,0,2,8.5,SEA,30,-6,20080229,131,2.6,17,10,11.3,.647,3.6,6,0,11,1,2,8.3,1.5,Chris Wilcox
1,2124.0,-2.1,30.7,0,4,118,.605,22.1,.467,10,.067,0,.733,1,.909,0,1,.000,3,16.8,SEA,24,-14,20080229,110,0.0,15,11,2.5,.467,4.0,2,0,7,1,4,3.1,0.0,Kevin Durant
10,1851.0,-3.8,13.3,2,3,99,.333,15.1,.333,0,.000,0,.000,1,0,0,0,0,0,33.3,SEA,4,-8,20080229,62,3.3,6,0,28.8,.333,4.6,11,0,2,1,3,19.4,0.0,Jeff Green
2,1643.0,-9.2,15.0,0,1,116,.438,24.4,.375,0,.375,0,.000,0,0,0,3,.333,3,11.1,SEA,7,-4,20080229,93,0.0,8,0,6.5,.438,0.0,2,1,3,1,4,4.0,0.0,Earl Watson
5,1002.0,-8.3,10.9,0,1,102,.000,8.5,.000,0,.000,2,.000,0,0,0,0,0,1,25.0,SEA,0,-4,20080229,13,0.0,3,0,26.6,.000,0.0,5,0,0,1,1,16.3,7.0,Johan Petro
7,1887.0,-1.3,18.0,0,1,108,.524,12.3,.545,0,.000,1,.091,4,.000,0,0,0,3,8.0,SEA,12,+1,20080229,110,0.0,11,1,19.8,.545,18.0,11,0,6,0,2,19.1,1.9,Nick Collison
3,1531.0,-3.4,17.4,0,2,112,.644,6.6,.500,3,.333,1,.667,0,.750,0,2,.500,2,20.5,SEA,10,-13,20080229,103,0.0,6,4,10.5,.583,0.0,3,1,3,0,1,6.4,2.3,Damien Wilkins
2,1237.0,-2.5,10.8,0,2,113,.694,36.8,.500,2,.000,1,1.000,0,1.000,0,0,0,1,41.0,SEA,4,-6,20080229,107,0.0,2,2,8.6,.500,0.0,2,0,1,0,5,5.3,2.8,Luke Ridnour
2,756.0,-21.0,32.6,0,1,109,.125,12.6,.125,0,.125,1,.000,1,0,0,1,.000,1,11.1,SEA,2,+4,20080229,38,0.0,8,0,14.1,.125,11.2,3,0,1,0,1,13.0,4.6,Mickaël Gelabale
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Wilks
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Donyell Marshall
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Francisco Elson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Anthony
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daequan Cook
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MIA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Smush Parker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adrian Griffin
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mouhamed Sene
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SEA,0,0,20080229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert Swift
