stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
2.8,5.9,2,1952.0,1,6,.500,.472,0,0,1.000,.133,2,15,15,.400,2,4,2,1,-8,.133,.433,Wilson Chandler,13.7,10.2,2,NYK,104,20080317,0.0,0.0,4,8,106,20.8,2.1,1,1,11.7
3.2,16.8,2,1724.0,0,7,.600,.531,0,0,1.000,.222,5,21,18,.389,4,10,2,1,-3,.278,.472,Zach Randolph,38.8,11.5,4,NYK,100,20080317,1.9,0.0,4,14,99,33.1,0.0,4,3,23.2
0.0,20.2,1,1474.0,1,3,.000,.508,0,0,1.000,.286,1,8,7,.429,2,2,0,1,-13,.143,.429,David Lee,9.1,6.7,2,NYK,111,20080317,-7.1,0.0,2,4,93,16.1,2.8,2,0,7.7
1.9,20.2,1,1453.0,0,3,.667,.571,2,0,.500,.286,3,9,7,.429,2,1,1,1,-6,.429,.571,Nate Robinson,4.6,0.0,1,NYK,110,20080317,-2.8,15.2,0,1,101,16.3,0.0,2,2,2.0
2.0,11.3,2,1418.0,0,5,.500,.512,3,0,.667,.462,4,16,13,.385,6,4,1,1,-1,.308,.462,Jamal Crawford,18.9,0.0,4,NYK,107,20080317,1.3,27.9,0,4,105,29.9,0.0,2,2,8.0
3.4,0.0,2,1644.0,1,2,0,.691,0,0,.778,2.250,0,11,4,.500,9,4,2,0,-10,.000,.500,Renaldo Balkman,16.3,3.0,7,NYK,102,20080317,4.5,0.0,1,5,155,11.6,2.5,0,0,8.7
0.0,0.0,2,1483.0,1,2,.000,.343,1,0,.600,.625,3,7,8,.250,5,0,0,0,-15,.375,.250,Fred Jones,0.0,3.3,3,NYK,112,20080317,-7.5,6.9,1,1,88,16.5,2.8,0,0,1.9
1.9,45.0,6,1463.0,1,1,0,.307,2,0,.500,.500,0,3,4,.250,2,5,1,0,+3,.000,.250,Jared Jeffries,22.9,6.8,1,NYK,104,20080317,-10.3,13.1,2,7,54,14.6,2.9,4,0,13.6
1.9,21.6,0,1440.0,1,3,.667,.368,4,0,.000,.200,3,8,10,.300,2,4,1,0,-8,.300,.400,Mardy Collins,18.6,10.3,0,NYK,105,20080317,0.2,30.8,3,7,81,23.2,2.9,3,2,13.9
0.0,0.0,2,349.0,0,0,0,.000,0,0,.000,0,0,0,0,0,2,1,0,0,+1,0,0,Randolph Morris,19.2,0.0,0,NYK,111,20080317,-16.1,0.0,0,1,0,6.1,0.0,0,0,8.2
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malik Rose,0,0,0,NYK,0,20080317,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quentin Richardson,0,0,0,NYK,0,20080317,0,0,0,0,0,0,0,0,0,0
2.1,11.3,1,2621.0,1,10,.286,.550,4,0,.667,.286,7,26,21,.476,6,9,2,1,+15,.333,.524,Danny Granger,17.1,5.1,4,IND,91,20080317,5.3,14.2,2,11,106,24.8,1.7,3,2,12.0
1.1,7.7,3,2572.0,2,12,.571,.751,4,0,.889,.450,7,36,20,.600,9,6,1,1,+15,.350,.700,Mike Dunleavy,11.6,0.0,8,IND,95,20080317,13.8,15.7,0,6,142,24.6,3.4,2,4,6.7
1.5,7.0,1,1908.0,0,5,.000,.488,3,0,1.000,.250,2,13,12,.417,3,10,1,1,+13,.167,.417,Troy Murphy,26.0,0.0,3,IND,89,20080317,1.2,13.1,0,10,101,18.3,0.0,1,0,14.9
0.0,12.7,3,1797.0,1,5,.250,.509,4,0,.750,.333,4,14,12,.417,4,3,0,1,+14,.333,.458,Ronald Murray,8.3,0.0,3,IND,100,20080317,-2.6,18.9,0,3,99,21.4,2.5,2,1,4.8
0.0,15.5,4,1616.0,3,3,0,.643,0,0,1.000,.200,0,7,5,.600,1,4,0,1,+5,.000,.600,Jeff Foster,12.3,16.6,1,IND,94,20080317,-0.8,0.0,4,8,128,9.7,8.2,1,0,14.1
2.1,15.4,2,1301.0,0,3,.000,.273,1,0,0,.000,1,6,11,.273,0,5,1,0,+4,.091,.273,Marquis Daniels,19.1,5.1,0,IND,91,20080317,-12.2,6.3,1,6,56,24.4,0.0,2,0,13.2
2.6,0.0,1,1083.0,0,0,.000,.000,4,0,0,.000,4,0,6,.000,0,1,1,0,-2,.667,.000,Travis Diener,4.6,6.2,0,IND,97,20080317,-8.9,25.3,1,2,46,13.5,0.0,0,0,5.3
0.0,0.0,5,803.0,0,4,0,.571,0,0,0,.000,0,8,7,.571,0,2,0,0,-3,.000,.571,Ike Diogu,12.4,0.0,0,IND,97,20080317,-5.8,0.0,0,2,111,21.3,0.0,0,0,7.1
0.0,0.0,1,390.0,0,0,.000,.000,1,0,0,.000,1,0,1,.000,0,0,0,0,+3,1.000,.000,Kareem Rush,0.0,0.0,0,IND,105,20080317,-9.1,17.6,0,0,48,6.3,0.0,0,0,0.0
0.0,100.0,2,199.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,David Harrison,25.0,0.0,0,IND,76,20080317,-16.4,0.0,0,1,0,12.3,22.3,1,0,14.3
0.0,0.0,0,110.0,0,0,.000,.000,0,0,0,.000,1,0,1,.000,0,0,0,0,-2,1.000,.000,Stephen Graham,0.0,0.0,0,IND,106,20080317,-25.2,0.0,0,0,0,22.2,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shawne Williams,0,0,0,IND,0,20080317,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eddy Curry,0,0,0,NYK,0,20080317,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerome James,0,0,0,NYK,0,20080317,0,0,0,0,0,0,0,0,0,0
