player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Metta World Peace,2512.0,.596,.565,.130,.130,15.3,21.3,18.8,11.8,4.8,3.1,3.9,27.4,134,104,8.1,SAC,1,0,20080330,12,23,.522,2,3,.667,3,3,1.000,4,8,12,3,4,2,1,1,29,+15
Kevin Martin,2436.0,.688,.605,.263,.421,3.9,2.7,3.2,7.9,0.0,0.0,4.3,26.2,146,121,-1.3,SAC,1,0,20080330,11,19,.579,1,5,.200,8,8,1.000,1,1,2,2,0,0,1,3,31,+22
Brad Miller,1800.0,.806,.750,.000,1.250,0.0,26.0,15.3,20.9,1.7,2.1,13.9,10.9,157,110,5.4,SAC,1,0,20080330,3,4,.750,0,0,0,4,5,.800,0,7,7,5,1,1,1,3,10,+19
Mikki Moore,1768.0,.822,.800,.000,1.600,5.4,15.2,11.2,8.9,0.0,0.0,19.0,16.2,141,118,-1.5,SAC,1,0,20080330,4,5,.800,0,0,0,6,8,.750,1,4,5,2,0,0,2,3,14,-1
Anthony Johnson,1322.0,.833,.833,.667,.000,0.0,10.1,6.0,16.9,4.6,0.0,57.1,14.4,78,110,-4.1,SAC,1,0,20080330,2,3,.667,1,2,.500,0,0,0,0,2,2,3,2,0,4,1,5,-6
John Salmons,2052.0,.508,.429,.143,.286,4.7,19.6,13.5,21.7,1.5,0.0,20.2,13.1,115,114,-3.2,SAC,0,0,20080330,3,7,.429,0,1,.000,2,2,1.000,1,6,7,6,1,0,2,2,8,+12
Francisco García,1742.0,.666,.643,.357,.286,5.5,15.4,11.3,16.7,3.5,2.2,6.0,26.1,139,109,6.6,SAC,0,0,20080330,8,14,.571,2,5,.400,3,4,.750,1,4,5,3,2,1,1,3,21,+17
Shelden Williams,443.0,.532,.000,.000,2.000,43.3,0.0,17.8,0.0,6.8,0.0,34.7,17.7,111,107,-7.7,SAC,0,0,20080330,0,1,.000,0,0,0,2,2,1.000,2,0,2,0,1,0,1,1,2,-4
Quincy Douby,260.0,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0,122,-30.7,SAC,0,0,20080330,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-7
Lorenzen Wright,65.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.8,0,120,-68.9,SAC,0,0,20080330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
