stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.4,8.9,1,2516.0,1,9,0,.662,4,0,.900,.625,0,27,16,.563,10,7,1,1,+12,.000,.563,Chris Bosh,17.4,10.6,9,TOR,97,20081029,10.5,17.8,4,11,135,26.3,1.8,2,0,14.1
3.0,0.0,2,2261.0,0,3,.600,.409,3,0,0,.000,5,9,11,.273,0,1,2,1,+11,.455,.409,Anthony Parker,2.8,0.0,0,TOR,105,20081029,-1.5,11.9,0,1,96,14.4,0.0,0,3,1.4
0.0,10.9,5,2047.0,1,7,.000,.521,4,0,1.000,.200,1,17,15,.467,3,6,0,1,0,.067,.467,Jermaine O'Neal,18.4,6.5,3,TOR,98,20081029,0.1,21.5,2,8,107,26.4,2.2,2,0,12.6
1.7,10.0,5,1962.0,0,5,.600,.722,7,0,0,.000,5,13,9,.556,0,2,1,1,+4,.556,.722,José Calderón,6.4,0.0,0,TOR,104,20081029,4.6,35.9,0,2,142,15.1,0.0,1,3,3.3
4.8,25.8,2,1440.0,1,2,1.000,.521,2,0,.250,1.000,1,6,4,.500,4,0,2,1,0,.250,.625,Jamario Moon,0.0,4.7,1,TOR,102,20081029,1.7,12.5,1,1,87,15.9,3.1,2,1,2.2
0.0,20.0,1,1534.0,0,6,.750,.938,0,0,0,.000,4,15,8,.750,0,2,0,0,+9,.500,.938,Jason Kapono,8.2,0.0,0,TOR,107,20081029,5.3,0.0,0,2,122,19.3,0.0,2,3,4.2
2.9,0.0,2,1197.0,2,0,0,.000,2,0,0,.000,0,0,4,.000,0,4,1,0,+10,.000,.000,Andrea Bargnani,20.9,5.6,0,TOR,89,20081029,-2.8,13.4,1,5,48,9.9,7.5,0,0,13.5
3.7,0.0,3,918.0,0,2,0,.286,2,0,0,.000,0,4,7,.286,0,1,1,0,+7,.000,.286,Roko Ukić,6.8,0.0,0,TOR,100,20081029,-9.8,21.1,0,1,76,22.5,0.0,0,0,3.5
0.0,0.0,2,525.0,0,2,0,.286,0,0,0,.000,0,4,7,.286,0,0,0,0,+2,.000,.286,Joey Graham,0.0,25.5,0,TOR,113,20081029,-21.0,0.0,2,2,77,39.4,0.0,0,0,12.3
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Solomon,0,0,0,TOR,0,20081029,0,0,0,0,0,0,0,0,0,0
