player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Michael Beasley,2521.0,.704,.656,.125,.250,2.9,12.2,6.7,5.6,0.0,3.9,5.3,22.6,139,120,6.1,MIA,1,0,20081101,10,16,.625,1,2,.500,4,4,1.000,1,3,4,1,0,2,1,3,25,-6
Shawn Marion,2470.0,.455,.500,.222,.222,14.6,12.5,13.7,4.3,0.0,5.9,16.8,14.6,96,119,-3.6,MIA,1,0,20081101,4,9,.444,1,2,.500,0,2,.000,5,3,8,1,0,3,2,4,9,-6
Udonis Haslem,2296.0,.889,.889,.000,.000,6.3,22.4,12.9,0.0,1.5,0.0,0.0,11.9,179,116,4.6,MIA,1,0,20081101,8,9,.889,0,0,0,0,0,0,2,5,7,0,1,0,0,4,16,-6
Mario Chalmers,2108.0,.436,.417,.667,.333,0.0,9.8,4.0,37.3,3.2,0.0,30.4,14.2,90,115,-3.6,MIA,1,0,20081101,2,6,.333,1,4,.250,1,2,.500,0,2,2,8,2,0,3,4,6,+4
Dwyane Wade,1794.0,.458,.333,.133,.867,12.0,11.5,11.8,40.2,5.7,2.7,8.8,38.4,107,108,9.7,MIA,1,0,20081101,5,15,.333,0,2,.000,9,13,.692,3,2,5,6,3,1,2,5,19,-2
Daequan Cook,1450.0,.188,.188,.875,.000,0.0,0.0,0.0,6.6,0.0,0.0,11.1,18.8,44,125,-15.8,MIA,0,0,20081101,1,8,.125,1,7,.143,0,0,0,0,0,0,1,0,0,1,1,3,-15
Marcus Banks,791.0,.595,.500,.600,.400,0.0,13.0,5.4,0.0,0.0,0.0,25.4,30.2,89,120,-13.4,MIA,0,0,20081101,2,5,.400,1,3,.333,2,2,1.000,0,1,1,0,0,0,2,4,7,-12
Chris Quinn,680.0,.347,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,86,125,-12.9,MIA,0,0,20081101,0,2,.000,0,0,0,2,2,1.000,0,0,0,0,0,0,0,1,2,-15
Mark Blount,199.0,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0,125,-33.0,MIA,0,0,20081101,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-7
Joel Anthony,91.0,.000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0,125,-32.2,MIA,0,0,20081101,0,0,0,0,0,0,0,2,.000,0,0,0,0,0,0,0,0,0,0
Dorell Wright,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20081101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakhouba Diawara,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20081101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Wallace,2601.0,.738,.750,.125,1.000,11.9,16.6,14.7,13.4,2.6,6.5,14.8,29.0,133,97,17.0,CHA,1,0,20081101,11,16,.688,2,2,1.000,10,16,.625,3,6,9,3,2,3,4,1,34,+15
Jason Richardson,2352.0,.643,.647,.176,.118,0.0,3.1,1.8,9.9,1.4,0.0,10.1,23.6,125,107,3.5,CHA,1,0,20081101,10,17,.588,2,3,.667,1,2,.500,0,1,1,2,1,0,2,3,23,+15
