player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Paul Pierce,2668.0,.388,.367,.267,.267,8.1,13.8,11.2,12.5,3.6,0.0,19.3,21.4,84,108,-3.3,BOS,1,0,20081104,5,15,.333,1,4,.250,2,4,.500,3,6,9,4,3,0,4,3,13,+16
Kevin Garnett,2188.0,.441,.400,.000,.133,3.3,28.0,16.6,4.1,0.0,2.1,11.2,22.4,92,108,-4.9,BOS,1,0,20081104,6,15,.400,0,0,0,2,2,1.000,1,10,11,1,0,1,2,2,14,-8
Ray Allen,2106.0,.843,.800,.400,.333,6.8,8.7,7.9,27.4,0.0,0.0,10.4,25.0,159,118,13.5,BOS,1,0,20081104,11,15,.733,2,6,.333,5,5,1.000,2,3,5,5,0,0,2,6,29,-2
Kendrick Perkins,2093.0,.735,.875,.000,.625,10.3,11.7,11.1,0.0,0.0,8.7,22.7,17.3,109,111,3.1,BOS,1,0,20081104,7,8,.875,0,0,0,1,5,.200,3,4,7,0,0,4,3,2,15,+3
Rajon Rondo,1745.0,.500,.500,.000,.000,8.3,17.6,13.3,36.4,0.0,0.0,16.7,18.9,114,114,-0.6,BOS,1,0,20081104,5,10,.500,0,0,0,0,0,0,2,5,7,7,0,0,2,3,10,-8
Eddie House,1169.0,.592,.400,.400,.800,0.0,5.2,2.8,7.0,8.2,0.0,12.9,18.2,120,102,7.2,BOS,0,0,20081104,2,5,.400,0,2,.000,4,4,1.000,0,1,1,1,3,0,1,1,8,+12
Tony Allen,966.0,1.064,1.000,.000,2.000,0.0,12.7,6.9,0.0,6.6,0.0,34.7,8.2,131,102,6.1,BOS,0,0,20081104,1,1,1.000,0,0,0,2,2,1.000,0,2,2,0,2,0,1,1,4,-6
Glen Davis,773.0,.615,.500,.000,.500,18.6,0.0,8.6,12.9,4.1,0.0,0.0,26.0,149,113,9.8,BOS,0,0,20081104,3,6,.500,0,0,0,3,3,1.000,2,0,2,1,1,0,0,2,9,+1
Leon Powe,692.0,.174,.000,.000,1.000,10.4,8.9,9.6,20.8,4.6,0.0,25.8,15.4,68,108,-7.1,BOS,0,0,20081104,0,2,.000,0,0,0,1,2,.500,1,1,2,2,1,0,1,4,1,+12
Henry Walker,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20081104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Scalabrine,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20081104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Pruitt,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20081104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metta World Peace,2222.0,.376,.281,.625,.563,8.3,13.0,10.4,4.3,2.9,0.0,4.8,24.6,93,112,-2.6,HOU,1,0,20081104,3,16,.188,3,10,.300,6,9,.667,3,4,7,1,2,0,1,5,15,-1
