blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
2.4,.250,4.2,1.4,112,1,11,.833,20.6,3,5,0,75,3,4,20081107,2437.0,1,David West,12,5,0,.000,1,.250,1,0,-11.5,8.0,.376,NOH,0,6,.500,1,3.1,6,0,17.0,13.1
0.0,.615,55.5,8.7,97,10,20,.600,23.3,8,3,+2,121,4,3,20081107,2341.0,6,Chris Paul,13,3,0,.231,0,.654,0,1,13.1,5.0,.658,NOH,3,5,.385,1,0.0,5,.333,20.8,10.3
0.0,.438,7.1,0.0,113,1,20,0,25.4,7,7,0,120,1,6,20081107,1902.0,0,Peja Stojaković,16,0,0,.750,0,.625,1,6,7.4,14.3,.625,NOH,12,0,.000,1,4.0,1,.500,5.9,25.2
9.4,.250,15.1,0.0,111,3,2,0,6.0,1,7,+1,121,0,3,20081107,1881.0,0,Tyson Chandler,4,0,0,.000,3,.250,4,0,-0.8,14.5,.250,NOH,0,0,.000,1,16.1,5,0,0.0,12.8
5.2,.364,11.7,0.0,111,1,10,1.000,36.3,4,4,+3,77,3,3,20081107,1130.0,0,Morris Peterson,11,1,0,.545,1,.409,1,1,-7.9,13.8,.437,NOH,6,1,.091,1,6.7,1,.167,20.8,21.2
0.0,.667,19.4,0.0,113,3,11,1.000,12.1,4,6,-6,154,1,5,20081107,1750.0,0,James Posey,6,1,0,.667,0,.833,1,2,5.5,13.3,.854,NOH,4,1,.167,0,4.3,4,.500,13.4,22.9
0.0,.429,0.0,3.2,114,0,7,0,24.3,3,0,-2,74,2,0,20081107,1052.0,1,Rasual Butler,7,0,0,.429,0,.500,0,1,-7.1,0.0,.500,NOH,3,0,.000,0,0.0,1,.333,22.2,0.0
0.0,.250,9.9,0.0,116,1,6,.667,21.7,1,4,-4,103,1,2,20081107,999.0,0,Hilton Armstrong,4,4,0,.000,0,.250,2,0,-7.5,15.6,.452,NOH,0,6,1.500,0,15.2,3,0,13.1,16.0
0.0,.000,16.7,6.3,106,1,0,0,5.3,0,0,-5,59,0,0,20081107,539.0,1,Mike James,1,0,0,.000,0,.000,0,0,-2.5,0.0,.000,NOH,0,0,.000,0,0.0,1,0,0.0,0.0
0.0,.500,0.0,0.0,121,0,2,0,30.8,1,1,-4,55,2,0,20081107,369.0,0,Devin Brown,2,0,0,.000,0,.500,1,0,-19.0,10.5,.500,NOH,0,0,.000,0,20.5,0,0,50.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081107,0.0,0,Julian Wright,0,0,0,0,0,0,0,0,0,0,0,NOH,0,0,0,0,0,0,0,0,0
