threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.333,0,3,7,.938,32.1,39,20081210,Al Harrington,2,.571,11.1,15,109,21,2,12.5,2.1,.524,0,16,2,2742.0,.286,5.8,5.3,NYK,11,4,.695,4,1,.762,13,133,11,0.0,19.0,+15,30.5
.167,1,3,2,1.000,22.0,24,20081210,Wilson Chandler,1,.875,11.8,3,111,12,1,7.0,1.2,.833,0,3,2,2546.0,.500,6.3,9.4,NYK,10,1,.901,3,1,.250,9,173,7,2.1,14.1,+12,14.7
.375,0,3,6,.500,13.0,9,20081210,Quentin Richardson,0,.250,9.9,1,109,16,3,10.6,3.6,.250,0,2,4,2459.0,.000,13.0,-7.6,NYK,4,2,.267,0,1,.125,8,76,4,0.0,13.0,+5,20.0
.333,0,10,3,1.000,3.5,10,20081210,Chris Duhon,1,.278,33.3,5,115,9,1,8.2,1.3,.222,0,5,1,2305.0,.333,3.5,-0.9,NYK,2,1,.446,1,1,.556,2,125,1,0.0,3.5,+7,13.8
.000,0,1,0,1.000,5.5,10,20081210,David Lee,0,.571,6.2,2,117,7,0,20.2,0.0,.571,0,2,0,1445.0,0,0.0,-5.6,NYK,4,2,.635,1,1,.286,1,105,1,0.0,2.8,+1,17.8
.667,1,1,8,.833,17.2,26,20081210,Tim Thomas,5,.875,5.6,5,109,12,1,12.0,1.6,.667,0,6,0,1863.0,.625,0.0,10.8,NYK,8,2,.888,5,0,.500,4,152,4,2.8,8.6,+15,23.3
.000,1,0,0,1.000,7.7,3,20081210,Jared Jeffries,0,.500,0.0,1,111,2,0,62.1,0.0,.500,0,1,0,1040.0,0,0.0,-16.7,NYK,1,4,.615,5,0,.500,1,43,1,5.0,3.8,+5,16.2
0,0,0,0,0,0,0,20081210,Malik Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20081210,Nate Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20081210,Anthony Roberson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
