blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
2.5,.600,0.0,0.0,121,0,24,0,27.7,12,10,-9,122,1,6,20081220,2215.0,0,Jermaine O'Neal,20,0,0,.000,1,.600,4,0,2.5,15.1,.600,TOR,0,0,.000,1,11.8,3,0,4.8,18.6
0.0,.429,17.0,1.5,115,4,17,.714,23.4,6,10,-1,113,0,10,20081220,2130.0,1,Chris Bosh,14,5,0,.071,0,.429,0,0,5.2,15.7,.498,TOR,1,7,.500,1,0.0,2,.000,0.0,32.2
0.0,.583,17.8,1.5,122,4,16,0,17.9,7,4,-5,130,1,4,20081220,2126.0,1,José Calderón,12,0,0,.250,0,.667,0,2,4.3,6.3,.667,TOR,3,0,.000,1,0.0,1,.667,7.7,12.9
0.0,.444,5.5,0.0,128,1,12,1.000,18.1,4,1,+2,129,0,1,20081220,1592.0,0,Jason Kapono,9,2,0,.333,0,.556,0,2,0.9,2.1,.607,TOR,3,2,.222,1,0.0,2,.667,0.0,4.3
0.0,.200,0.0,0.0,121,0,2,0,12.6,1,4,+7,44,0,4,20081220,1162.0,0,Jamario Moon,5,0,0,.400,0,.200,0,0,-11.8,11.5,.200,TOR,2,0,.000,1,0.0,1,.000,0.0,23.6
0.0,.200,5.0,4.1,119,1,6,1.000,20.1,2,4,-10,81,0,1,20081220,1578.0,2,Joey Graham,10,2,0,.000,0,.200,3,0,-4.0,8.5,.276,TOR,0,2,.200,0,12.4,0,0,0.0,4.3
0.0,.600,5.9,0.0,126,1,8,1.000,14.1,3,2,-19,121,1,2,20081220,1428.0,0,Anthony Parker,5,2,0,.000,0,.600,0,0,-2.9,4.7,.680,TOR,0,2,.400,0,0.0,1,0,14.5,9.6
0.0,.200,0.0,3.0,118,0,2,0,13.6,1,2,0,44,0,2,20081220,1071.0,1,Andrea Bargnani,5,0,0,.400,0,.200,0,0,-10.0,6.3,.200,TOR,2,0,.000,0,0.0,1,.000,0.0,12.8
0.0,.667,48.6,0.0,127,2,4,0,19.9,2,1,-3,156,0,0,20081220,440.0,0,Will Solomon,3,0,0,.333,0,.667,1,0,8.7,7.6,.667,TOR,1,0,.000,0,14.9,2,.000,0.0,0.0
0.0,.500,0.0,0.0,130,0,4,0,34.0,2,0,-10,100,0,0,20081220,344.0,0,Jake Voskuhl,4,0,0,.000,0,.500,0,0,-3.1,0.0,.500,TOR,0,0,.000,0,0.0,0,0,0.0,0.0
0.0,.000,0.0,0.0,128,0,2,1.000,26.8,0,0,-2,73,1,0,20081220,314.0,0,Roko Ukić,1,2,0,.000,0,.000,0,0,-18.4,0.0,.532,TOR,0,2,2.000,0,0.0,1,0,34.7,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Kris Humphries,0,0,0,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0.0,.579,43.5,0.0,112,10,24,1.000,25.4,11,8,+7,140,1,8,20081220,2332.0,0,Tony Parker,19,2,0,.053,0,.579,0,0,5.5,11.5,.604,SAS,1,2,.105,1,0.0,1,.000,4.8,22.5
7.5,.571,14.0,0.0,104,3,19,.429,29.5,8,7,0,100,4,5,20081220,2021.0,0,Tim Duncan,14,3,0,.000,4,.571,2,0,0.0,11.6,.556,SAS,0,7,.500,1,6.8,3,0,19.0,16.2
0.0,.500,8.4,0.0,114,2,14,0,14.3,5,3,+9,148,0,3,20081220,1975.0,0,Michael Finley,10,0,0,.800,0,.700,0,4,4.2,5.1,.700,SAS,8,0,.000,1,0.0,1,.500,0.0,9.9
0.0,.545,14.8,0.0,113,3,16,0,17.3,6,5,+12,155,0,5,20081220,1804.0,0,Roger Mason,11,0,0,.545,0,.727,0,4,8.2,9.3,.727,SAS,6,0,.000,1,0.0,1,.667,0.0,18.1
2.2,.625,14.7,0.0,114,3,14,0,13.0,5,3,+11,187,0,0,20081220,1742.0,0,Matt Bonner,8,0,0,.875,1,.875,3,4,12.2,5.8,.875,SAS,7,0,.000,1,11.8,3,.571,0.0,0.0
7.6,.333,5.1,0.0,100,1,4,0,11.4,2,12,+11,115,0,8,20081220,1495.0,0,Kurt Thomas,6,0,0,.000,3,.333,4,0,0.8,26.9,.333,SAS,0,0,.000,0,18.3,1,0,0.0,35.0
0.0,.500,16.9,0.0,110,3,13,1.000,24.5,4,7,+4,104,4,7,20081220,1491.0,0,Manu Ginóbili,8,2,0,.625,0,.688,0,3,-1.9,15.7,.732,SAS,5,2,.250,0,0.0,3,.600,31.1,30.7
0.0,0,0.0,0.0,117,0,0,0,5.2,0,0,+3,0,1,0,20081220,549.0,0,George Hill,0,0,0,0,0,0,0,0,-18.0,0.0,0,SAS,0,0,0,0,0.0,2,0,100.0,0.0
0.0,.000,13.6,0.0,117,1,0,.000,33.1,0,2,-2,41,0,0,20081220,503.0,0,Anthony Tolliver,5,0,0,.600,0,.000,2,0,-29.7,13.3,.000,SAS,3,2,.400,0,27.3,0,.000,0.0,0.0
0.0,.000,0.0,12.5,90,0,0,0,32.5,0,0,+2,0,0,0,20081220,261.0,1,Ime Udoka,3,0,0,1.000,0,.000,0,0,-24.4,0.0,.000,SAS,3,0,.000,0,0.0,0,.000,0.0,0.0
0.0,.500,0.0,0.0,116,0,3,0,24.6,1,1,-7,159,0,0,20081220,230.0,0,Bruce Bowen,2,0,0,1.000,0,.750,1,1,11.8,14.6,.750,SAS,2,0,.000,0,29.8,1,.500,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Jacque Vaughn,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Blake Ahearn,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Hassan Adams,0,0,1,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Nathan Jawai,0,0,1,0,0,0,0,0,0,0,0,TOR,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Ian Mahinmi,0,0,1,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081220,0.0,0,Fabricio Oberto,0,0,1,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
