blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
5.1,.455,20.7,1.4,85,4,15,1.000,18.4,5,24,+4,117,3,17,20081230,2331.0,1,Marcus Camby,11,5,0,.091,3,.455,7,0,7.0,30.3,.568,LAC,1,5,.455,1,17.3,3,.000,18.5,43.8
0.0,.400,14.9,4.2,104,3,18,1.000,17.6,4,5,+3,142,1,1,20081230,2311.0,3,Paul Davis,10,10,0,.000,0,.400,4,0,6.3,6.4,.625,LAC,0,10,1.000,1,10.0,4,0,6.5,2.6
0.0,.643,0.0,2.8,107,0,24,.667,18.8,9,2,+10,148,1,1,20081230,2300.0,2,Eric Gordon,14,2,0,.429,0,.786,1,4,8.2,2.6,.783,LAC,6,3,.214,1,2.5,4,.667,6.1,2.6
2.0,.176,23.0,3.3,100,4,11,1.000,30.8,3,5,+1,65,4,4,20081230,1954.0,2,Baron Davis,17,4,0,.235,1,.206,1,1,-8.5,7.5,.293,LAC,4,4,.235,1,2.9,2,.250,17.6,12.3
2.0,.250,0.0,1.7,108,0,8,.667,19.6,3,1,-10,66,1,1,20081230,1932.0,1,Al Thornton,12,2,0,.000,1,.250,0,0,-11.3,1.5,.300,LAC,0,3,.250,1,0.0,2,0,7.0,3.1
0.0,.667,10.4,0.0,105,1,4,0,9.5,2,5,-11,115,1,3,20081230,1118.0,0,Brian Skinner,3,0,0,.000,0,.667,2,0,-3.4,13.1,.667,LAC,0,0,.000,0,10.3,2,0,25.0,16.1
0.0,.111,0.0,0.0,107,0,2,0,23.3,1,2,-8,29,0,2,20081230,1021.0,0,Fred Jones,9,0,0,.444,0,.111,0,0,-26.4,5.8,.111,LAC,4,0,.000,0,0.0,4,.000,0.0,11.8
0.0,.429,45.1,0.0,111,3,8,1.000,25.4,3,2,-3,112,1,1,20081230,926.0,0,Jason Hart,7,2,0,.000,0,.429,1,0,-0.1,6.3,.508,LAC,0,2,.286,0,6.2,2,0,11.3,6.5
0.0,.000,0.0,0.0,114,0,0,0,10.4,0,0,+4,0,1,0,20081230,507.0,0,Mardy Collins,1,0,0,.000,0,.000,0,0,-22.6,0.0,.000,LAC,0,0,.000,0,0.0,1,0,50.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081230,0.0,0,Mike Taylor,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081230,0.0,0,Steve Novak,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20081230,0.0,0,DeAndre Jordan,0,0,0,0,0,0,0,0,0,0,0,LAC,0,0,0,0,0,0,0,0,0
0.0,.263,29.2,0.0,107,6,15,.833,26.3,5,7,+3,93,2,3,20081230,2302.0,0,John Salmons,19,5,0,.158,0,.263,4,0,-4.0,8.9,.347,SAC,3,6,.316,1,10.4,2,.000,8.5,7.5
1.8,.333,14.7,0.0,100,3,15,1.000,22.6,5,13,+9,100,3,7,20081230,2288.0,0,Brad Miller,15,5,0,.000,1,.333,6,0,-1.4,16.7,.436,SAC,0,5,.333,1,15.7,2,0,14.9,17.6
2.2,.500,16.5,0.0,96,3,7,1.000,11.3,3,9,-6,101,2,8,20081230,1905.0,0,Mikki Moore,6,1,0,.000,1,.500,1,0,-0.3,13.9,.543,SAC,0,1,.167,1,3.1,3,0,23.7,24.2
0.0,.600,16.2,1.9,103,2,13,.000,17.7,6,2,+7,122,1,2,20081230,1653.0,1,Beno Udrih,10,0,0,.100,0,.650,0,1,2.6,3.6,.623,SAC,1,1,.100,1,0.0,2,1.000,8.7,7.0
0.0,.200,0.0,2.3,104,0,3,.500,12.8,1,4,+1,70,1,1,20081230,1377.0,1,Francisco García,5,1,0,.200,0,.200,3,0,-9.8,8.5,.255,SAC,1,2,.400,1,13.1,3,.000,14.5,4.2
