drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
1,2615.0,-0.5,16.3,3,1,117,.372,30.4,.308,1,.308,0,.077,0,1.000,0,4,.250,1,6.9,HOU,10,+5,20090103,107,3.9,13,1,3.7,.346,0.0,1,1,4,1,9,1.6,0.0,Rafer Alston
1,2429.0,-1.7,22.4,2,1,119,.487,8.3,.412,0,.412,0,.059,1,.000,0,7,.429,2,5.4,HOU,17,+5,20090103,106,2.8,17,1,4.0,.500,3.2,2,3,7,1,2,3.5,0.0,Von Wafer
8,2357.0,-0.4,16.9,0,1,123,.639,4.0,.556,6,.000,0,.889,3,.750,0,0,0,2,7.4,HOU,16,+1,20090103,136,0.0,9,8,32.6,.556,9.9,11,0,5,1,1,20.1,0.0,Luis Scola
11,1977.0,2.7,23.7,1,3,118,.621,16.3,.583,2,.000,0,.167,4,1.000,0,0,0,3,18.9,HOU,16,-5,20090103,118,1.7,12,2,53.4,.583,15.7,15,0,7,1,3,32.6,0.0,Yao Ming
1,1429.0,3.5,18.5,0,3,125,.917,20.9,.667,0,.833,0,.000,0,0,0,5,.600,1,33.3,HOU,11,-2,20090103,117,0.0,6,0,6.7,.917,0.0,1,3,4,1,3,3.0,0.0,Brent Barry
1,1415.0,-12.6,27.1,0,3,125,.450,14.1,.400,0,.300,0,.000,0,0,0,3,.333,1,23.1,HOU,9,-4,20090103,78,0.0,10,0,6.8,.450,0.0,1,1,4,0,2,3.0,0.0,Aaron Brooks
2,1133.0,19.0,22.1,0,0,124,1.056,0.0,1.000,8,.000,0,1.600,3,1.000,0,0,0,2,0.0,HOU,18,+2,20090103,226,0.0,5,8,16.9,1.000,20.6,5,0,5,0,0,19.0,0.0,Carl Landry
0,755.0,-8.8,19.5,0,0,125,.300,23.0,.200,0,.400,0,.000,0,0,0,2,.500,1,0.0,HOU,3,-13,20090103,93,0.0,5,0,0.0,.300,0.0,0,1,1,0,2,0.0,0.0,Luther Head
1,292.0,-4.5,0.0,0,0,123,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,HOU,0,-4,20090103,223,0.0,0,0,32.9,0,26.7,2,0,0,0,0,29.4,0.0,Chuck Hayes
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU,0,0,20090103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metta World Peace
