drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
6,2495.0,13.0,26.3,1,3,115,.772,22.6,.588,7,.353,0,.412,1,1.000,0,6,.667,2,13.0,BOS,31,-14,20090104,140,1.3,17,7,15.4,.706,2.5,7,4,10,1,4,8.9,0.0,Paul Pierce
3,2244.0,-2.6,26.4,2,1,113,.402,11.2,.368,2,.474,1,.105,1,1.000,0,9,.000,3,4.8,BOS,16,-20,20090104,89,2.9,19,2,8.6,.368,2.8,4,0,7,1,2,5.6,2.1,Ray Allen
8,1738.0,-0.3,17.6,1,3,99,.387,10.9,.167,4,.000,5,.667,1,1.000,0,0,0,3,27.9,BOS,6,-22,20090104,72,1.9,6,4,29.5,.167,3.6,9,0,1,1,2,16.4,13.8,Kevin Garnett
1,1736.0,0.0,11.3,0,1,121,.680,12.3,.600,2,.000,1,.400,2,1.000,0,0,0,3,14.5,BOS,8,-14,20090104,133,0.0,5,2,3.7,.600,7.2,3,0,3,1,2,5.5,2.8,Kendrick Perkins
3,1535.0,-11.2,16.7,1,2,115,.214,18.7,.143,0,.286,0,.000,1,0,0,2,.500,2,22.2,BOS,3,-25,20090104,57,2.1,7,0,12.5,.214,4.1,4,1,1,1,3,8.2,0.0,Rajon Rondo
4,1397.0,-6.0,12.2,0,0,117,.417,7.4,.333,0,.667,0,.000,1,0,0,4,.250,3,0.0,BOS,5,+4,20090104,102,0.0,6,0,18.3,.417,4.5,5,1,2,0,1,11.3,0.0,Eddie House
2,925.0,-22.9,33.8,0,2,119,.222,12.1,.222,0,.222,0,.000,0,0,0,2,.000,1,18.2,BOS,4,+8,20090104,44,0.0,9,0,13.8,.222,0.0,2,0,2,0,1,6.8,0.0,Tony Allen
3,738.0,2.4,14.9,0,0,109,.515,13.9,.333,2,.667,1,.667,0,1.000,0,2,.000,2,0.0,BOS,4,+6,20090104,123,0.0,3,2,26.0,.333,0.0,3,0,1,0,1,12.9,6.5,Brian Scalabrine
3,724.0,5.3,15.2,1,0,104,.644,0.0,.667,1,.000,0,.667,3,.500,0,0,0,2,0.0,BOS,5,+7,20090104,149,4.5,3,2,26.5,.667,25.9,6,0,2,0,0,26.2,0.0,Leon Powe
0,677.0,2.9,25.2,0,1,124,.600,22.1,.600,0,.000,0,.000,2,0,0,0,0,0,16.7,BOS,6,+6,20090104,112,0.0,5,0,0.0,.600,18.5,2,0,3,0,1,9.3,0.0,Glen Davis
0,96.0,35.9,0.0,0,0,49,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,+2,20090104,0,34.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Gabe Pruitt
0,96.0,-7.8,0.0,1,0,124,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,+2,20090104,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,Patrick O'Bryant
3,2613.0,-0.2,15.1,3,4,100,.581,18.6,.444,3,.333,0,.333,0,1.000,0,3,.333,1,27.9,NYK,12,+11,20090104,97,3.7,9,3,7.2,.500,0.0,3,1,4,1,5,3.6,0.0,Chris Duhon
11,2570.0,3.0,16.0,1,2,93,.543,8.2,.500,2,.000,3,.167,3,1.000,0,0,0,3,13.4,NYK,14,+13,20090104,110,1.3,12,2,26.8,.500,7.5,14,0,6,1,2,17.2,6.1,David Lee
6,2200.0,16.4,30.5,2,0,96,.638,11.8,.474,11,.158,1,.632,2,.917,0,3,.667,2,0.0,NYK,31,+25,20090104,143,3.0,19,12,17.1,.526,5.8,8,2,9,1,2,11.5,2.4,Wilson Chandler
5,2033.0,-19.4,19.0,0,1,105,.077,4.3,.077,0,.385,0,.000,1,0,0,5,.000,4,7.1,NYK,2,+4,20090104,27,0.0,13,0,15.4,.077,3.1,6,0,1,1,1,9.3,0.0,Quentin Richardson
3,1581.0,4.6,6.6,0,0,106,.931,12.0,1.000,3,.000,0,2.000,3,.750,0,0,0,5,0.0,NYK,7,+11,20090104,203,0.0,2,4,11.9,1.000,12.1,6,0,2,1,2,12.0,0.0,Jared Jeffries
5,2215.0,6.7,34.1,0,3,105,.617,13.2,.478,3,.391,0,.130,2,1.000,0,9,.556,4,11.0,NYK,30,+4,20090104,116,0.0,23,3,14.1,.587,5.8,7,5,11,0,2,10.0,0.0,Al Harrington
1,1188.0,7.6,13.4,2,0,97,.347,30.7,.250,1,.500,0,1.000,1,.250,0,2,.500,0,0.0,NYK,4,-8,20090104,107,5.5,4,4,5.3,.375,5.4,2,1,1,0,4,5.3,0.0,Nate Robinson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tim Thomas
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malik Rose
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Roberson
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jerome James
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danilo Gallinari
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOS,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Cassell
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOS,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J.R. Giddens
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOS,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Walker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eddy Curry
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephon Marbury
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NYK,0,0,20090104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuttino Mobley
