threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.200,0,4,2,0,8.0,7,20090124,John Salmons,1,.350,14.5,0,115,10,3,9.1,3.8,.300,0,0,0,2523.0,.500,0.0,-4.8,SAC,3,1,.350,3,1,.000,3,82,3,0.0,4.1,+8,12.3
.500,0,1,4,.917,2.8,20,20090124,Kevin Martin,1,.563,4.0,11,125,8,0,31.1,0.0,.500,0,12,0,2380.0,.250,0.0,-7.3,SAC,4,6,.753,2,1,1.500,1,105,1,0.0,1.4,-5,22.8
.364,0,5,4,1.000,3.1,12,20090124,Beno Udrih,2,.455,22.7,2,118,11,2,7.8,3.0,.364,0,2,1,2143.0,.500,3.3,-0.1,SAC,4,1,.505,3,1,.182,2,113,1,0.0,3.2,+2,16.9
.091,0,9,1,1.000,39.9,14,20090124,Brad Miller,1,.500,46.2,3,105,11,1,7.5,1.6,.455,0,3,1,2016.0,1.000,3.5,11.5,SAC,5,1,.568,2,1,.273,13,131,12,0.0,22.1,-3,18.6
.000,1,0,0,1.000,23.2,16,20090124,Jason Thompson,0,.667,0.0,4,114,9,0,15.7,0.0,.667,0,4,3,1729.0,0,12.2,0.5,SAC,6,2,.743,3,1,.444,9,131,6,2.2,17.8,+8,20.8
.467,0,2,7,.600,3.7,19,20090124,Francisco García,2,.533,13.5,3,124,15,0,0.0,0.0,.467,0,5,0,1792.0,.286,0.0,-1.9,SAC,7,0,.552,4,0,.333,1,117,1,0.0,1.9,-5,27.0
.400,0,1,2,1.000,0.0,6,20090124,Bobby Jackson,0,.400,14.4,2,117,5,1,0.0,4.3,.400,0,2,1,737.0,.000,9.5,4.2,SAC,2,0,.510,0,0,.400,1,123,0,0.0,4.7,-4,22.5
.000,0,1,0,1.000,9.4,6,20090124,Spencer Hawes,0,.500,14.9,2,121,4,0,17.0,0.0,.500,0,2,4,716.0,0,39.2,-2.5,SAC,2,1,.615,3,0,.500,5,133,1,0.0,23.9,-4,23.1
.000,0,0,0,0,0.0,4,20090124,Bobby Brown,0,.500,0.0,0,124,4,0,0.0,0.0,.500,0,0,0,364.0,0,0.0,-16.3,SAC,2,0,.500,3,0,.000,0,98,0,0.0,0.0,-7,31.0
0,0,0,0,0,0,0,20090124,Kenny Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20090124,Mikki Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20090124,Quincy Douby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
.211,0,3,4,.667,7.6,20,20090124,Richard Jefferson,0,.421,9.8,4,119,19,1,12.2,1.1,.421,0,6,0,2778.0,.000,0.0,-8.0,MIL,8,3,.462,3,1,.316,3,97,3,0.0,3.7,+1,22.6
.273,3,8,3,0,11.5,7,20090124,Luke Ridnour,1,.318,35.8,0,115,11,0,8.3,0.0,.273,0,0,1,1825.0,.333,3.7,1.3,MIL,3,1,.318,1,1,.000,4,101,3,8.3,7.5,-4,16.7
.200,0,4,2,1.000,8.8,14,20090124,Michael Redd,0,.500,23.5,4,122,10,0,7.8,0.0,.500,0,4,1,1588.0,.000,4.2,1.4,MIL,5,1,.595,1,1,.400,3,134,2,0.0,6.5,-4,20.5
.154,0,1,2,1.000,26.7,18,20090124,Charlie Villanueva,1,.577,8.9,3,117,13,0,6.5,0.0,.538,0,3,5,1313.0,.500,25.5,4.7,MIL,7,1,.628,5,1,.231,10,137,5,0.0,26.1,-1,29.7
.000,0,1,0,0,11.5,0,20090124,Dan Gadzuric,0,.000,11.8,0,121,1,0,50.0,0.0,.000,0,0,0,609.0,0,0.0,-14.6,MIL,0,1,.000,2,1,.000,1,26,1,0.0,5.6,-6,8.4
.000,2,2,0,.000,20.3,10,20090124,Francisco Elson,0,.455,8.4,0,98,11,5,14.4,7.7,.455,0,2,6,2076.0,0,19.4,2.8,MIL,5,2,.421,4,0,.182,12,98,6,4.9,19.8,+6,17.0
.000,0,3,0,.750,14.1,14,20090124,Ramon Sessions,0,.444,17.9,6,120,9,0,7.4,0.0,.444,0,8,2,1498.0,0,8.9,-1.1,MIL,4,1,.559,3,0,.889,5,129,3,0.0,11.4,+11,23.0
.000,0,2,0,.714,38.1,13,20090124,Luc Mbah a Moute,0,.667,17.6,5,107,6,1,9.9,2.9,.667,0,7,3,1105.0,0,18.2,11.5,MIL,4,1,.716,3,0,1.167,9,145,6,0.0,27.9,-1,23.2
.250,0,0,1,0,0.0,5,20090124,Tyronn Lue,1,.625,0.0,0,124,4,0,0.0,0.0,.500,0,0,0,1039.0,1.000,0.0,-4.8,MIL,2,0,.625,0,0,.000,0,140,0,0.0,0.0,+4,9.8
.000,0,2,0,.500,24.6,5,20090124,Malik Allen,0,.667,33.8,1,117,3,0,20.5,0.0,.667,0,2,0,570.0,0,0.0,3.6,MIL,2,1,.644,1,0,.667,2,113,2,0.0,12.0,+4,21.8
0,0,0,0,0,0,0,20090124,Damon Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20090124,Joe Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
