trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
4,.364,3,144,0.0,14.0,.455,2,HOU,.545,.400,14,Rafer Alston,5,.500,20090125,0,11,2.9,4,37.4,128,7.0,1.5,16.9,10,0,1,2,.549,2346.0,0,0,0.0,5,1,.455,4,0.0,+15
4,.143,0,104,11.8,14.7,.143,2,HOU,.464,.500,15,Tracy McGrady,2,1.000,20090125,0,14,-7.1,4,16.5,132,7.4,0.0,23.5,4,0,1,1,.504,2238.0,0,2,0.0,6,0,.429,2,0.0,+10
9,.294,1,130,5.0,23.6,.529,4,HOU,.588,.444,24,Metta World Peace,9,.800,20090125,3,17,4.7,6,4.9,126,17.7,1.7,30.1,1,0,1,4,.625,2089.0,0,1,0.0,8,1,.471,5,11.8,+3
5,.545,5,152,6.8,8.2,.000,3,HOU,.818,0,21,Luis Scola,0,.500,20090125,3,11,4.1,2,16.6,132,10.3,0.0,22.8,3,0,1,0,.770,2001.0,0,1,0.0,9,0,.818,6,12.3,+1
5,.400,2,192,14.5,8.3,1.000,2,HOU,1.200,.800,14,Shane Battier,5,1.000,20090125,3,5,13.6,2,8.7,129,10.3,0.0,10.7,2,0,1,4,1.190,1994.0,2,1,4.4,4,0,.800,2,12.4,+1
2,1.333,2,156,17.4,13.3,.000,4,HOU,.667,0,8,Carl Landry,0,1.000,20090125,0,3,3.9,2,20.4,132,6.7,0.0,14.5,3,0,0,0,.840,1235.0,0,1,0.0,2,0,.667,4,0.0,+1
2,.143,0,134,0.0,19.0,.143,1,HOU,.643,1.000,10,Von Wafer,1,1.000,20090125,0,7,1.8,2,0.0,131,9.5,0.0,26.8,0,0,0,1,.672,864.0,0,0,0.0,4,0,.571,1,0.0,+7
3,.000,5,112,0.0,21.5,.000,0,HOU,.000,0,0,Chuck Hayes,0,0,20090125,1,1,-11.4,2,9.7,127,16.1,0.0,4.1,1,0,0,0,.000,765.0,0,0,0.0,0,0,.000,0,10.8,-1
0,.000,1,63,40.0,0.0,.333,0,HOU,.333,.000,2,Aaron Brooks,1,0,20090125,0,3,-22.2,0,32.1,134,0.0,0.0,29.1,2,0,0,0,.333,534.0,0,2,0.0,1,0,.333,0,0.0,-12
1,.000,0,0,0.0,24.6,1.000,0,HOU,.000,.000,0,Brent Barry,2,0,20090125,0,2,-26.4,1,0.0,130,12.3,0.0,18.6,0,0,0,0,.000,334.0,0,0,0.0,0,0,.000,0,0.0,-10
0,0,0,0,0,0,0,0,HOU,0,0,0,Yao Ming,0,0,20090125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,HOU,0,0,0,Dikembe Mutombo,0,0,20090125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
11,.133,4,129,5.9,38.9,.400,1,DET,.700,.500,22,Rasheed Wallace,6,.500,20090125,0,15,3.0,11,7.5,128,19.5,0.0,22.8,2,0,1,3,.693,2324.0,1,1,2.5,9,0,.600,2,0.0,+4
2,1.000,2,131,6.5,8.0,.100,6,DET,.550,1.000,17,Allen Iverson,1,.600,20090125,0,10,1.4,2,30.4,134,4.0,1.7,23.5,8,0,1,1,.590,2052.0,0,1,0.0,5,1,.500,10,0.0,-5
5,.000,4,131,7.7,17.7,.000,0,DET,.583,0,14,Rodney Stuckey,0,0,20090125,1,12,-0.7,4,37.4,135,11.1,0.0,22.0,8,0,1,0,.583,1858.0,0,1,0.0,7,0,.583,0,4.4,0
3,.167,0,137,0.0,0.0,.000,0,DET,.500,0,6,Tayshaun Prince,0,.000,20090125,3,6,3.2,0,19.7,134,6.6,1.9,10.9,5,0,1,0,.466,1858.0,1,0,3.2,3,1,.500,1,13.3,-15
1,0,0,0,0,26.8,0,0,DET,0,0,0,Kwame Brown,0,0,20090125,0,0,-6.5,1,0.0,134,13.4,0.0,0.0,0,0,1,0,0,307.0,0,0,0.0,0,0,0,0,0.0,-12
2,.190,3,119,8.1,4.4,.238,3,DET,.571,.400,27,Richard Hamilton,5,.750,20090125,1,21,1.1,1,29.0,139,4.4,0.0,42.0,5,0,0,2,.593,1850.0,0,2,0.0,11,0,.524,4,4.4,-1
4,.400,4,138,0.0,16.7,.000,0,DET,.800,0,8,Antonio McDyess,0,.000,20090125,1,5,-4.7,3,5.4,136,11.1,0.0,12.5,1,0,0,0,.680,1481.0,0,0,0.0,4,0,.800,2,5.6,+10
3,.000,2,203,0.0,7.6,.000,0,DET,1.000,0,8,Jason Maxiell,0,0,20090125,2,4,6.8,1,8.0,134,11.4,0.0,11.6,1,0,0,0,1.000,1084.0,1,0,5.4,4,0,1.000,0,15.2,-8
2,.333,3,98,0.0,16.0,.333,1,DET,.333,.000,3,Arron Afflalo,1,1.000,20090125,0,3,-10.2,2,0.0,132,8.0,0.0,10.5,0,0,0,0,.436,1031.0,1,0,5.7,1,0,.333,1,0.0,+12
2,.000,2,94,0.0,0.0,.000,0,DET,.000,0,0,Amir Johnson,0,0,20090125,2,2,-7.1,0,11.8,125,14.8,0.0,11.3,1,0,0,0,.000,555.0,2,0,21.2,0,0,.000,0,29.7,0
0,0,0,0,0,0,0,0,DET,0,0,0,Walter Herrmann,0,0,20090125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DET,0,0,0,Will Bynum,0,0,20090125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,HOU,0,0,0,Joey Dorsey,0,0,20090125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,HOU,0,0,0,Luther Head,0,0,20090125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DET,0,0,0,Alex Acker,0,0,20090125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
