threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.294,0,2,5,0,8.7,8,20090209,Rasual Butler,2,.235,11.5,0,105,17,0,5.6,0.0,.176,0,0,3,2256.0,.400,6.6,-11.6,NOH,3,1,.235,4,1,.000,6,61,3,0.0,7.5,-8,22.0
.318,0,1,7,1.000,12.0,23,20090209,Peja Stojaković,1,.341,7.9,8,97,22,2,7.3,3.1,.318,0,8,3,2181.0,.143,6.8,2.9,NOH,7,2,.451,2,1,.364,7,95,4,0.0,9.1,-4,34.7
.300,0,4,3,1.000,3.2,11,20090209,Antonio Daniels,1,.250,24.0,6,109,10,0,0.0,0.0,.200,0,6,0,2066.0,.333,0.0,-4.2,NOH,2,0,.435,2,1,.600,1,107,1,0.0,1.4,-3,16.8
.000,0,0,0,0,14.9,4,20090209,Sean Marks,0,.286,0.0,0,96,7,1,0.0,2.5,.286,0,0,3,1315.0,0,11.3,-8.4,NOH,2,0,.286,3,1,.000,6,80,3,0.0,12.9,-11,14.6
.000,2,1,0,0,13.2,0,20090209,Ryan Bowen,0,.000,11.2,0,92,1,1,0.0,3.4,.000,0,0,0,989.0,0,0.0,-0.9,NOH,0,0,.000,3,1,.000,2,39,2,9.4,5.7,-3,2.8
.625,1,2,5,1.000,10.4,11,20090209,James Posey,2,.500,14.2,3,100,8,1,17.7,1.8,.375,0,3,0,1891.0,.400,0.0,0.2,NOH,3,2,.590,4,0,.375,3,104,3,2.5,4.5,-2,16.5
.385,0,3,5,1.000,31.9,8,20090209,Devin Brown,1,.192,27.3,3,81,13,2,12.3,4.6,.154,0,3,2,1438.0,.200,6.9,-1.9,NOH,2,2,.279,1,0,.231,9,66,7,0.0,17.7,+1,31.2
.000,2,0,0,0,0.0,6,20090209,Hilton Armstrong,0,.600,0.0,0,99,5,1,0.0,3.4,.600,0,0,1,971.0,0,5.1,0.6,NOH,3,0,.600,6,0,.000,1,125,0,9.6,2.9,0,14.2
.000,0,0,0,0,0.0,6,20090209,Julian Wright,0,.750,0.0,0,102,4,1,0.0,4.2,.750,0,0,2,801.0,0,12.4,8.5,NOH,3,0,.750,1,0,.000,2,156,0,0.0,7.1,+2,13.7
.000,0,0,0,.500,13.3,3,20090209,Melvin Ely,0,1.000,0.0,1,102,1,0,0.0,0.0,1.000,0,2,0,492.0,0,0.0,-0.7,NOH,1,0,.798,1,0,2.000,1,158,1,0.0,5.7,+3,10.5
0,0,0,0,0,0,0,20090209,David West,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NOH,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20090209,Chris Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,NOH,0,0,0,0,0,0,0,0,0,0,0,0,0
.235,0,5,4,.875,25.7,22,20090209,O.J. Mayo,1,.441,28.7,7,89,17,0,22.6,0.0,.412,0,8,3,2514.0,.250,7.8,-0.2,MEM,7,6,.536,4,1,.471,16,101,13,0.0,18.0,+8,27.5
.214,1,8,3,.714,6.4,18,20090209,Mike Conley,1,.464,47.8,5,97,14,1,19.0,1.4,.429,0,7,1,2339.0,.333,2.8,4.0,MEM,6,4,.527,3,1,.500,4,108,3,2.0,4.8,+10,23.5
