drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,2402.0,9.2,38.3,0,2,102,.400,15.0,.323,9,.194,1,.387,5,.750,0,6,.000,3,5.2,LAL,29,+4,20090227,94,0.0,31,12,8.6,.323,9.8,8,0,10,1,2,9.3,2.4,Kobe Bryant
7,2386.0,8.5,17.8,2,2,94,.575,11.6,.462,6,.000,0,.462,3,1.000,0,0,0,2,11.3,LAL,18,-12,20090227,119,2.6,13,6,20.1,.462,5.9,10,0,6,1,2,11.7,0.0,Pau Gasol
2,2087.0,3.3,8.6,1,0,101,.470,27.3,.286,1,.714,0,.143,1,1.000,0,5,.400,5,0.0,LAL,7,+9,20090227,129,1.5,7,1,6.6,.429,2.3,3,2,2,1,5,4.0,0.0,Derek Fisher
3,2012.0,-1.9,10.6,1,1,100,.381,5.7,.286,2,.286,0,.286,2,1.000,0,2,.000,2,11.3,LAL,6,+9,20090227,88,1.6,7,2,10.2,.286,4.7,5,0,2,1,1,6.9,0.0,Luke Walton
12,1877.0,-0.6,25.3,0,1,92,.320,7.5,.294,2,.059,0,.235,7,.500,0,1,.000,5,5.1,LAL,12,-7,20090227,83,0.0,17,4,43.8,.294,17.6,19,0,5,1,1,28.3,0.0,Lamar Odom
2,1094.0,-20.5,19.8,1,3,96,.000,0.0,.000,0,.500,0,.000,0,0,0,3,.000,2,33.3,LAL,0,-18,20090227,0,2.9,6,0,12.5,.000,0.0,2,0,0,0,0,5.1,0.0,Trevor Ariza
0,850.0,-12.1,17.0,0,2,107,.250,13.8,.250,0,.500,0,.000,0,0,0,2,.000,0,33.3,LAL,2,-18,20090227,42,0.0,4,0,0.0,.250,0.0,0,0,1,0,1,0.0,0.0,Jordan Farmar
0,764.0,-10.5,12.6,2,1,88,.000,13.5,.000,0,.667,0,.000,0,0,0,2,.000,5,25.0,LAL,0,-19,20090227,10,8.2,3,0,0.0,.000,0.0,0,0,0,0,1,0.0,0.0,Sasha Vujačić
2,547.0,-16.0,30.7,0,2,97,.200,23.2,.200,0,.000,0,.000,3,0,0,0,0,3,28.6,LAL,2,-7,20090227,50,0.0,5,0,25.1,.200,25.9,5,0,1,0,1,25.6,0.0,Josh Powell
0,381.0,6.6,11.9,0,0,106,.798,0.0,1.000,1,.000,0,2.000,1,.500,0,0,0,1,0.0,LAL,3,+4,20090227,162,0.0,1,2,0.0,1.000,12.4,1,0,1,0,0,7.3,0.0,Didier Ilunga-Mbenga
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adam Morrison
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAL,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shannon Brown
11,2434.0,-3.1,27.1,2,5,77,.320,18.7,.235,4,.176,2,.235,1,1.000,0,3,.000,3,21.0,DEN,12,-2,20090227,65,2.6,17,4,21.3,.235,2.8,12,0,4,1,4,13.8,3.2,Carmelo Anthony
3,2403.0,8.0,24.0,1,4,93,.656,35.2,.533,4,.267,0,.267,2,1.000,0,4,.500,1,19.3,DEN,22,+9,20090227,116,1.3,15,4,5.9,.600,5.7,5,2,8,1,6,5.8,0.0,Chauncey Billups
2,1614.0,-2.7,16.0,1,2,92,.478,6.8,.333,3,.000,0,.500,0,1.000,0,0,0,2,21.5,DEN,7,-11,20090227,83,1.9,6,3,5.9,.333,0.0,2,0,2,1,1,3.5,0.0,Kenyon Martin
2,998.0,-9.3,12.3,0,0,93,.225,10.6,.250,0,.500,0,.250,0,.000,0,2,.000,4,0.0,DEN,2,-16,20090227,60,0.0,4,1,9.5,.250,0.0,2,0,1,1,1,5.6,0.0,Dahntay Jones
1,509.0,-11.4,5.4,0,1,89,0,0.0,0,0,0,1,0,0,0,0,0,0,4,100.0,DEN,0,-9,20090227,0,0.0,0,0,9.3,0,0.0,1,0,0,1,0,5.5,7.8,Johan Petro
3,1942.0,11.0,26.3,0,0,94,.598,14.1,.429,9,.571,1,.714,1,.900,0,8,.125,1,0.0,DEN,22,+25,20090227,135,0.0,14,10,7.3,.464,3.5,4,1,6,0,2,5.8,2.0,J.R. Smith
8,1697.0,13.5,18.4,1,2,72,.593,13.6,.750,5,.000,7,3.000,4,.417,0,0,0,5,17.7,DEN,11,+27,20090227,111,1.8,4,12,22.3,.750,16.2,12,0,3,0,2,19.8,16.3,Chris Andersen
6,1217.0,5.1,11.1,0,0,82,.820,0.0,.750,2,.000,0,.500,1,1.000,0,0,0,3,0.0,DEN,8,-3,20090227,172,0.0,4,2,23.3,.750,5.6,7,0,3,0,0,16.1,0.0,Nenê Hilário
2,923.0,-2.9,9.0,2,1,79,.000,10.4,.000,0,.500,0,.000,0,0,0,1,.000,1,33.3,DEN,0,+15,20090227,17,6.8,2,0,10.2,.000,0.0,2,0,0,0,1,6.1,0.0,Anthony Carter
1,663.0,-4.0,29.3,0,1,95,.500,0.0,.500,0,.500,0,.000,2,0,0,3,.000,2,14.3,DEN,6,+20,20090227,93,0.0,6,0,7.1,.500,20.7,3,0,3,0,0,12.7,0.0,Linas Kleiza
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sonny Weems
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renaldo Balkman
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LAL,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew Bynum
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LAL,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Yue
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DEN,0,0,20090227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steven Hunter
