blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.500,47.4,2.6,114,12,18,.778,22.2,5,5,0,115,6,5,20090318,2360.0,2,Chauncey Billups,10,7,0,.300,0,.550,0,1,3.6,7.7,.645,DEN,3,9,.900,1,0.0,2,.333,30.1,14.5
3.6,.667,0.0,1.4,114,0,19,.700,17.2,6,7,-1,144,1,4,20090318,2192.0,1,Nenê Hilário,9,7,0,.000,2,.667,3,0,3.3,11.6,.709,DEN,0,10,1.111,1,10.7,5,0,6.9,12.5
0.0,.522,12.8,0.0,120,2,35,1.000,35.9,12,5,+2,129,3,4,20090318,2151.0,0,Carmelo Anthony,23,8,0,.217,0,.587,1,3,5.3,8.5,.660,DEN,5,8,.348,1,3.6,3,.600,10.2,12.8
2.7,.250,0.0,2.1,112,0,4,1.000,8.7,1,4,-7,101,0,4,20090318,1465.0,1,Kenyon Martin,4,2,0,.000,1,.250,0,0,-2.7,10.0,.410,DEN,0,2,.500,1,0.0,3,0,0.0,18.7
0.0,.500,0.0,0.0,121,0,3,.500,14.5,1,1,-14,79,1,1,20090318,701.0,0,Dahntay Jones,2,1,0,.000,0,.500,0,0,-10.8,5.2,.521,DEN,0,2,1.000,1,0.0,2,0,25.8,9.8
0.0,.500,0.0,0.0,122,0,21,0,26.4,8,3,+17,119,2,2,20090318,1789.0,0,J.R. Smith,16,0,0,.625,0,.656,1,5,2.6,6.1,.656,DEN,10,0,.000,0,4.4,1,.500,11.1,7.7
2.7,.500,6.2,4.3,104,1,4,0,12.9,2,12,+9,97,3,6,20090318,1417.0,2,Renaldo Balkman,4,0,0,.000,1,.500,6,0,2.0,30.9,.500,DEN,0,0,.000,0,33.0,2,0,42.9,29.0
0.0,.000,25.7,0.0,120,3,0,0,8.7,0,2,+1,51,2,2,20090318,908.0,0,Anthony Carter,1,0,0,1.000,0,.000,0,0,-10.3,8.0,.000,DEN,1,0,.000,0,0.0,1,.000,66.7,15.1
0.0,.167,12.0,0.0,119,1,3,1.000,23.1,1,2,0,69,0,2,20090318,729.0,0,Linas Kleiza,6,1,0,.333,0,.167,0,0,-14.3,10.0,.233,DEN,2,1,.167,0,0.0,1,.000,0.0,18.8
0.0,1.000,0.0,0.0,121,0,4,1.000,11.0,1,2,+3,142,1,1,20090318,688.0,0,Chris Andersen,1,2,0,.000,0,1.000,1,0,-0.3,10.6,1.064,DEN,0,2,2.000,0,11.3,1,0,34.7,10.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20090318,0.0,0,Johan Petro,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20090318,0.0,0,Jason Hart,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0
