trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
6,.000,3,88,10.0,11.2,.333,0,NOH,.389,.333,7,Rasual Butler,3,0,20090407,2,9,-3.7,4,6.7,100,7.9,1.2,10.6,2,0,1,1,.389,2842.0,0,1,0.0,3,1,.333,0,5.0,+9
6,.273,2,90,3.9,14.3,.000,4,NOH,.364,0,20,David West,0,.667,20090407,1,22,1.6,5,16.5,95,8.1,2.5,27.7,4,0,1,0,.406,2776.0,1,1,2.0,8,2,.364,6,2.5,+14
9,.192,2,100,9.6,20.1,.000,4,NOH,.423,0,26,Chris Paul,0,.800,20090407,2,26,13.7,7,42.4,82,12.2,7.4,33.8,9,0,1,0,.461,2771.0,1,3,2.0,11,6,.423,5,5.1,+12
6,.278,1,116,4.7,17.3,.667,5,NOH,.528,.417,24,Peja Stojaković,12,1.000,20090407,0,18,9.4,6,0.0,90,8.1,4.9,23.0,0,0,1,5,.594,2760.0,0,1,0.0,7,4,.389,5,0.0,+6
1,.000,5,119,33.3,4.3,.000,0,NOH,1.000,0,4,Hilton Armstrong,0,0,20090407,0,2,-7.5,1,0.0,105,2.0,0.0,4.9,0,0,1,0,1.000,1833.0,0,1,0.0,2,0,1.000,0,0.0,+3
5,.000,4,118,40.0,17.7,.000,0,NOH,1.000,0,6,Sean Marks,0,0,20090407,2,3,-2.4,3,0.0,98,13.9,0.0,11.1,0,0,0,0,1.000,1347.0,1,2,4.2,3,0,1.000,0,10.5,+3
1,.000,3,101,0.0,13.3,.000,0,NOH,.500,0,2,Julian Wright,0,0,20090407,0,2,-9.8,1,0.0,102,6.2,0.0,10.0,0,0,0,0,.500,600.0,0,0,0.0,1,0,.500,0,0.0,-11
2,.000,0,63,33.3,28.3,.500,0,NOH,.500,.000,2,Morris Peterson,1,0,20090407,0,2,-8.4,2,0.0,97,13.3,0.0,16.0,0,0,0,0,.500,562.0,0,1,0.0,1,0,.500,0,0.0,0
1,.000,1,50,40.0,0.0,.333,0,NOH,.333,.000,2,Antonio Daniels,1,0,20090407,1,3,-24.3,0,0.0,107,9.1,0.0,36.7,0,0,0,0,.333,409.0,0,2,0.0,1,0,.333,0,17.3,-6
0,0,0,0,0,0,0,0,NOH,0,0,0,Melvin Ely,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOH,0,0,0,Devin Brown,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOH,0,0,0,Ryan Bowen,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
7,.333,2,101,16.2,16.3,.185,8,MIA,.444,.400,32,Dwyane Wade,5,.889,20090407,1,27,8.5,6,41.6,98,10.0,1.3,42.7,6,0,1,2,.517,2607.0,2,6,3.5,11,1,.407,9,3.0,-13
3,.500,4,53,19.7,10.0,.600,4,MIA,.150,.167,7,Mario Chalmers,6,.800,20090407,0,10,-14.1,3,0.0,102,5.3,1.6,21.5,0,0,1,1,.287,2126.0,0,3,0.0,1,1,.100,5,0.0,-10
7,.000,4,54,50.0,20.0,.000,0,MIA,.333,0,2,Jermaine O'Neal,0,0,20090407,1,3,-7.2,6,10.2,101,12.4,0.0,8.5,2,0,1,0,.333,2117.0,1,3,2.1,1,0,.333,0,3.8,-10
4,.000,1,42,22.2,11.0,.571,0,MIA,.143,.000,2,Jamario Moon,4,0,20090407,1,7,-4.2,3,11.3,94,7.8,5.3,14.1,2,0,1,0,.143,1923.0,0,2,0.0,1,3,.143,0,4.1,-4
1,.000,2,136,0.0,12.8,.333,0,MIA,.667,.000,4,Yakhouba Diawara,1,0,20090407,0,3,-0.3,1,0.0,104,6.8,0.0,16.4,0,0,1,0,.667,550.0,0,0,0.0,2,0,.667,0,0.0,-3
9,.438,1,137,5.0,19.7,.125,6,MIA,.594,.500,25,Michael Beasley,2,.857,20090407,1,16,7.5,8,10.6,103,11.8,0.0,21.1,2,0,0,1,.655,2865.0,0,1,0.0,9,0,.563,7,2.8,+1
6,.000,2,148,16.7,16.3,.800,0,MIA,.900,.750,9,James Jones,4,0,20090407,1,5,6.3,5,0.0,98,10.3,1.6,8.3,0,0,0,3,.900,2172.0,1,1,2.1,3,1,.600,0,3.7,+2
10,.200,2,98,15.5,25.0,.000,0,MIA,.400,0,4,Jamaal Magloire,0,.000,20090407,6,5,-2.6,4,0.0,95,33.1,3.0,17.1,0,0,0,0,.368,1131.0,0,1,0.0,2,1,.400,1,42.2,+1
1,.000,1,76,0.0,17.3,.333,0,MIA,.333,.000,2,Chris Quinn,1,0,20090407,0,3,-10.9,1,0.0,103,9.1,0.0,22.1,0,0,0,0,.333,409.0,0,0,0.0,1,0,.333,0,0.0,+6
0,0,0,0,0,0,0,0,MIA,0,0,0,Dorell Wright,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Mark Blount,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Joel Anthony,0,0,20090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOH,0,0,0,Tyson Chandler,0,0,20090407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,NOH,0,0,0,James Posey,0,0,20090407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Daequan Cook,0,0,20090407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Udonis Haslem,0,0,20090407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MIA,0,0,0,Luther Head,0,0,20090407,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0
