drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,2207.0,5.4,22.2,1,1,121,.720,4.9,.538,1,.615,0,.154,1,.500,0,8,.625,2,6.7,NJN,20,+4,20090410,127,1.6,13,2,12.2,.731,3.3,4,5,7,1,1,7.2,0.0,Ryan Anderson
5,1943.0,1.9,10.0,0,0,123,.510,44.9,.400,2,.400,0,.400,0,1.000,0,2,.000,3,0.0,NJN,6,+3,20090410,148,0.0,5,2,23.2,.400,0.0,5,0,2,1,10,10.3,0.0,Vince Carter
5,1848.0,0.6,21.7,0,0,114,.656,0.0,.600,4,.000,3,.500,2,.800,0,0,0,6,0.0,NJN,16,-2,20090410,137,0.0,10,5,24.4,.600,7.8,7,0,6,1,0,15.2,8.3,Brook Lopez
0,1548.0,6.2,23.4,0,0,123,.727,16.2,.636,0,.364,1,.000,0,0,0,4,.500,3,0.0,NJN,16,-19,20090410,140,0.0,11,0,0.0,.727,0.0,0,2,7,1,2,0.0,3.3,Keyon Dooling
2,1233.0,-21.9,18.4,0,1,124,.085,13.0,.000,1,.200,0,.400,0,.500,0,1,.000,1,14.5,NJN,1,-11,20090410,33,0.0,5,2,14.6,.000,0.0,2,0,0,1,2,6.5,0.0,Devin Harris
1,1850.0,-1.0,30.0,0,2,120,.538,26.4,.571,0,.000,2,.143,0,.000,0,0,0,2,11.8,NJN,16,+5,20090410,98,0.0,14,2,4.9,.571,0.0,1,0,8,0,4,2.2,5.6,Chris Douglas-Roberts
1,1331.0,-18.6,24.7,1,0,120,.200,0.0,.200,0,.300,0,.000,0,0,0,3,.000,1,0.0,NJN,4,-2,20090410,41,2.6,10,0,6.8,.200,0.0,1,0,2,0,0,3.0,0.0,Jarvis Hayes
2,1092.0,3.1,9.0,0,0,124,1.000,0.0,.667,0,1.000,0,.000,1,0,0,3,.667,1,0.0,NJN,6,-4,20090410,185,0.0,3,0,16.5,1.000,6.6,3,2,2,0,0,11.0,0.0,Bobby Simmons
4,908.0,5.9,10.4,0,0,121,.694,19.3,.500,2,.000,0,1.000,1,1.000,0,0,0,1,0.0,NJN,4,-4,20090410,167,0.0,2,2,39.6,.500,7.9,5,0,1,0,2,22.0,0.0,Josh Boone
3,440.0,0.5,29.0,0,0,119,.515,0.0,.333,1,1.000,0,.667,0,.500,0,3,.333,0,0.0,NJN,4,-5,20090410,100,0.0,3,2,61.4,.500,0.0,3,1,1,0,0,27.3,0.0,Yi Jianlian
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJN,0,0,20090410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trenton Hassell
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJN,0,0,20090410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maurice Ager
3,1924.0,2.2,17.6,0,0,117,.465,40.2,.333,3,.222,0,.444,0,.750,0,2,.500,1,0.0,DET,10,+4,20090410,126,0.0,9,4,11.2,.389,0.0,3,1,3,1,9,6.2,0.0,Richard Hamilton
3,1700.0,-3.4,12.8,0,0,117,.581,0.0,.500,2,.000,0,.333,2,1.000,0,0,0,1,0.0,DET,8,0,20090410,132,0.0,6,2,12.7,.500,10.6,5,0,3,1,0,11.8,0.0,Tayshaun Prince
4,1697.0,9.7,20.4,1,1,105,.750,6.1,.600,0,.600,2,.000,0,0,0,6,.500,2,9.1,DET,15,+3,20090410,126,2.1,10,0,17.0,.750,0.0,4,3,6,1,1,9.4,6.5,Rasheed Wallace
1,1689.0,-2.0,22.0,0,2,118,.512,41.5,.375,4,.250,0,.500,1,1.000,0,2,.000,3,17.0,DET,10,-3,20090410,116,0.0,8,4,4.3,.375,5.3,2,0,3,1,8,4.7,0.0,Rodney Stuckey
5,1512.0,1.5,18.5,0,1,115,.698,13.4,.714,1,.000,0,.286,0,.500,0,0,0,3,11.3,DET,11,+1,20090410,124,0.0,7,2,23.8,.714,0.0,5,0,5,1,2,13.2,0.0,Antonio McDyess
1,1671.0,-2.1,35.6,0,2,117,.592,28.5,.500,2,.188,0,.125,0,1.000,0,3,.667,5,10.6,DET,20,+9,20090410,110,0.0,16,2,4.3,.563,0.0,1,2,8,0,4,2.4,0.0,Will Bynum
3,1439.0,1.5,21.4,1,1,107,.628,0.0,.714,1,.000,1,.571,3,.250,0,0,0,1,10.2,DET,11,+5,20090410,118,2.4,7,4,15.0,.714,18.8,6,0,5,0,0,16.7,3.8,Jason Maxiell
