blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.400,26.3,0.0,123,4,13,1.000,15.6,4,3,-7,139,0,1,20090415,1977.0,0,Chauncey Billups,10,3,0,.400,0,.500,2,2,6.1,5.1,.574,DEN,4,3,.300,1,5.6,0,.500,0.0,4.4
0.0,.167,7.0,1.8,116,1,12,1.000,34.6,3,6,-9,66,2,5,20090415,1777.0,1,Carmelo Anthony,18,6,0,.167,0,.167,1,0,-9.0,11.4,.291,DEN,3,6,.333,1,3.1,3,.000,8.8,24.6
3.1,.556,8.2,3.6,108,1,10,0,15.3,5,9,-8,111,1,7,20090415,1770.0,2,Nenê Hilário,9,0,0,.000,1,.556,2,0,6.4,17.2,.556,DEN,0,0,.000,1,6.3,1,0,10.0,34.5
0.0,.667,0.0,2.0,115,0,10,1.000,14.6,4,6,+2,115,2,5,20090415,1650.0,1,Kenyon Martin,6,2,0,.167,0,.667,1,0,-0.2,12.3,.727,DEN,1,2,.333,1,3.4,4,.000,22.5,26.4
0.0,.250,0.0,5.5,110,0,4,0,20.7,2,2,-8,54,1,1,20090415,1181.0,2,Dahntay Jones,8,0,0,.000,0,.250,1,0,-7.9,5.7,.250,DEN,0,0,.000,1,4.7,3,0,11.1,7.4
0.0,.400,0.0,0.0,123,0,10,1.000,19.9,4,2,-35,109,0,1,20090415,1422.0,0,Linas Kleiza,10,1,0,.300,0,.450,1,1,-1.9,4.8,.479,DEN,3,1,.100,0,3.9,3,.333,0.0,6.1
0.0,.286,10.0,0.0,123,1,5,0,17.7,2,2,-13,77,1,1,20090415,1231.0,0,J.R. Smith,7,0,0,.429,0,.357,1,1,-6.3,5.5,.357,DEN,3,0,.000,0,4.5,1,.333,12.5,7.1
13.5,.333,0.0,0.0,109,0,4,1.000,15.2,1,4,-25,64,3,3,20090415,1228.0,0,Chris Andersen,3,2,0,.000,3,.333,1,0,-5.7,11.0,.515,DEN,0,2,.667,0,4.5,2,0,43.6,21.3
0.0,.167,0.0,0.0,124,0,3,0,25.0,1,3,-34,43,4,0,20090415,1086.0,0,Anthony Carter,6,0,0,.333,0,.250,3,1,-18.2,9.4,.250,DEN,2,0,.000,0,15.3,2,.500,40.0,0.0
0.0,.333,0.0,7.3,107,0,2,0,18.5,1,0,-5,75,0,0,20090415,440.0,1,Renaldo Balkman,3,0,0,.000,0,.333,0,0,0.7,0.0,.333,DEN,0,0,.000,0,0.0,0,0,0.0,0.0
0.0,.000,31.4,0.0,115,1,1,.500,32.1,0,3,+1,48,1,2,20090415,328.0,0,Johan Petro,2,1,0,.000,0,.000,1,0,-9.2,31.0,.174,DEN,0,2,1.000,0,16.9,0,0,25.8,53.2
0.0,1.000,49.7,0.0,124,1,2,0,17.5,1,0,+1,105,1,0,20090415,310.0,0,Jason Hart,1,0,0,.000,0,1.000,0,0,-3.3,0.0,1.000,DEN,0,0,.000,0,0.0,1,0,50.0,0.0
0.0,.400,19.1,3.5,82,4,8,0,20.7,4,5,+11,78,3,5,20090415,1845.0,2,LaMarcus Aldridge,10,0,0,.100,0,.400,0,0,-1.5,9.2,.400,POR,1,0,.000,1,0.0,0,.000,23.1,15.0
