stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.3,0.0,2,2414.0,0,6,.500,.504,2,0,1.000,.125,6,17,16,.375,2,1,1,1,+1,.375,.469,Leandro Barbosa,3.6,0.0,2,PHO,116,20091028,-1.8,7.1,0,1,115,19.0,0.0,0,3,1.7
0.0,36.6,4,2401.0,1,4,0,.769,0,0,.800,1.667,0,16,6,.667,10,4,0,1,0,.000,.667,Amar'e Stoudemire,14.5,3.2,8,PHO,115,20091028,-7.0,0.0,1,5,98,18.6,1.9,6,0,8.4
0.0,14.9,2,2230.0,0,9,.333,.698,8,0,1.000,.333,3,24,15,.600,5,1,0,1,-7,.200,.633,Steve Nash,3.9,0.0,5,PHO,119,20091028,3.5,35.2,0,1,133,24.6,0.0,3,1,1.8
3.1,5.9,4,1980.0,0,8,1.000,.598,2,0,1.000,.133,1,19,15,.533,2,10,2,1,-12,.067,.567,Grant Hill,44.1,11.5,2,PHO,107,20091028,5.7,9.9,3,13,128,23.2,0.0,1,1,26.6
2.0,0.0,4,1532.0,1,5,.333,.466,2,0,.500,.167,3,12,12,.417,2,3,1,1,-3,.250,.458,Channing Frye,17.1,4.9,1,PHO,109,20091028,0.0,11.9,1,4,111,22.9,2.9,0,1,10.6
2.2,0.0,1,1383.0,1,2,.500,.773,2,0,.500,.667,2,6,3,.667,2,4,1,0,+12,.667,.833,Jared Dudley,25.2,16.4,1,PHO,109,20091028,11.1,11.3,3,7,177,7.6,3.3,0,1,20.5
2.5,10.0,0,1221.0,1,3,0,.333,0,0,0,.000,0,6,9,.333,0,3,1,0,+11,.000,.333,Earl Clark,21.4,12.4,0,PHO,109,20091028,-6.0,0.0,2,5,77,22.3,3.7,1,0,16.6
0.0,20.5,0,650.0,0,3,0,.773,3,0,.000,.667,0,6,3,1.000,2,0,0,0,+9,.000,1.000,Goran Dragić,0.0,0.0,0,PHO,120,20091028,6.1,48.0,0,0,131,20.4,0.0,1,0,0.0
0.0,51.5,3,589.0,1,1,0,.798,0,0,.500,2.000,0,3,1,1.000,2,0,0,0,-1,.000,1.000,Lou Amundson,0.0,0.0,1,PHO,110,20091028,-11.9,0.0,0,0,67,17.9,7.6,2,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alando Tucker,0,0,0,PHO,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Richardson,0,0,0,PHO,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jarron Collins,0,0,0,PHO,0,20091028,0,0,0,0,0,0,0,0,0,0
0.0,21.9,5,2508.0,2,10,0,.615,0,0,1.000,.118,0,22,17,.588,2,8,0,1,+6,.000,.588,Chris Kaman,24.2,3.5,2,LAC,116,20091028,-7.9,0.0,1,9,92,25.3,3.5,5,0,14.6
1.2,11.1,1,2455.0,0,6,.333,.498,6,0,.429,.538,3,16,13,.462,7,3,1,1,+5,.231,.500,Eric Gordon,9.3,7.1,3,LAC,120,20091028,-2.7,19.6,2,5,107,20.4,0.0,2,1,8.3
3.9,10.2,2,2366.0,3,10,.000,.652,3,0,.500,.400,1,23,15,.667,6,9,3,1,+2,.067,.667,Marcus Camby,28.8,7.4,3,LAC,106,20091028,7.9,11.8,2,11,123,23.0,5.6,2,0,18.9
6.8,19.0,4,2239.0,2,4,.400,.470,12,0,.500,.364,5,12,11,.364,4,2,5,1,+12,.455,.455,Baron Davis,6.8,0.0,2,LAC,105,20091028,7.3,40.8,0,2,106,19.5,4.0,3,2,3.6
0.0,0.0,4,1492.0,0,4,0,.605,1,0,1.000,.143,0,9,7,.571,1,2,0,1,-5,.000,.571,Al Thornton,10.2,11.7,1,LAC,122,20091028,-4.0,5.5,2,4,136,13.8,0.0,0,0,10.9
0.0,8.1,2,1941.0,0,7,.750,.839,4,0,.667,.300,4,19,10,.700,3,1,0,0,-7,.400,.850,Rasual Butler,3.9,0.0,2,LAC,124,20091028,7.0,18.2,0,1,153,17.6,0.0,1,3,2.1
0.0,25.8,3,641.0,0,2,0,.868,1,0,.500,1.000,0,5,2,1.000,2,0,0,0,-14,.000,1.000,Sebastian Telfair,0.0,0.0,1,LAC,124,20091028,-7.6,13.2,0,0,123,16.8,0.0,1,0,0.0
0.0,25.8,2,553.0,0,0,0,.174,0,0,.500,1.000,0,1,2,.000,2,2,0,0,-4,.000,.000,Craig Smith,27.4,0.0,1,LAC,118,20091028,-24.7,0.0,0,2,29,19.5,0.0,1,0,14.7
0.0,0,1,194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8,0,0,Kareem Rush,39.1,0.0,0,LAC,115,20091028,-10.0,0.0,0,1,0,0.0,0.0,0,0,20.9
0.0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3,0,0,Steve Novak,0.0,0.0,0,LAC,125,20091028,-6.3,0.0,0,0,0,0.0,0.0,0,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeAndre Jordan,0,0,0,LAC,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ricky Davis,0,0,0,LAC,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Taylor Griffin,0,0,0,PHO,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Robin Lopez,0,0,0,PHO,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mardy Collins,0,0,0,LAC,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Blake Griffin,0,0,0,LAC,0,20091028,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brian Skinner,0,0,0,LAC,0,20091028,0,0,0,0,0,0,0,0,0,0
