player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Rodney Stuckey,2652.0,.334,.342,.211,.053,5.4,10.3,7.9,35.5,1.2,0.0,17.1,25.0,78,112,-5.1,DET,1,0,20091031,6,19,.316,1,4,.250,0,1,.000,2,4,6,8,1,0,4,3,13,-3
Tayshaun Prince,2429.0,.482,.500,.083,.083,3.0,5.6,4.3,14.9,0.0,0.0,19.4,17.9,87,117,-5.6,DET,1,0,20091031,6,12,.500,0,1,.000,0,1,.000,1,2,3,3,0,0,3,4,12,-7
Ben Wallace,2257.0,.840,.667,.000,1.333,16.0,15.2,15.6,4.5,1.5,2.2,0.0,6.0,190,108,4.8,DET,1,0,20091031,2,3,.667,0,0,0,4,4,1.000,5,5,10,1,1,1,0,5,8,+4
Ben Gordon,2236.0,.686,.567,.333,.600,3.2,3.1,3.1,18.7,4.4,0.0,17.4,29.0,121,109,11.8,DET,1,0,20091031,8,15,.533,1,5,.200,9,9,1.000,1,1,2,3,3,0,4,0,26,-13
Charlie Villanueva,1419.0,.676,.625,.625,.250,0.0,29.0,14.9,0.0,0.0,0.0,18.4,21.6,108,105,-0.7,DET,1,0,20091031,4,8,.500,2,5,.400,2,2,1.000,0,6,6,0,0,0,2,5,12,-2
Will Bynum,1212.0,.388,.333,.083,.167,0.0,5.7,2.9,22.1,0.0,0.0,13.4,34.7,78,117,-9.6,DET,0,0,20091031,4,12,.333,0,1,.000,2,2,1.000,0,1,1,2,0,0,2,1,10,-14
Jason Maxiell,1066.0,.532,.500,.000,2.000,0.0,19.3,9.9,0.0,0.0,9.2,34.7,15.3,69,105,-6.6,DET,0,0,20091031,1,2,.500,0,0,0,2,4,.500,0,3,3,0,0,2,2,4,4,-11
Kwame Brown,759.0,.000,0,0,0,19.0,18.1,18.5,0.0,4.3,0.0,77.3,14.4,25,100,-17.5,DET,0,0,20091031,0,0,0,0,0,0,0,2,.000,2,2,4,0,1,0,3,4,0,-5
Jonas Jerebko,371.0,0,0,0,0,0.0,37.0,18.9,0.0,0.0,0.0,0,0.0,0,100,-7.9,DET,0,0,20091031,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,-4
Chris Wilcox,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20091031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
