drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
3,2307.0,0.4,23.2,2,4,106,.560,10.2,.462,6,.077,1,.538,0,.857,0,1,.000,3,19.9,MEM,18,-21,20091111,94,2.6,13,7,8.3,.462,0.0,3,0,6,1,2,4.2,1.9,Rudy Gay
8,2125.0,1.1,21.3,1,2,107,.600,0.0,.600,0,.000,0,.000,2,0,0,0,0,3,11.8,MEM,18,-8,20091111,104,1.4,15,0,24.1,.600,6.2,10,0,9,1,0,15.2,0.0,Zach Randolph
3,1888.0,1.7,24.6,0,4,113,.707,7.7,.615,1,.231,0,.077,0,1.000,0,3,.667,0,22.9,MEM,19,-20,20091111,101,0.0,13,1,10.2,.692,0.0,3,2,8,1,1,5.1,0.0,O.J. Mayo
5,1848.0,-3.7,11.3,2,0,98,.190,5.1,.143,1,.000,3,.286,2,.500,0,0,0,5,0.0,MEM,3,-20,20091111,59,3.2,7,2,17.3,.143,7.1,7,0,1,1,1,12.3,7.2,Marc Gasol
3,1033.0,-12.3,20.6,1,2,105,.167,28.6,.167,0,.167,0,.000,0,0,0,1,.000,2,25.0,MEM,2,-17,20091111,41,2.9,6,0,18.6,.167,0.0,3,0,1,1,3,9.4,0.0,Mike Conley
3,1847.0,-5.7,18.6,0,1,113,.295,39.9,.273,1,.091,0,.182,0,.500,0,1,.000,1,7.8,MEM,7,-8,20091111,76,0.0,11,2,10.4,.273,0.0,3,0,3,0,7,5.3,0.0,Marcus Williams
6,1264.0,-4.3,20.3,0,2,106,.393,0.0,.400,2,.000,1,1.200,4,.333,0,0,0,0,20.7,MEM,6,-11,20091111,77,0.0,5,6,30.4,.400,20.7,10,0,2,0,0,25.6,3.5,Steven Hunter
1,1033.0,-3.4,17.7,1,0,108,.291,9.5,.167,2,.167,0,.333,0,1.000,0,1,.000,0,0.0,MEM,4,-3,20091111,71,2.9,6,2,6.2,.167,0.0,1,0,1,0,1,3.1,0.0,Sam Young
1,889.0,-13.8,25.3,0,3,109,.184,22.5,.200,0,.000,1,.200,1,.000,0,0,0,2,35.5,MEM,2,-13,20091111,39,0.0,5,1,7.2,.200,7.4,2,0,1,0,2,7.3,5.0,DeMarre Carroll
1,166.0,-16.2,0.0,0,0,103,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,MEM,0,-4,20091111,0,0.0,0,0,38.6,0,0.0,1,0,0,0,0,19.5,0.0,Hamed Haddadi
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hasheem Thabeet
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen Iverson
5,2037.0,3.4,25.1,2,1,82,.464,29.0,.412,2,.471,0,.176,0,.667,0,8,.125,3,5.2,HOU,17,+18,20091111,105,2.9,17,3,16.1,.441,0.0,5,1,7,1,7,7.9,0.0,Trevor Ariza
10,1982.0,7.0,26.5,3,4,74,.693,9.9,.667,2,.000,0,.133,5,1.000,0,0,0,5,20.1,HOU,22,+10,20091111,115,4.5,15,2,33.0,.667,16.1,15,0,10,1,2,24.5,0.0,Luis Scola
1,1623.0,9.5,5.6,2,0,80,.581,16.8,.333,1,1.000,2,.333,0,1.000,0,3,.333,1,0.0,HOU,4,+9,20091111,148,3.7,3,1,4.0,.500,0.0,1,1,1,1,4,2.0,4.8,Shane Battier
0,1550.0,-12.1,22.7,0,2,92,.353,14.5,.300,2,.300,0,.300,0,.667,0,3,.000,1,15.0,HOU,8,+7,20091111,74,0.0,10,3,0.0,.300,0.0,0,0,3,1,3,0.0,0.0,Aaron Brooks
7,1440.0,5.9,7.3,0,0,79,.750,5.3,.750,0,.000,2,.000,1,0,0,0,0,1,0.0,HOU,6,+15,20091111,158,0.0,4,0,31.8,.750,4.4,8,0,3,1,1,18.0,5.4,Chuck Hayes
4,1749.0,8.9,14.3,2,3,81,.621,42.2,.500,1,.333,0,.167,4,1.000,0,2,.500,3,31.8,HOU,8,+17,20091111,124,3.4,6,1,15.0,.583,14.6,8,1,3,0,10,14.8,0.0,Kyle Lowry
4,1498.0,10.1,27.8,0,1,79,.678,0.0,.692,2,.000,4,.308,0,.500,0,0,0,1,6.3,HOU,20,+16,20091111,119,0.0,13,4,17.5,.692,0.0,4,0,9,0,0,8.6,10.4,Carl Landry
1,1454.0,7.0,20.0,0,1,91,.750,12.3,.600,0,.400,0,.000,0,0,0,4,.750,1,9.1,HOU,15,+20,20091111,130,0.0,10,0,4.5,.750,0.0,1,3,6,0,2,2.2,0.0,Chase Budinger
0,422.0,-25.4,25.0,0,1,90,.333,0.0,.333,0,.333,0,.000,0,0,0,1,.000,3,25.0,HOU,2,+3,20091111,49,0.0,3,0,0.0,.333,0.0,0,0,1,0,0,0.0,0.0,David Andersen
0,227.0,-15.3,34.9,0,0,93,.333,0.0,.333,0,.000,0,.000,0,0,0,0,0,0,0.0,HOU,2,+4,20091111,69,0.0,3,0,0.0,.333,0.0,0,0,1,0,0,0.0,0.0,Jermaine Taylor
2,227.0,-10.1,33.5,0,0,61,.000,28.8,.000,0,.000,1,1.000,1,.000,0,0,0,1,0.0,HOU,0,+4,20091111,43,0.0,2,2,57.7,.000,28.2,3,0,0,0,1,42.8,17.1,Pops Mensah-Bonsu
1,191.0,-55.0,41.5,0,1,80,.000,0.0,.000,0,1.000,0,.000,0,0,0,2,.000,2,33.3,HOU,0,+2,20091111,0,0.0,2,0,34.3,.000,0.0,1,0,0,0,0,16.9,0.0,Brian Cook
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MEM,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darrell Arthur
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HOU,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joey Dorsey
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HOU,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracy McGrady
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HOU,0,0,20091111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yao Ming
