player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
LeBron James,2329.0,.589,.521,.167,.458,3.3,21.6,12.7,45.2,1.5,0.0,14.8,43.9,115,102,5.5,CLE,1,0,20091125,12,24,.500,1,4,.250,9,11,.818,1,7,8,7,1,0,5,2,34,+12
Mo Williams,2312.0,.504,.462,.538,.154,0.0,6.2,3.2,35.9,3.0,1.9,17.8,22.1,107,105,2.7,CLE,1,0,20091125,5,13,.385,2,7,.286,2,2,1.000,0,2,2,8,2,1,3,2,14,+3
Anthony Parker,1706.0,.962,1.000,.400,.800,4.4,8.4,6.5,6.2,0.0,0.0,30.7,17.3,124,111,1.5,CLE,1,0,20091125,4,5,.800,2,2,1.000,3,4,.750,1,2,3,1,0,0,3,3,13,+1
J.J. Hickson,1593.0,.380,.286,.000,.714,19.0,13.6,16.2,0.0,0.0,2.8,9.8,19.3,96,107,-7.5,CLE,1,0,20091125,2,7,.286,0,0,0,3,5,.600,4,3,7,0,0,1,1,1,7,+12
Zydrunas Ilgauskas,1492.0,.250,.250,.000,.000,5.1,14.5,9.9,0.0,0.0,3.0,0.0,8.1,74,106,-9.5,CLE,1,0,20091125,1,4,.250,0,0,0,0,0,0,1,3,4,0,0,1,0,5,2,-2
Anderson Varejão,2002.0,.463,.333,.000,1.000,7.6,21.6,14.8,4.4,3.4,4.4,31.6,9.5,89,95,-0.2,CLE,0,0,20091125,1,3,.333,0,0,0,2,3,.667,2,6,8,1,2,2,2,3,4,+9
Jamario Moon,1668.0,.870,.900,.200,.600,9.1,4.3,6.6,6.4,0.0,5.3,0.0,11.4,183,110,9.0,CLE,0,0,20091125,4,5,.800,1,1,1.000,2,3,.667,2,1,3,1,0,2,0,3,11,+9
Daniel Gibson,1299.0,.929,.929,.429,.000,0.0,0.0,0.0,19.4,2.6,0.0,12.5,18.6,155,109,11.1,CLE,0,0,20091125,5,7,.714,3,3,1.000,0,0,0,0,0,0,2,1,0,1,4,13,+6
Jawad Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delonte West,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Jackson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Green,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Stuckey,2372.0,.640,.531,.125,.500,3.0,16.0,9.3,0.0,2.9,0.0,9.3,24.5,133,113,7.9,DET,1,0,20091125,8,16,.500,1,2,.500,8,8,1.000,1,5,6,0,2,0,2,2,25,-4
Charlie Villanueva,2036.0,.567,.567,.333,.267,3.5,26.1,14.5,6.7,1.7,5.5,10.7,24.9,116,109,7.3,DET,1,0,20091125,7,15,.467,3,5,.600,2,4,.500,1,7,8,1,1,2,2,4,19,-9
Ben Wallace,1845.0,.463,.333,.000,1.000,11.7,24.6,18.0,0.0,0.0,6.1,0.0,12.6,122,113,1.1,DET,1,0,20091125,2,6,.333,0,0,0,4,6,.667,3,6,9,0,0,2,0,1,8,-4
Jonas Jerebko,1802.0,.500,.500,.250,.000,20.0,4.2,12.3,5.7,1.9,0.0,50.0,12.0,73,118,-9.1,DET,1,0,20091125,2,4,.500,0,1,.000,0,0,0,5,1,6,1,1,0,4,6,4,-4
Ben Gordon,1057.0,.541,.571,.000,.429,0.0,7.2,3.5,54.2,0.0,0.0,26.5,28.9,95,122,-1.3,DET,1,0,20091125,4,7,.571,0,0,0,1,3,.333,0,1,1,4,0,0,3,1,9,-11
Will Bynum,1887.0,.136,.077,.154,.308,0.0,0.0,0.0,25.9,1.8,0.0,16.9,25.4,46,120,-17.9,DET,0,0,20091125,1,13,.077,0,2,.000,2,4,.500,0,0,0,5,1,0,3,3,4,-12
Austin Daye,1293.0,.563,.563,.375,.000,0.0,17.6,8.6,0.0,0.0,4.4,0.0,16.7,131,116,2.7,DET,0,0,20091125,4,8,.500,1,3,.333,0,0,0,0,3,3,0,0,1,0,2,9,+5
Jason Maxiell,980.0,.654,.600,.000,1.200,29.4,0.0,15.1,0.0,0.0,0.0,0.0,21.1,154,124,7.5,DET,0,0,20091125,3,5,.600,0,0,0,4,6,.667,4,0,4,0,0,0,0,1,10,-4
Kwame Brown,832.0,.000,.000,.000,.000,17.3,27.3,22.2,11.2,0.0,6.8,0.0,6.5,73,112,0.1,DET,0,0,20091125,0,2,.000,0,0,0,0,0,0,2,3,5,1,0,1,0,0,0,0
DaJuan Summers,292.0,.000,.000,.333,.000,0.0,26.0,12.6,0.0,0.0,0.0,0.0,27.7,0,116,-32.5,DET,0,0,20091125,0,3,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,0,-7
Chris Wilcox,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,125,-6.0,DET,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chucky Atkins,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coby Karl,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaquille O'Neal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Powe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,1,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Hamilton,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayshaun Prince,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,1,20091125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
