stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.2,6.2,1,2523.0,0,13,.167,.541,1,0,.750,.296,6,33,27,.481,8,3,1,1,+1,.222,.500,Brandon Roy,8.6,2.3,6,POR,106,20091219,8.6,8.1,1,4,107,36.1,0.0,2,1,5.1
4.7,22.8,2,1996.0,0,5,.000,.592,1,0,.750,.800,1,16,10,.500,8,2,3,1,0,.100,.500,Andre Miller,7.2,5.9,6,POR,99,20091219,4.2,6.6,2,4,99,24.6,0.0,4,0,6.5
3.3,7.8,2,1910.0,1,1,.000,.084,1,0,.000,.182,6,2,11,.091,2,6,2,1,-7,.545,.091,Martell Webster,22.6,3.1,0,POR,95,20091219,-8.5,5.5,1,7,25,18.9,3.1,1,0,11.9
5.1,12.7,4,1842.0,0,1,0,.218,1,0,.500,.333,0,3,6,.167,2,0,3,1,-10,.000,.167,LaMarcus Aldridge,0.0,3.2,1,POR,101,20091219,-4.9,5.7,1,1,52,12.0,0.0,1,0,1.8
1.8,0.0,4,1733.0,1,2,0,1.000,0,0,0,.000,0,4,2,1.000,0,8,1,1,-2,.000,1.000,Joel Przybilla,33.2,6.8,0,POR,93,20091219,4.0,0.0,2,10,202,3.2,3.4,0,0,18.7
0.0,11.9,2,1808.0,0,3,.000,.339,1,0,1.000,.308,2,10,13,.231,4,3,0,0,-11,.154,.231,Jerryd Bayless,11.9,3.3,4,POR,108,20091219,-8.7,6.6,1,4,69,26.0,0.0,2,0,7.2
2.0,13.7,4,1596.0,0,3,.667,.870,1,0,1.000,.600,3,11,5,.600,3,2,1,0,-13,.600,.800,Steve Blake,9.0,0.0,3,POR,104,20091219,5.4,7.7,0,2,154,12.9,0.0,1,2,4.1
0.0,53.2,2,598.0,0,0,0,1.136,1,0,1.000,0,0,2,0,0,2,2,0,0,-1,0,0,Juwan Howard,24.1,0.0,2,POR,102,20091219,-0.6,16.6,0,2,117,8.8,0.0,1,0,10.8
0.0,0.0,0,394.0,0,1,0,.250,0,0,0,.000,0,2,4,.250,0,1,0,0,-2,.000,.250,Dante Cunningham,18.3,0.0,0,POR,105,20091219,-10.5,0.0,0,1,53,28.5,0.0,0,0,8.2
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Tolliver,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rudy Fernández,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeff Ayres,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
2.5,27.3,4,2491.0,4,4,0,.564,0,0,.667,.750,0,12,8,.500,6,17,2,1,+8,.000,.500,Dwight Howard,40.1,8.7,4,ORL,79,20091219,2.7,0.0,3,20,92,15.9,7.7,4,0,26.0
1.5,10.2,4,2091.0,0,1,.000,.257,3,0,.875,.571,3,9,14,.071,8,6,1,1,-3,.214,.071,Vince Carter,16.9,3.4,7,ORL,94,20091219,-9.8,13.5,1,7,69,25.3,0.0,2,0,10.8
3.1,29.8,1,2036.0,0,5,.400,.638,1,0,.750,.400,5,15,10,.500,4,5,2,1,0,.500,.600,Rashard Lewis,14.4,3.5,3,ORL,91,20091219,2.5,5.7,1,6,94,22.3,0.0,5,2,9.5
0.0,14.3,5,1625.0,0,2,.200,.417,1,0,0,.000,5,5,6,.333,0,3,0,1,+7,.833,.417,Mickaël Piétrus,10.9,0.0,0,ORL,98,20091219,-5.8,6.2,0,3,86,11.7,0.0,1,1,6.0
2.3,12.5,2,1365.0,0,5,.750,.929,2,0,0,.000,4,13,7,.714,0,1,1,1,+3,.571,.929,Jason Williams,4.3,0.0,0,ORL,96,20091219,13.4,19.7,0,1,164,15.9,0.0,1,3,2.4
8.3,21.6,2,1515.0,0,3,.250,.414,3,0,1.000,.200,4,9,10,.300,2,6,4,0,+6,.400,.350,Anthony Johnson,23.3,0.0,2,ORL,78,20091219,4.6,21.7,0,6,82,24.8,0.0,3,1,12.8
0.0,9.6,2,1409.0,0,5,.500,.636,2,0,.000,.111,4,12,9,.556,1,0,0,0,+9,.444,.667,J.J. Redick,0.0,0.0,0,ORL,101,20091219,4.2,18.8,0,0,125,20.0,0.0,1,2,0.0
4.0,16.7,2,784.0,1,4,.000,.800,2,0,0,.000,1,8,5,.800,0,1,1,0,+9,.200,.800,Matt Barnes,7.5,27.6,0,ORL,86,20091219,22.2,42.5,3,4,149,20.7,6.1,1,0,16.5
0.0,0.0,0,695.0,0,2,.000,.427,0,0,.600,.833,1,7,6,.333,5,1,0,0,+5,.167,.333,Ryan Anderson,8.5,31.1,3,ORL,99,20091219,1.0,0.0,3,4,112,31.9,0.0,0,0,18.6
0.0,50.0,1,389.0,1,1,0,1.000,0,0,0,.000,0,2,1,1.000,0,1,0,0,+1,.000,1.000,Marcin Gortat,15.1,37.0,0,ORL,87,20091219,4.6,0.0,2,3,110,13.9,12.3,1,0,25.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adonal Foyle,0,0,0,ORL,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Bass,0,0,0,ORL,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicolas Batum,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Patty Mills,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Greg Oden,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Travis Outlaw,0,0,0,POR,0,20091219,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jameer Nelson,0,0,0,ORL,0,20091219,0,0,0,0,0,0,0,0,0,0
