player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Rudy Gay,2573.0,.650,.553,.105,.579,3.2,20.8,12.9,14.1,3.4,1.7,7.7,25.7,134,107,7.9,MEM,1,0,20091230,10,19,.526,1,2,.500,10,11,.909,1,8,9,4,3,1,2,1,31,+17
Mike Conley,2305.0,.468,.462,.231,.154,0.0,0.0,0.0,23.8,3.8,0.0,6.7,16.5,111,114,-0.8,MEM,1,0,20091230,5,13,.385,2,3,.667,1,2,.500,0,0,0,7,3,0,1,2,13,+2
Zach Randolph,2214.0,.579,.545,.045,.227,18.6,24.2,21.7,4.7,0.0,0.0,7.6,30.3,121,113,-2.9,MEM,1,0,20091230,12,22,.545,0,1,.000,4,5,.800,5,8,13,1,0,0,2,4,28,+1
O.J. Mayo,2150.0,.505,.455,.182,.182,0.0,6.2,3.4,14.2,2.7,0.0,7.8,15.3,112,114,-1.2,MEM,1,0,20091230,4,11,.364,2,2,1.000,2,2,1.000,0,2,2,4,2,0,1,1,12,+4
Marc Gasol,1723.0,.759,.667,.000,1.222,9.6,31.1,21.4,10.1,0.0,0.0,12.6,23.6,144,111,2.9,MEM,1,0,20091230,6,9,.667,0,0,0,9,11,.818,2,8,10,2,0,0,2,5,21,+26
Sam Young,939.0,.814,.800,.000,.800,8.8,0.0,3.9,0.0,3.1,0.0,0.0,18.4,171,115,6.4,MEM,0,0,20091230,4,5,.800,0,0,0,3,4,.750,1,0,1,0,1,0,0,2,11,-1
Jamaal Tinsley,910.0,.500,.500,.667,.000,0.0,14.7,8.1,7.9,6.4,0.0,50.0,16.9,55,103,-7.9,MEM,0,0,20091230,1,3,.333,1,2,.500,0,0,0,0,2,2,1,2,0,3,2,3,+12
DeMarre Carroll,746.0,.500,.500,.500,.000,0.0,0.0,0.0,0.0,3.9,0.0,33.3,10.3,65,114,-5.3,MEM,0,0,20091230,1,2,.500,0,1,.000,0,0,0,0,0,0,0,1,0,1,0,2,-6
Hasheem Thabeet,558.0,0,0,0,0,0.0,0.0,0.0,0.0,5.2,7.9,0,0.0,0,106,3.2,MEM,0,0,20091230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,+3
Hamed Haddadi,283.0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0,121,-22.8,MEM,0,0,20091230,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-3
Marcus Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20091230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Hunter,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEM,0,0,20091230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luther Head,2385.0,.693,.632,.316,.316,2.8,20.7,10.8,3.9,2.4,1.6,15.6,26.5,125,118,5.8,IND,1,0,20091230,10,19,.526,4,6,.667,6,6,1.000,1,6,7,1,2,1,4,2,30,-3
Dahntay Jones,1463.0,.636,.636,.000,.000,0.0,5.6,2.5,13.5,0.0,0.0,26.7,25.3,95,127,-9.2,IND,1,0,20091230,7,11,.636,0,0,0,0,0,0,0,1,1,2,0,0,4,5,14,-20
Mike Dunleavy,973.0,.000,.000,1.000,.333,0.0,0.0,0.0,0.0,0.0,0.0,22.5,11.3,0,129,-22.3,IND,1,0,20091230,0,3,.000,0,3,.000,0,1,.000,0,0,0,0,0,0,1,3,0,-22
Solomon Jones,753.0,.667,.667,.000,.000,0.0,10.9,4.9,21.6,0.0,0.0,0.0,9.8,157,126,-0.3,IND,1,0,20091230,2,3,.667,0,0,0,0,0,0,0,1,1,2,0,0,0,4,4,-24
