trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
16,.182,4,98,7.8,34.3,.364,2,LAL,.318,.250,9,Lamar Odom,4,1.000,20100106,3,11,-1.6,13,19.2,106,19.3,1.2,13.8,5,0,1,1,.379,2536.0,0,1,0.0,3,1,.273,2,6.7,-2
14,.125,3,106,0.0,24.4,.000,1,LAL,.438,0,15,Andrew Bynum,0,.500,20100106,5,16,-2.4,9,4.7,109,17.4,0.0,18.6,1,0,1,0,.444,2467.0,2,0,3.2,7,0,.438,2,11.4,-12
3,.500,0,101,5.2,5.5,.233,11,LAL,.367,.286,33,Kobe Bryant,7,.733,20100106,1,30,9.9,2,45.1,109,3.8,3.8,43.3,8,0,1,2,.451,2421.0,0,2,0.0,10,3,.333,15,2.3,-15
4,.000,3,88,22.2,12.6,.429,0,LAL,.571,.667,8,Metta World Peace,3,0,20100106,0,7,-4.3,4,4.7,109,5.8,2.9,11.5,1,0,1,2,.571,2127.0,0,2,0.0,3,2,.429,0,0.0,+2
2,.000,2,51,57.1,5.5,.667,0,LAL,.500,.500,3,Derek Fisher,2,0,20100106,1,3,-12.3,1,7.7,112,5.0,2.5,15.5,1,0,1,1,.500,1223.0,0,4,0.0,1,1,.333,0,4.6,-15
1,.200,4,124,8.4,4.0,.300,2,LAL,.650,.333,15,Shannon Brown,3,1.000,20100106,0,10,2.2,1,0.0,109,1.8,3.7,19.5,0,0,0,1,.689,1657.0,0,1,0.0,6,2,.600,2,0.0,+4
2,.400,1,116,0.0,16.0,.400,2,LAL,.400,.000,6,Jordan Farmar,2,1.000,20100106,0,5,-3.1,2,13.2,114,7.3,0.0,19.1,1,0,0,0,.510,836.0,0,0,0.0,2,0,.400,2,0.0,+5
1,.000,0,205,0.0,0.0,.000,0,LAL,1.000,0,2,Didier Ilunga-Mbenga,0,0,20100106,1,1,6.3,0,0.0,111,7.4,0.0,6.6,0,0,0,0,1.000,413.0,1,0,9.7,1,0,1.000,0,13.7,+1
0,.000,1,0,0.0,0.0,1.000,0,LAL,.000,.000,0,Sasha Vujačić,1,0,20100106,0,1,-17.9,0,0.0,118,0.0,0.0,7.2,0,0,0,0,.000,376.0,0,0,0.0,0,0,.000,0,0.0,-14
1,.000,0,33,0.0,0.0,.000,0,LAL,.000,0,0,Josh Powell,0,0,20100106,1,2,-17.8,0,0.0,119,8.9,0.0,15.8,0,0,0,0,.000,344.0,0,0,0.0,0,0,.000,0,16.4,-9
