drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
4,2418.0,3.1,22.2,0,1,111,.619,30.6,.563,3,.125,0,.250,1,.750,0,2,.500,3,5.3,DET,22,+10,20100202,129,0.0,16,4,12.9,.594,2.8,5,1,9,1,7,7.5,0.0,Richard Hamilton
3,2336.0,4.9,27.3,2,0,106,.471,36.3,.353,9,.000,0,.706,1,.750,0,0,0,2,0.0,DET,21,+1,20100202,117,2.8,17,12,10.0,.353,2.9,4,0,6,1,9,6.2,0.0,Rodney Stuckey
5,2329.0,3.1,8.6,4,1,97,.667,7.5,.667,0,.000,1,.000,1,0,0,0,0,3,14.3,DET,8,+1,20100202,120,5.6,6,0,16.7,.667,2.9,6,0,4,1,2,9.4,2.1,Ben Wallace
6,2021.0,-5.5,24.1,0,2,109,.500,5.1,.467,0,.067,0,.000,2,0,0,1,1.000,1,11.8,DET,15,+9,20100202,94,0.0,15,0,23.1,.500,6.8,8,1,7,1,1,14.4,0.0,Tayshaun Prince
2,921.0,-4.4,21.4,0,0,110,.436,19.7,.333,2,.167,0,.333,2,1.000,0,1,.000,4,0.0,DET,6,-7,20100202,116,0.0,6,2,16.9,.333,14.9,4,0,2,1,2,15.8,0.0,Jonas Jerebko
4,1625.0,-5.7,15.4,1,1,106,.515,0.0,.500,2,.000,0,.667,2,.500,0,0,0,2,11.4,DET,8,+10,20100202,102,2.0,6,4,19.2,.500,8.4,6,0,3,0,0,13.5,0.0,Jason Maxiell
2,1008.0,6.1,22.7,1,0,104,.625,36.1,.625,0,.000,0,.000,0,0,0,0,0,3,0.0,DET,10,-1,20100202,133,3.2,8,0,15.4,.625,0.0,2,0,5,0,3,7.2,0.0,Will Bynum
1,861.0,-5.7,26.2,0,1,113,.509,0.0,.333,2,.667,0,.333,1,1.000,0,4,.250,0,12.7,DET,7,-3,20100202,98,0.0,6,2,9.0,.417,8.0,2,1,2,0,0,8.5,0.0,Ben Gordon
1,495.0,-19.6,17.4,1,1,97,.000,0.0,.000,0,.000,0,.000,0,0,0,0,0,1,33.3,DET,0,-2,20100202,0,6.6,2,0,15.7,.000,0.0,1,0,0,0,0,7.4,0.0,Charlie Villanueva
1,386.0,-8.7,7.4,1,1,92,0,0.0,0,0,0,0,0,0,0,0,0,0,1,100.0,DET,0,+2,20100202,0,8.5,0,0,20.2,0,0.0,1,0,0,0,0,9.4,0.0,Kwame Brown
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Wilcox
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,20100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin Daye
4,2379.0,2.2,29.0,0,4,111,.692,12.3,.688,5,.000,2,.500,3,.625,0,0,0,4,17.0,NJN,27,-8,20100202,115,0.0,16,8,11.5,.688,9.8,7,0,11,1,2,10.7,3.3,Brook Lopez
4,2324.0,8.6,27.5,0,3,113,.637,71.3,.500,10,.214,1,.786,1,.909,0,3,.000,3,13.7,NJN,24,-4,20100202,131,0.0,14,11,11.8,.500,3.3,5,0,7,1,14,7.8,1.7,Devin Harris
3,1998.0,-9.2,17.6,0,2,115,.550,5.6,.500,0,.300,0,.000,0,0,0,3,.333,5,16.7,NJN,11,-4,20100202,87,0.0,10,0,10.3,.550,0.0,3,1,5,1,1,5.5,0.0,Jarvis Hayes
5,1990.0,10.5,16.0,3,1,101,.759,5.6,.556,2,.444,1,.222,0,1.000,0,4,.750,0,9.2,NJN,15,-1,20100202,131,4.9,9,2,17.2,.722,0.0,5,3,5,1,1,9.2,2.0,Courtney Lee
